scientific_name,taken_from,grade,corroborating_sources,mass_from,origin
Abbottina rivularis,fishbase,C,,fishbase,unrecorded
Abramis brama,anage,B,fishbase,anage,wild
Abyssocottus korotneffi,fishbase,C,,fishbase,wild
Acanthemblemaria aspera,fishbase,C,,fishbase,unrecorded
Acanthemblemaria spinosa,fishbase,C,,fishbase,unrecorded
Acanthobrama marmid,fishbase,C,,fishbase,unrecorded
Acanthobrama thisbeae,fishbase,C,,fishbase,wild
Acanthobrama urmianus,fishbase,C,,fishbase,unrecorded
Acanthoclinus fuscus,anage,B,fishbase,anage,wild
Acanthoclinus littoreus,fishbase,C,,fishbase,wild
Acanthocybium solandri,fishbase,C,,fishbase,unrecorded
Acanthogobius hasta,fishbase,C,,fishbase,wild
Acantholumpenus mackayi,fishbase,C,,fishbase,wild
Acanthopagrus arabicus,fishbase,C,,fishbase,unrecorded
Acanthopagrus australis,anage,B,fishbase,anage,wild
Acanthopagrus berda,fishbase,C,,fishbase,wild
Acanthopagrus bifasciatus,fishbase,C,,fishbase,unrecorded
Acanthopagrus butcheri,anage,B,fishbase,anage,wild
Acanthopagrus latus,fishbase,C,,fishbase,unrecorded
Acanthopagrus schlegelii,fishbase,C,,fishbase,unrecorded
Acanthopsetta nadeshnyi,fishbase,C,,fishbase,wild
Acanthurus auranticavus,fishbase,C,,fishbase,wild
Acanthurus bahianus,fishbase,C,,fishbase,unrecorded
Acanthurus blochii,fishbase,C,,fishbase,wild
Acanthurus chirurgus,fishbase,C,,fishbase,unrecorded
Acanthurus coeruleus,fishbase,C,,fishbase,unrecorded
Acanthurus dussumieri,fishbase,C,,fishbase,wild
Acanthurus lineatus,fishbase,C,,fishbase,wild
Acanthurus mata,fishbase,C,,fishbase,wild
Acanthurus nigricans,fishbase,C,,fishbase,wild
Acanthurus olivaceus,fishbase,C,,fishbase,wild
Acanthurus pyroferus,fishbase,C,,fishbase,wild
Acanthurus tractus,fishbase,C,,fishbase,wild
Acanthurus xanthopterus,fishbase,C,,fishbase,wild
Acentrogobius pflaumii,fishbase,C,,fishbase,unrecorded
Achoerodus gouldii,fishbase,C,,fishbase,wild
Acipenser baerii,fishbase,C,,fishbase,unrecorded
Acipenser brevirostrum,anage,B,fishbase,anage,wild
Acipenser fulvescens,seed,A,anage;fishbase,seed,wild
Acipenser gueldenstaedtii,anage,B,fishbase,anage,wild
Acipenser medirostris,fishbase,C,,fishbase,wild
Acipenser nudiventris,fishbase,C,,fishbase,wild
Acipenser oxyrinchus,anage,B,fishbase,anage,wild
Acipenser ruthenus,anage,B,fishbase,anage,captive
Acipenser schrenckii,anage,B,fishbase,anage,wild
Acipenser sinensis,fishbase,C,,fishbase,wild
Acipenser stellatus,anage,B,fishbase,anage,wild
Acipenser sturio,anage,B,fishbase,anage,wild
Acipenser transmontanus,anage,B,fishbase,anage,wild
Acyrtops beryllinus,fishbase,C,,fishbase,wild
Aethotaxis mitopteryx,fishbase,C,,fishbase,unrecorded
Agonus cataphractus,anage,B,fishbase,anage,wild
Albatrossia pectoralis,anage,B,fishbase,anage,wild
Albula vulpes,fishbase,C,,fishbase,unrecorded
Alburnoides bipunctatus,fishbase,C,,fishbase,unrecorded
Alburnoides eichwaldii,fishbase,C,,fishbase,unrecorded
Alburnoides qanati,fishbase,C,,fishbase,unrecorded
Alburnoides tabarestanensis,fishbase,C,,fishbase,wild
Alburnus alburnus,fishbase,C,,fishbase,unrecorded
Alburnus belvica,fishbase,C,,fishbase,wild
Alburnus chalcoides,fishbase,C,,fishbase,unrecorded
Alburnus hohenackeri,fishbase,C,,fishbase,wild
Alburnus mentoides,fishbase,C,,fishbase,wild
Alburnus mossulensis,fishbase,C,,fishbase,unrecorded
Alburnus scoranza,fishbase,C,,fishbase,wild
Aldrichetta forsteri,anage,B,fishbase,anage,wild
Alepocephalus bairdii,anage,B,fishbase,anage,wild
Alepocephalus rostratus,fishbase,C,,fishbase,wild
Alestes baremoze,fishbase,C,,fishbase,wild
Alestes dentex,fishbase,C,,fishbase,wild
Allocareproctus jordani,fishbase,C,,fishbase,wild
Allocyttus niger,anage,B,fishbase,anage,wild
Allocyttus verrucosus,anage,B,fishbase,anage,wild
Alosa aestivalis,anage,B,fishbase,anage,wild
Alosa agone,anage,B,,anage,wild
Alosa alabamae,anage,B,fishbase,anage,wild
Alosa alosa,anage,B,fishbase,anage,wild
Alosa caspia,anage,B,fishbase,anage,wild
Alosa chrysochloris,anage,B,fishbase,anage,wild
Alosa fallax,fishbase,C,,fishbase,wild
Alosa immaculata,fishbase,C,,fishbase,wild
Alosa kessleri,fishbase,C,,fishbase,wild
Alosa killarnensis,fishbase,C,,fishbase,wild
Alosa macedonica,anage,B,fishbase,anage,wild
Alosa maeotica,anage,B,fishbase,anage,wild
Alosa pseudoharengus,anage,B,fishbase,anage,wild
Alosa sapidissima,anage,B,fishbase,anage,wild
Alosa saposchnikowii,fishbase,C,,fishbase,wild
Alpinocottus poecilopus,fishbase,C,,fishbase,wild
Amatitlania nigrofasciata,fishbase,C,,fishbase,unrecorded
Ambiserrula jugosa,fishbase,C,,fishbase,unrecorded
Ambloplites constellatus,fishbase,C,,fishbase,unrecorded
Ambloplites rupestris,anage,B,fishbase,anage,unrecorded
Amblygaster sirm,anage,B,fishbase,anage,wild
Amblygobius bynoensis,fishbase,C,,fishbase,unrecorded
Amblygobius phalaena,fishbase,C,,fishbase,unrecorded
Ameiurus catus,anage,B,fishbase,anage,wild
Ameiurus melas,anage,B,fishbase,anage,wild
Ameiurus natalis,anage,B,fishbase,anage,wild
Ameiurus nebulosus,fishbase,C,,fishbase,unrecorded
Ameiurus platycephalus,anage,B,fishbase,anage,wild
Amia calva,anage,B,fishbase,anage,wild
Ammocrypta clara,anage,B,fishbase,anage,wild
Ammodytes americanus,fishbase,C,,fishbase,unrecorded
Ammodytes dubius,fishbase,C,,fishbase,unrecorded
Ammodytes hexapterus,anage,B,fishbase,anage,wild
Ammodytes marinus,anage,B,fishbase,anage,wild
Ammodytes personatus,fishbase,C,,fishbase,wild
Ammodytes tobianus,anage,B,fishbase,anage,wild
Amphilius jacksonii,fishbase,C,,fishbase,unrecorded
Amphiprion clarkii,anage,B,fishbase,anage,wild
Amphiprion ephippium,anage,B,fishbase,anage,wild
Amphiprion melanopus,anage,B,fishbase,anage,wild
Amphiprion ocellaris,seed,B,,seed,wild+captive
Amphistichus argenteus,anage,B,fishbase,anage,wild
Amphistichus rhodoterus,fishbase,C,,fishbase,wild
Anaecypris hispanica,fishbase,C,,fishbase,wild
Anarhichas lupus,fishbase,C,,fishbase,unrecorded
Anatolichthys danfordii,fishbase,C,,fishbase,unrecorded
Anchoa compressa,anage,B,fishbase,anage,wild
Anchoa delicatissima,fishbase,C,,fishbase,wild
Anchoa mitchilli,fishbase,C,,fishbase,unrecorded
Anguilla anguilla,seed,A,anage;fishbase,seed,wild+captive
Anguilla australis,anage,B,fishbase,anage,wild
Anguilla bicolor,anage,B,fishbase,anage,wild
Anguilla dieffenbachii,anage,B,fishbase,anage,wild
Anguilla labiata,fishbase,C,,fishbase,wild
Anguilla marmorata,anage,B,fishbase,anage,wild
Anguilla mossambica,anage,B,fishbase,anage,wild
Anguilla nebulosa,anage,B,,anage,wild
Anguilla reinhardtii,anage,B,fishbase,anage,wild
Anguilla rostrata,anage,B,fishbase,anage,captive
Anisotremus davidsonii,fishbase,C,,fishbase,wild
Anoplopoma fimbria,anage,B,fishbase,anage,wild
Antimora microlepis,fishbase,C,,fishbase,unrecorded
Antimora rostrata,fishbase,C,,fishbase,wild
Apeltes quadracus,anage,B,fishbase,anage,wild
Aphanopus carbo,fishbase,C,,fishbase,unrecorded
Aphanopus intermedius,fishbase,C,,fishbase,unrecorded
Aphareus furca,fishbase,C,,fishbase,unrecorded
Aphareus rutilans,fishbase,C,,fishbase,unrecorded
Aphia minuta,fishbase,C,,fishbase,wild
Aphredoderus sayanus,anage,B,fishbase,anage,wild
Aplodinotus grunniens,anage,B,fishbase,anage,wild
Apogon erythrinus,fishbase,C,,fishbase,unrecorded
Apogon imberbis,fishbase,C,,fishbase,wild
Apricaphanius baeticus,fishbase,C,,fishbase,unrecorded
Apricaphanius iberus,fishbase,C,,fishbase,unrecorded
Aprion virescens,anage,B,fishbase,anage,wild
Arabibarbus arabicus,fishbase,C,,fishbase,wild
Arabibarbus grypus,fishbase,C,,fishbase,wild
Arapaima gigas,seed,B,,seed,wild+captive
Archoplites interruptus,anage,B,fishbase,anage,wild
Archosargus probatocephalus,anage,B,fishbase,anage,wild
Archosargus rhomboidalis,fishbase,C,,fishbase,wild
Arctoscopus japonicus,fishbase,C,,fishbase,wild
Argentina elongata,anage,B,fishbase,anage,wild
Argentina sialis,fishbase,C,,fishbase,wild
Argentina silus,anage,B,fishbase,anage,wild
Argentina sphyraena,fishbase,C,,fishbase,wild
Argolebias nigripinnis,fishbase,C,,fishbase,wild
Argyropelecus hemigymnus,fishbase,C,,fishbase,wild
Argyrops bleekeri,fishbase,C,,fishbase,unrecorded
Argyrops filamentosus,fishbase,C,,fishbase,unrecorded
Argyrops spinifer,fishbase,C,,fishbase,unrecorded
Argyrosomus hololepidotus,fishbase,C,,fishbase,wild
Argyrosomus inodorus,fishbase,C,,fishbase,unrecorded
Argyrosomus japonicus,anage,B,fishbase,anage,wild
Argyrosomus regius,fishbase,C,,fishbase,unrecorded
Argyrozona argyrozona,fishbase,C,,fishbase,wild
Aristostomias scintillans,anage,B,fishbase,anage,wild
Arius maculatus,fishbase,C,,fishbase,unrecorded
Arnoglossus laterna,fishbase,C,,fishbase,wild
Arnoglossus thori,anage,B,fishbase,anage,wild
Arrhamphus krefftii,fishbase,C,,fishbase,unrecorded
Arripis georgiana,fishbase,C,,fishbase,unrecorded
Arripis georgianus,anage,B,,anage,wild
Arripis trutta,anage,B,fishbase,anage,wild
Arripis truttacea,anage,B,fishbase,anage,wild
Artediellus camchaticus,fishbase,C,,fishbase,wild
Aspidophoroides monopterygius,fishbase,C,,fishbase,unrecorded
Aspius aspius,anage,B,,anage,wild
Asterropteryx semipunctata,fishbase,C,,fishbase,unrecorded
Astyanax bimaculatus,anage,B,fishbase,anage,wild
Astyanax mexicanus,anage,B,fishbase,anage,captive
Atheresthes evermanni,fishbase,C,,fishbase,wild
Atheresthes stomias,anage,B,fishbase,anage,wild
Atherina boyeri,fishbase,C,,fishbase,wild
Atherina presbyter,anage,B,fishbase,anage,wild
Atherinomorus vaigiensis,fishbase,C,,fishbase,wild
Atherinops affinis,anage,B,fishbase,anage,wild
Atherinopsis californiensis,anage,B,fishbase,anage,wild
Atractoscion nobilis,anage,B,fishbase,anage,wild
Atractosteus spatula,seed,B,,seed,wild
Atropus hedlandensis,fishbase,C,,fishbase,unrecorded
Aulorhynchus flavidus,fishbase,C,,fishbase,wild
Australoheros facetus,fishbase,C,,fishbase,wild
Austroglanis barnardi,fishbase,C,,fishbase,unrecorded
Austroglanis gilli,fishbase,C,,fishbase,unrecorded
Austrolebias bellottii,anage,B,fishbase,anage,unrecorded
Auxis rochei,fishbase,C,,fishbase,wild
Auxis thazard,anage,B,fishbase,anage,wild
Babka gymnotrachelus,fishbase,C,,fishbase,wild
Bagrus bajad,anage,B,fishbase,anage,captive
Bagrus docmak,fishbase,C,,fishbase,wild
Bagrus meridionalis,fishbase,C,,fishbase,unrecorded
Bairdiella chrysoura,fishbase,C,,fishbase,unrecorded
Bajacalifornia burragei,fishbase,C,,fishbase,unrecorded
Balistes capriscus,fishbase,C,,fishbase,wild
Balistes polylepis,fishbase,C,,fishbase,unrecorded
Balistes punctatus,fishbase,C,,fishbase,unrecorded
Balistes vetula,fishbase,C,,fishbase,wild
Ballerus ballerus,fishbase,C,,fishbase,unrecorded
Barbatula barbatula,anage,B,fishbase,anage,wild
Barbatula zetensis,fishbase,C,,fishbase,wild
Barbodes carnaticus,fishbase,C,,fishbase,wild
Barbus barbus,fishbase,C,,fishbase,unrecorded
Barbus caninus,fishbase,C,,fishbase,wild
Barbus ciscaucasicus,fishbase,C,,fishbase,wild
Barbus cyclolepis,fishbase,C,,fishbase,unrecorded
Barbus mattozi,anage,B,,anage,wild
Barbus strumicae,fishbase,C,,fishbase,wild
Barbus tyberinus,fishbase,C,,fishbase,wild
Bathyagonus nigripinnis,fishbase,C,,fishbase,wild
Bathygobius meggitti,fishbase,C,,fishbase,wild
Bathymaster derjugini,fishbase,C,,fishbase,unrecorded
Bathymaster signatus,fishbase,C,,fishbase,wild
Bathypterois mediterraneus,fishbase,C,,fishbase,unrecorded
Bellapiscis lesleyae,anage,B,fishbase,anage,wild
Belone belone,fishbase,C,,fishbase,unrecorded
Benthophiloides brauneri,fishbase,C,,fishbase,wild
Benthophilus durrelli,fishbase,C,,fishbase,wild
Benthophilus leobergius,fishbase,C,,fishbase,unrecorded
Benthophilus macrocephalus,fishbase,C,,fishbase,unrecorded
Benthophilus magistri,fishbase,C,,fishbase,unrecorded
Benthophilus mahmudbejovi,fishbase,C,,fishbase,wild
Benthophilus nudus,fishbase,C,,fishbase,wild
Benthosema fibulatum,fishbase,C,,fishbase,unrecorded
Benthosema glaciale,anage,B,fishbase,anage,wild
Benthosema suborbitale,fishbase,C,,fishbase,wild
Beryx decadactylus,fishbase,C,,fishbase,wild
Beryx splendens,anage,B,fishbase,anage,wild
Betta splendens,anage,B,fishbase,anage,unrecorded
Bodianus frenchii,fishbase,C,,fishbase,unrecorded
Bodianus pulcher,fishbase,C,,fishbase,wild
Bolbometopon muricatum,fishbase,C,,fishbase,unrecorded
Boleophthalmus pectinirostris,fishbase,C,,fishbase,wild
Boops boops,fishbase,C,,fishbase,wild
Boreogadus saida,anage,B,fishbase,anage,wild
Borostomias panamensis,fishbase,C,,fishbase,unrecorded
Bostockia porosa,fishbase,C,,fishbase,wild
Bothus podas,fishbase,C,,fishbase,wild
Bovichtus diacanthus,fishbase,C,,fishbase,unrecorded
Brachyalestes imberi,fishbase,C,,fishbase,wild
Brachydeuterus auritus,fishbase,C,,fishbase,wild
Brachymystax lenok,fishbase,C,,fishbase,unrecorded
Brachyplatystoma rousseauxii,fishbase,C,,fishbase,unrecorded
Brama brama,anage,B,fishbase,anage,wild
Brama japonica,fishbase,C,,fishbase,wild
Branchiostegus japonicus,anage,B,fishbase,anage,wild
Brosme brosme,anage,B,fishbase,anage,wild
Brycinus imberi,anage,B,,anage,wild
Brycinus macrolepidotus,anage,B,,anage,wild
Buglossidium luteum,anage,B,fishbase,anage,wild
Calamus bajonado,fishbase,C,,fishbase,unrecorded
Calamus brachysomus,fishbase,C,,fishbase,unrecorded
Calamus leucosteus,fishbase,C,,fishbase,unrecorded
Calamus nodosus,anage,B,fishbase,anage,wild
Calamus proridens,fishbase,C,,fishbase,unrecorded
Callionymus belcheri,fishbase,C,,fishbase,unrecorded
Callionymus lyra,anage,B,fishbase,anage,wild
Calloplesiops altivelis,fishbase,C,,fishbase,wild
Calotomus carolinus,fishbase,C,,fishbase,unrecorded
Campostoma oligolepis,anage,B,fishbase,anage,wild
Capoeta banarescui,fishbase,C,,fishbase,wild
Capoeta bergamae,fishbase,C,,fishbase,unrecorded
Capoeta capoeta,fishbase,C,,fishbase,unrecorded
Capoeta damascina,fishbase,C,,fishbase,wild
Capoeta fusca,fishbase,C,,fishbase,unrecorded
Capoeta gracilis,fishbase,C,,fishbase,unrecorded
Capoeta umbla,fishbase,C,,fishbase,unrecorded
Caprodon longimanus,fishbase,C,,fishbase,unrecorded
Capros aper,fishbase,C,,fishbase,unrecorded
Carangichthys dinema,fishbase,C,,fishbase,unrecorded
Caranx caballus,fishbase,C,,fishbase,wild
Caranx caninus,fishbase,C,,fishbase,wild
Caranx crysos,anage,B,fishbase,anage,wild
Caranx ignobilis,fishbase,C,,fishbase,unrecorded
Caranx lugubris,fishbase,C,,fishbase,unrecorded
Caranx melampygus,fishbase,C,,fishbase,unrecorded
Caranx papuensis,fishbase,C,,fishbase,unrecorded
Caranx sexfasciatus,fishbase,C,,fishbase,unrecorded
Caranx tille,fishbase,C,,fishbase,unrecorded
Carassius auratus,seed,B,anage;fishbase,seed,wild+captive
Carassius carassius,fishbase,C,,fishbase,wild
Carassius gibelio,fishbase,C,,fishbase,wild
Careproctus colletti,fishbase,C,,fishbase,wild
Careproctus melanurus,fishbase,C,,fishbase,wild
Careproctus zachirus,fishbase,C,,fishbase,wild
Carpiodes carpio,anage,B,fishbase,anage,wild
Carpiodes cyprinus,anage,B,fishbase,anage,wild
Carpiodes velifer,anage,B,fishbase,anage,wild
Caspiosoma caspium,fishbase,C,,fishbase,unrecorded
Cathorops spixii,fishbase,C,,fishbase,unrecorded
Catostomus catostomus,anage,B,fishbase,anage,wild
Catostomus commersonii,anage,B,fishbase,anage,wild
Catostomus macrocheilus,anage,B,fishbase,anage,wild
Catostomus microps,anage,B,fishbase,anage,wild
Catostomus occidentalis,anage,B,fishbase,anage,wild
Catostomus platyrhynchus,anage,B,fishbase,anage,wild
Catostomus rimiculus,anage,B,fishbase,anage,wild
Catostomus santaanae,fishbase,C,,fishbase,wild
Catostomus tahoensis,anage,B,fishbase,anage,wild
Caulolatilus microps,anage,B,fishbase,anage,wild
Caulolatilus princeps,anage,B,,anage,wild
Cebidichthys violaceus,fishbase,C,,fishbase,wild
Centrarchus macropterus,anage,B,fishbase,anage,wild
Centroberyx affinis,fishbase,C,,fishbase,unrecorded
Centroberyx gerrardi,fishbase,C,,fishbase,wild
Centrolabrus exoletus,anage,B,fishbase,anage,wild
Centropomus undecimalis,anage,B,fishbase,anage,wild
Centropristis striata,anage,B,fishbase,anage,wild
Centropyge bicolor,anage,B,fishbase,anage,wild
Centropyge flavissima,anage,B,fishbase,anage,wild
Centropyge tibicen,fishbase,C,,fishbase,wild
Cephalopholis boenak,fishbase,C,,fishbase,wild
Cephalopholis cruentata,fishbase,C,,fishbase,wild
Cephalopholis cyanostigma,fishbase,C,,fishbase,unrecorded
Cephalopholis fulva,fishbase,C,,fishbase,unrecorded
Cephalopholis hemistiktos,fishbase,C,,fishbase,wild
Cephalopholis igarashiensis,fishbase,C,,fishbase,unrecorded
Cephalopholis miniata,anage,B,fishbase,anage,wild
Cephalopholis panamensis,fishbase,C,,fishbase,unrecorded
Cephalopholis sexmaculata,fishbase,C,,fishbase,unrecorded
Cephalopholis spiloparaea,fishbase,C,,fishbase,unrecorded
Cephalopholis taeniops,fishbase,C,,fishbase,unrecorded
Cephalopholis urodeta,fishbase,C,,fishbase,unrecorded
Cepola macrophthalma,fishbase,C,,fishbase,unrecorded
Ceratoscopelus maderensis,fishbase,C,,fishbase,unrecorded
Cetengraulis mysticetus,anage,B,fishbase,anage,wild
Cetoscarus bicolor,fishbase,C,,fishbase,unrecorded
Cetoscarus ocellatus,fishbase,C,,fishbase,unrecorded
Chaenocephalus aceratus,fishbase,C,,fishbase,unrecorded
Chaetodipterus faber,fishbase,C,,fishbase,unrecorded
Chaetodon lineolatus,anage,B,fishbase,anage,wild
Chaetodon lunula,fishbase,C,,fishbase,wild
Chaetodon lunulatus,fishbase,C,,fishbase,wild
Chaetodon melannotus,fishbase,C,,fishbase,wild
Champsocephalus gunnari,fishbase,C,,fishbase,unrecorded
Chanodichthys mongolicus,fishbase,C,,fishbase,wild
Chanos chanos,anage,B,fishbase,anage,wild
Chasmistes brevirostris,fishbase,C,,fishbase,wild
Chasmistes cujus,anage,B,fishbase,anage,wild
Chasmistes liorus,anage,B,fishbase,anage,wild
Chauliodus macouni,anage,B,fishbase,anage,wild
Cheilinus undulatus,fishbase,C,,fishbase,wild
Cheilotrema saturnum,anage,B,fishbase,anage,wild
Cheimerius nufar,fishbase,C,,fishbase,unrecorded
Chelidonichthys capensis,anage,B,fishbase,anage,wild
Chelidonichthys cuculus,anage,B,fishbase,anage,wild
Chelidonichthys kumu,anage,B,fishbase,anage,wild
Chelidonichthys lastoviza,fishbase,C,,fishbase,wild
Chelidonichthys lucerna,fishbase,C,,fishbase,wild
Chelidonichthys lucernus,anage,B,,anage,wild
Chelidonichthys queketti,anage,B,fishbase,anage,wild
Chelmon rostratus,anage,B,fishbase,anage,wild
Chelon auratus,fishbase,C,,fishbase,unrecorded
Chelon labrosus,anage,B,fishbase,anage,wild
Chelon ramada,fishbase,C,,fishbase,wild
Chelon saliens,fishbase,C,,fishbase,wild
Chiloglanis anoterus,fishbase,C,,fishbase,wild
Chionodraco hamatus,fishbase,C,,fishbase,unrecorded
Chionodraco myersi,fishbase,C,,fishbase,unrecorded
Chirodactylus spectabilis,fishbase,C,,fishbase,wild
Chlorurus frontalis,fishbase,C,,fishbase,unrecorded
Chlorurus gibbus,anage,B,fishbase,anage,wild
Chlorurus microrhinos,fishbase,C,,fishbase,unrecorded
Chlorurus sordidus,fishbase,C,,fishbase,unrecorded
Chlorurus spilurus,fishbase,C,,fishbase,unrecorded
Choerodon schoenleinii,fishbase,C,,fishbase,unrecorded
Chondrostoma holmwoodii,fishbase,C,,fishbase,unrecorded
Chondrostoma knerii,fishbase,C,,fishbase,wild
Chondrostoma nasus,anage,B,fishbase,anage,wild
Chondrostoma prespense,fishbase,C,,fishbase,wild
Chondrostoma regium,fishbase,C,,fishbase,unrecorded
Chondrostoma variabile,fishbase,C,,fishbase,wild
Chrosomus cumberlandensis,anage,B,fishbase,anage,wild
Chrosomus eos,anage,B,fishbase,anage,wild
Chrosomus erythrogaster,anage,B,fishbase,anage,wild
Chrosomus neogaeus,anage,B,fishbase,anage,wild
Chrysoblephus cristiceps,fishbase,C,,fishbase,unrecorded
Chrysoblephus laticeps,fishbase,C,,fishbase,unrecorded
Chrysoblephus puniceus,fishbase,C,,fishbase,unrecorded
Chrysophrys auratus,anage,B,,anage,wild
Ciliata mustela,anage,B,fishbase,anage,wild
Ciliata septentrionalis,fishbase,C,,fishbase,unrecorded
Cirrhinus cirrhosus,fishbase,C,,fishbase,unrecorded
Cirrhinus molitorella,fishbase,C,,fishbase,unrecorded
Citharichthys sordidus,fishbase,C,,fishbase,unrecorded
Clarias gariepinus,fishbase,C,,fishbase,unrecorded
Cleisthenes pinetorum,fishbase,C,,fishbase,wild
Clevelandia ios,anage,B,fishbase,anage,wild
Clidoderma asperrimum,fishbase,C,,fishbase,unrecorded
Clinocottus globiceps,fishbase,C,,fishbase,unrecorded
Clinostomus elongatus,anage,B,fishbase,anage,wild
Clupea harengus,seed,B,anage;fishbase,seed,wild
Clupea pallasii,anage,B,fishbase,anage,wild
Clupeonella abrau,fishbase,C,,fishbase,wild
Clupeonella caspia,fishbase,C,,fishbase,wild
Clupeonella cultriventris,anage,B,fishbase,anage,wild
Clupeonella engrauliformis,fishbase,C,,fishbase,unrecorded
Clupeonella grimmi,fishbase,C,,fishbase,wild
Clupeonella tscharchalensis,fishbase,C,,fishbase,wild
Cnidoglanis macrocephalus,anage,B,fishbase,anage,wild
Cobitis bilineata,fishbase,C,,fishbase,wild
Cobitis calderoni,fishbase,C,,fishbase,wild
Cobitis elongatoides,fishbase,C,,fishbase,wild
Cobitis meridionalis,fishbase,C,,fishbase,wild
Cobitis narentana,fishbase,C,,fishbase,wild
Cobitis ohridana,fishbase,C,,fishbase,unrecorded
Cobitis paludica,fishbase,C,,fishbase,wild
Cobitis simplicispina,fishbase,C,,fishbase,unrecorded
Cobitis taenia,fishbase,C,,fishbase,unrecorded
Cobitis turcica,fishbase,C,,fishbase,unrecorded
Coelorinchus caelorhincus,fishbase,C,,fishbase,wild
Coelorinchus labiatus,fishbase,C,,fishbase,wild
Coilia mystus,fishbase,C,,fishbase,wild
Coilia nasus,fishbase,C,,fishbase,unrecorded
Colistium guentheri,fishbase,C,,fishbase,wild
Colistium nudipinnis,fishbase,C,,fishbase,wild
Cololabis saira,anage,B,fishbase,anage,wild
Comephorus baikalensis,fishbase,C,,fishbase,unrecorded
Conger conger,fishbase,C,,fishbase,unrecorded
Conger erebennus,fishbase,C,,fishbase,unrecorded
Conger japonicus,fishbase,C,,fishbase,unrecorded
Conger myriaster,fishbase,C,,fishbase,wild
Contusus richei,anage,B,fishbase,anage,wild
Cookeolus japonicus,anage,B,fishbase,anage,wild
Coptodon rendalli,fishbase,C,,fishbase,wild
Coptodon zillii,fishbase,C,,fishbase,wild
Coregonus albula,anage,B,fishbase,anage,wild
Coregonus artedi,anage,B,fishbase,anage,wild
Coregonus atterensis,fishbase,C,,fishbase,wild
Coregonus austriacus,fishbase,C,,fishbase,wild
Coregonus autumnalis,fishbase,C,,fishbase,unrecorded
Coregonus baerii,fishbase,C,,fishbase,wild
Coregonus clupeaformis,anage,B,fishbase,anage,unrecorded
Coregonus danneri,fishbase,C,,fishbase,wild
Coregonus hoferi,fishbase,C,,fishbase,wild
Coregonus hoyi,anage,B,fishbase,anage,wild
Coregonus kiletz,fishbase,C,,fishbase,wild
Coregonus kiyi,anage,B,fishbase,anage,wild
Coregonus lavaretus,fishbase,C,,fishbase,unrecorded
Coregonus lucinensis,fishbase,C,,fishbase,unrecorded
Coregonus lutokka,fishbase,C,,fishbase,wild
Coregonus muksun,anage,B,fishbase,anage,wild
Coregonus nasus,anage,B,fishbase,anage,wild
Coregonus nigripinnis,anage,B,fishbase,anage,wild
Coregonus peled,fishbase,C,,fishbase,wild
Coregonus pidschian,anage,B,fishbase,anage,wild
Coregonus pollan,anage,B,fishbase,anage,wild
Coregonus reighardi,anage,B,fishbase,anage,wild
Coregonus renke,fishbase,C,,fishbase,wild
Coregonus sardinella,anage,B,fishbase,anage,wild
Coregonus tugun,fishbase,C,,fishbase,unrecorded
Coregonus ussuriensis,fishbase,C,,fishbase,wild
Coregonus vandesius,fishbase,C,,fishbase,unrecorded
Coregonus vessicus,fishbase,C,,fishbase,wild
Coregonus widegreni,fishbase,C,,fishbase,wild
Coregonus zenithicus,anage,B,fishbase,anage,wild
Coreobagrus ichikawai,fishbase,C,,fishbase,wild
Coris julis,fishbase,C,,fishbase,unrecorded
Corvula batabana,fishbase,C,,fishbase,unrecorded
Coryphaena equiselis,anage,B,fishbase,anage,wild
Coryphaena hippurus,anage,B,fishbase,anage,wild
Coryphaenoides acrolepis,anage,B,fishbase,anage,wild
Coryphaenoides cinereus,fishbase,C,,fishbase,unrecorded
Coryphaenoides longifilis,fishbase,C,,fishbase,wild
Coryphaenoides rupestris,anage,B,fishbase,anage,wild
Cottocomephorus grewingkii,fishbase,C,,fishbase,unrecorded
Cottus aleuticus,anage,B,fishbase,anage,wild
Cottus asper,anage,B,fishbase,anage,wild
Cottus asperrimus,fishbase,C,,fishbase,wild
Cottus bairdii,anage,B,fishbase,anage,unrecorded
Cottus cognatus,anage,B,fishbase,anage,wild
Cottus confusus,anage,B,fishbase,anage,wild
Cottus gobio,anage,B,fishbase,anage,wild
Cottus klamathensis,fishbase,C,,fishbase,wild
Cottus paulus,anage,B,fishbase,anage,wild
Cottus perifretum,fishbase,C,,fishbase,wild
Cottus pitensis,fishbase,C,,fishbase,wild
Cottus pollux,fishbase,C,,fishbase,wild
Couesius plumbeus,anage,B,fishbase,anage,wild
Crystallaria asprella,anage,B,fishbase,anage,wild
Crystallogobius linearis,anage,B,fishbase,anage,wild
Ctenochaetus striatus,fishbase,C,,fishbase,wild
Ctenolabrus rupestris,anage,B,fishbase,anage,wild
Ctenopharyngodon idella,anage,B,fishbase,anage,unrecorded
Ctenopoma kingsleyae,anage,B,,anage,captive
Cubiceps caeruleus,fishbase,C,,fishbase,wild
Cubiceps pauciradiatus,fishbase,C,,fishbase,wild
Culaea inconstans,anage,B,fishbase,anage,wild
Cycleptus elongatus,anage,B,fishbase,anage,wild
Cycleptus meridionalis,anage,B,fishbase,anage,wild
Cyclopsetta querna,fishbase,C,,fishbase,wild
Cyclopterus lumpus,fishbase,C,,fishbase,wild
Cyclothone braueri,anage,B,fishbase,anage,wild
