hour,price_usd_mwh,charge_mw,discharge_mw,soc_mwh
168,24.1,0.0,0.0,0.0
169,23.66,0.3133,0.0,0.0
170,18.25,1.0,0.0,0.2906
171,26.53,0.0,0.0,1.2179
172,20.05,1.0,0.0,1.2179
173,16.58,1.0,0.0,2.1453
174,18.01,1.0,0.0,3.0726
175,32.74,0.0,0.0,4.0
176,56.26,0.0,1.0,4.0
177,34.01,0.0,0.0,2.9217
178,29.12,0.0,0.0,2.9217
179,30.74,0.0,0.0,2.9217
180,40.78,0.0,1.0,2.9217
181,27.63,0.3256,0.0,1.8433
182,23.96,1.0,0.0,2.1453
183,-15.68,1.0,0.0,3.0726
184,41.46,0.0,1.0,4.0
185,66.56,0.0,1.0,2.9217
186,42.9,0.0,1.0,1.8433
187,25.81,1.0,0.0,0.765
188,23.3,1.0,0.0,1.6924
189,62.57,0.0,1.0,2.6197
190,60.18,0.0,1.0,1.5414
191,29.51,0.0,0.0,0.4631
192,22.26,1.0,0.0,0.4631
193,40.04,0.0,1.0,1.3904
194,15.58,1.0,0.0,0.3121
195,16.6,1.0,0.0,1.2395
196,29.45,0.0,0.0,2.1668
197,22.17,1.0,0.0,2.1668
198,28.12,0.0,0.0,3.0942
199,29.11,0.0,0.0,3.0942
200,36.43,0.0,1.0,3.0942
201,52.63,0.0,1.0,2.0159
202,31.33,0.0,0.0,0.9375
203,34.85,0.0,0.8694,0.9375
204,12.6,1.0,0.0,0.0
205,25.16,1.0,0.0,0.9274
206,20.6,1.0,0.0,1.8547
207,20.55,1.0,0.0,2.7821
208,26.24,0.3133,0.0,3.7094
209,34.59,0.0,0.5694,4.0
210,55.44,0.0,1.0,3.3859
211,24.91,1.0,0.0,2.3076
212,38.02,0.0,1.0,3.235
213,29.64,0.0,0.0,2.1567
214,29.35,0.0,0.0,2.1567
215,44.63,0.0,1.0,2.1567
216,30.73,0.0,0.0,1.0783
217,38.33,0.0,1.0,1.0783
218,21.75,1.0,0.0,0.0
219,17.79,1.0,0.0,0.9274
220,21.74,1.0,0.0,1.8547
221,27.71,0.0,0.0,2.7821
222,29.96,0.0,0.0,2.7821
223,21.09,1.0,0.0,2.7821
224,33.41,0.0,0.44,3.7094
225,34.84,0.0,1.0,3.235
226,73.26,0.0,1.0,2.1567
227,53.65,0.0,1.0,1.0783
228,19.15,1.0,0.0,0.0
229,23.14,1.0,0.0,0.9274
230,16.58,1.0,0.0,1.8547
231,-16.0,1.0,0.0,2.7821
232,39.85,0.0,1.0,3.7094
233,59.3,0.0,1.0,2.6311
234,31.18,0.0,0.3,1.5528
235,31.52,0.0,1.0,1.2293
236,17.74,1.0,0.0,0.151
237,33.17,0.0,1.0,1.0783
238,22.7,0.4761,0.0,0.0
239,26.11,0.0,0.0,0.4415
240,18.73,1.0,0.0,0.4415
