species,article,months,views_total,views_mean_monthly
Larus delawarensis,Ring-billed gull,120,274451,2287.09
Larus dominicanus,Kelp gull,120,174881,1457.34
Larus fuliginosus,Lava gull,120,58803,490.02
Larus fuscus,Lesser black-backed gull,120,226538,1887.82
Larus genei,Slender-billed gull,120,52985,441.54
Larus glaucescens,Glaucous-winged gull,120,83463,695.52
Larus glaucoides,Iceland gull,120,84998,708.32
Larus hartlaubii,Hartlaub's gull,120,28975,241.46
Larus heermanni,Heermann's gull,120,62251,518.76
Larus hemprichii,Sooty gull,120,30002,250.02
Larus hyperboreus,Glaucous gull,120,145159,1209.66
Larus ichthyaetus,Pallas's gull,120,60551,504.59
Larus leucophthalmus,White-eyed gull,120,28530,237.75
Larus livens,Yellow-footed gull,120,32341,269.51
Larus maculipennis,Brown-hooded gull,120,23116,192.63
Larus marinus,Great black-backed gull,120,533286,4444.05
Larus melanocephalus,Mediterranean gull,120,83354,694.62
Larus michahellis,Yellow-legged gull,120,193810,1615.08
Larus modestus,Grey gull,120,56063,467.19
Larus novaehollandiae,Silver gull,120,188801,1573.34
Larus occidentalis,Western gull,120,163527,1362.72
Larus pacificus,Pacific gull,120,152876,1273.97
Larus philadelphia,Bonaparte's gull,120,131275,1093.96
Larus pipixcan,Franklin's gull,120,115276,960.63
Larus relictus,Relict gull,120,23872,198.93
Larus ridibundus,Black-headed gull,120,676834,5640.28
Larus schistisagus,Slaty-backed gull,120,56655,472.12
Larus scoresbii,Dolphin gull,120,31952,266.27
Larus serranus,Andean gull,120,24767,206.39
Larus smithsonianus,American herring gull,120,245665,2047.21
Onychoprion aleuticus,Aleutian tern,120,24691,205.76
Onychoprion anaethetus,Bridled tern,120,69271,577.26
Onychoprion fuscatus,Sooty tern,120,300212,2501.77
Onychoprion lunatus,Spectacled tern,120,17390,144.92
Pagophila eburnea,Ivory gull,120,109774,914.78
Phaetusa simplex,Large-billed tern,120,23532,196.10
Rhodostethia rosea,Ross's gull,120,98504,820.87
Rissa brevirostris,Red-legged kittiwake,120,53581,446.51
Rissa tridactyla,Black-legged kittiwake,120,274357,2286.31
Rynchops albicollis,Indian skimmer,120,73833,615.27
Rynchops flavirostris,African skimmer,120,46954,391.28
Rynchops niger,Black skimmer,120,226625,1888.54
Saundersilarus saundersi,Saunders's gull,120,25509,212.57
Sterna acuticauda,Black-bellied tern,120,34360,286.33
Sterna aurantia,River tern,120,46988,391.57
Sterna dougallii,Roseate tern,120,136556,1137.97
Sterna forsteri,Forster's tern,120,76657,638.81
Sterna hirundinacea,South American tern,120,15637,130.31
Sterna hirundo,Common tern,120,421573,3513.11
Sterna paradisaea,Arctic tern,120,1235304,10294.20
Sterna repressa,White-cheeked tern,120,15931,132.76
Sterna striata,White-fronted tern,120,27481,229.01
Sterna sumatrana,Black-naped tern,120,30750,256.25
Sterna trudeaui,Snowy-crowned tern,120,9847,82.06
Sterna virgata,Kerguelen tern,120,10350,86.25
Sterna vittata,Antarctic tern,120,62637,521.98
Sternula albifrons,Little tern,120,111478,928.98
Sternula antillarum,Least tern,120,143631,1196.92
Sternula balaenarum,Damara tern,120,14066,117.22
Sternula lorata,Peruvian tern,120,9808,81.73
Sternula nereis,Fairy tern,120,86071,717.26
Sternula saundersi,Saunders's tern,120,15960,133.00
Sternula superciliaris,Yellow-billed tern,120,12861,107.17
Thalasseus bengalensis,Lesser crested tern,120,45804,381.70
Thalasseus bergii,Greater crested tern,120,95933,799.44
Thalasseus bernsteini,Chinese crested tern,120,42345,352.88
Thalasseus elegans,Elegant tern,120,56497,470.81
Thalasseus maximus,Royal tern,120,128283,1069.03
Thalasseus sandvicensis,Sandwich tern,120,138079,1150.66
Xema sabini,Sabine's gull,120,151130,1259.42
Pedionomus torquatus,,0,,
Pluvianellus socialis,Magellanic plover,120,17615,146.79
Pluvianus aegyptius,Egyptian plover,120,286576,2388.13
Cladorhynchus leucocephalus,Banded stilt,120,77209,643.41
Himantopus himantopus,Black-winged stilt,120,358156,2984.63
Himantopus novaezelandiae,Black stilt,120,59225,493.54
Recurvirostra americana,American avocet,120,224733,1872.78
Recurvirostra andina,Andean avocet,120,18309,152.57
Recurvirostra avosetta,Pied avocet,120,208427,1736.89
Recurvirostra novaehollandiae,Red-necked avocet,120,32425,270.21
Nycticryphes semicollaris,South American painted-snipe,120,7337,61.14
Rostratula australis,Australian painted-snipe,120,16305,135.88
Rostratula benghalensis,Greater painted-snipe,120,72116,600.97
Actitis hypoleucos,Common sandpiper,120,244127,2034.39
Actitis macularius,Spotted sandpiper,120,134130,1117.75
Arenaria interpres,Ruddy turnstone,120,234487,1954.06
Arenaria melanocephala,Black turnstone,120,33148,276.23
Bartramia longicauda,Upland sandpiper,120,135237,1126.97
Calidris acuminata,Sharp-tailed sandpiper,120,65215,543.46
Calidris alba,,0,,
Calidris alpina,,0,,
Calidris bairdii,Baird's sandpiper,120,62403,520.02
Calidris canutus,Red knot,120,339960,2833.00
Calidris falcinellus,Broad-billed sandpiper,120,44470,370.58
Calidris ferruginea,Curlew sandpiper,120,125733,1047.78
Calidris fuscicollis,White-rumped sandpiper,120,65001,541.67
Calidris himantopus,Stilt sandpiper,120,65994,549.95
Calidris maritima,Purple sandpiper,120,109007,908.39
Calidris mauri,Western sandpiper,120,78352,652.93
Calidris melanotos,Pectoral sandpiper,120,83265,693.88
Calidris minuta,Little stint,120,111905,932.54
Calidris minutilla,Least sandpiper,120,95134,792.78
Calidris ptilocnemis,Rock sandpiper,120,18685,155.71
Calidris pugnax,Ruff (bird),120,231339,1927.83
Calidris pusilla,Semipalmated sandpiper,120,94315,785.96
Calidris pygmaea,Spoon-billed sandpiper,120,173367,1444.72
Calidris ruficollis,Red-necked stint,120,59739,497.82
Calidris subminuta,Long-toed stint,120,32717,272.64
Calidris subruficollis,Buff-breasted sandpiper,120,66952,557.93
Calidris temminckii,Temminck's stint,120,55429,461.91
Calidris tenuirostris,Great knot,120,66551,554.59
Calidris virgata,,0,,
Coenocorypha aucklandica,Subantarctic snipe,120,15989,133.24
Coenocorypha huegeli,Snares snipe,120,12514,104.28
Coenocorypha pusilla,Chatham Islands snipe,120,918,7.65
Gallinago andina,Puna snipe,120,6280,52.33
Gallinago delicata,Wilson's snipe,120,177351,1477.92
Gallinago gallinago,Common snipe,120,380043,3167.03
Gallinago hardwickii,Latham's snipe,120,29711,247.59
Gallinago imperialis,Imperial snipe,120,8222,68.52
Gallinago jamesoni,Jameson's snipe,119,8899,74.78
Gallinago macrodactyla,Madagascar snipe,120,5254,43.78
Gallinago media,Great snipe,120,76501,637.51
Gallinago megala,Swinhoe's snipe,120,18603,155.03
Gallinago nemoricola,Wood snipe,120,19332,161.10
Gallinago nigripennis,African snipe,120,19433,161.94
Gallinago nobilis,Noble snipe,120,6821,56.84
Gallinago paraguaiae,Pantanal snipe,48,5224,108.83
Gallinago solitaria,Solitary snipe,120,16970,141.42
Gallinago stenura,Pin-tailed snipe,120,40644,338.70
Gallinago stricklandii,Fuegian snipe,120,8580,71.50
Gallinago undulata,Giant snipe,120,13650,113.75
Limnodromus griseus,Short-billed dowitcher,120,65436,545.30
Limnodromus scolopaceus,Long-billed dowitcher,120,93946,782.88
Limnodromus semipalmatus,Asian dowitcher,120,22864,190.53
Limosa fedoa,Marbled godwit,120,101376,844.80
Limosa haemastica,Hudsonian godwit,120,76856,640.47
Limosa lapponica,Bar-tailed godwit,120,485706,4047.55
Limosa limosa,Black-tailed godwit,120,295664,2463.87
Lymnocryptes minimus,Jack snipe,120,105049,875.41
Numenius americanus,Long-billed curlew,120,183258,1527.15
Numenius arquata,Eurasian curlew,120,265720,2214.33
Numenius borealis,Eskimo curlew,120,302533,2521.11
Numenius madagascariensis,Far Eastern curlew,120,78970,658.08
Numenius minutus,Little curlew,120,40603,338.36
Numenius phaeopus,Eurasian whimbrel,120,152702,1272.52
Numenius tahitiensis,Bristle-thighed curlew,120,71827,598.56
Numenius tenuirostris,Slender-billed curlew,120,174409,1453.41
Phalaropus fulicarius,Red phalarope,120,81059,675.49
Phalaropus lobatus,Red-necked phalarope,120,131613,1096.78
Prosobonia parvirostris,Tuamotu sandpiper,120,32388,269.90
Scolopax bukidnonensis,Bukidnon woodcock,120,17110,142.58
Scolopax celebensis,Sulawesi woodcock,120,10850,90.42
Scolopax minor,American woodcock,120,672664,5605.53
Scolopax mira,Amami woodcock,120,31409,261.74
Scolopax rochussenii,Moluccan woodcock,120,12788,106.57
Scolopax rosenbergii,New Guinea woodcock,120,9916,82.63
Scolopax rusticola,Eurasian woodcock,120,279957,2332.97
Scolopax saturata,Javan woodcock,120,12394,103.28
Steganopus tricolor,Wilson's phalarope,120,261753,2181.28
Tringa brevipes,Grey-tailed tattler,120,31130,259.42
Tringa erythropus,Spotted redshank,120,80409,670.08
Tringa flavipes,Lesser yellowlegs,120,96940,807.83
Tringa glareola,Wood sandpiper,120,130319,1085.99
Tringa guttifer,Nordmann's greenshank,120,36902,307.52
Tringa incana,Wandering tattler,120,53958,449.65
Tringa melanoleuca,Greater yellowlegs,120,110219,918.49
Tringa nebularia,Common greenshank,120,139778,1164.82
Tringa ochropus,Green sandpiper,120,105591,879.92
Tringa semipalmata,,0,,
Tringa solitaria,Solitary sandpiper,120,76532,637.77
Tringa stagnatilis,Marsh sandpiper,120,65779,548.16
Tringa totanus,Common redshank,120,208931,1741.09
Xenus cinereus,Terek sandpiper,120,54294,452.45
Catharacta antarctica,Brown skua,120,99838,831.98
Catharacta chilensis,Chilean skua,120,20496,170.80
Catharacta maccormicki,South polar skua,120,295521,2462.68
Catharacta skua,Great skua,120,382260,3185.50
Stercorarius longicaudus,Long-tailed jaeger,120,123174,1026.45
Stercorarius parasiticus,Parasitic jaeger,120,309740,2581.17
Stercorarius pomarinus,Pomarine jaeger,120,190397,1586.64
Attagis gayi,Rufous-bellied seedsnipe,120,11724,97.70
Attagis malouinus,White-bellied seedsnipe,120,8096,67.47
Thinocorus orbignyianus,Grey-breasted seedsnipe,120,7229,60.24
Thinocorus rumicivorus,Least seedsnipe,120,13275,110.62
Ortyxelos meiffrenii,,0,,
Turnix castanotus,Chestnut-backed buttonquail,120,14953,124.61
Turnix everetti,Sumba buttonquail,120,7796,64.97
Turnix hottentottus,Fynbos buttonquail,60,9144,152.40
Turnix maculosus,Red-backed buttonquail,120,19199,159.99
Turnix melanogaster,Black-breasted buttonquail,120,66401,553.34
Turnix nanus,Black-rumped buttonquail,120,10616,88.47
Turnix nigricollis,Madagascar buttonquail,120,8055,67.12
Turnix novaecaledoniae,New Caledonian buttonquail,54,5159,95.54
Turnix ocellatus,Spotted buttonquail,120,11692,97.43
Turnix olivii,Buff-breasted buttonquail,120,18043,150.36
Turnix pyrrhothorax,Red-chested buttonquail,120,12514,104.28
Turnix suscitator,Barred buttonquail,120,43070,358.92
Turnix sylvaticus,Common buttonquail,120,44840,373.67
Turnix tanki,Yellow-legged buttonquail,120,29816,248.47
Turnix varius,Painted buttonquail,120,28056,233.80
Turnix velox,Little buttonquail,120,17976,149.80
Turnix worcesteri,Luzon buttonquail,120,6718,55.98
Anastomus lamelligerus,African openbill,120,79230,660.25
Anastomus oscitans,Asian openbill,120,191211,1593.42
Ciconia abdimii,Abdim's stork,120,88791,739.92
Ciconia boyciana,Oriental stork,120,113302,944.18
Ciconia ciconia,White stork,120,1451413,12095.11
Ciconia episcopus,Asian woolly-necked stork,39,37925,972.44
Ciconia maguari,Maguari stork,120,67411,561.76
Ciconia microscelis,African woolly-necked stork,39,21160,542.56
Ciconia nigra,Black stork,120,419355,3494.62
Ciconia stormi,Storm's stork,120,51212,426.77
Ephippiorhynchus asiaticus,Black-necked stork,120,219661,1830.51
Ephippiorhynchus senegalensis,Saddle-billed stork,120,194645,1622.04
Jabiru mycteria,,0,,
Leptoptilos crumenifer,Marabou stork,120,971617,8096.81
Leptoptilos dubius,Greater adjutant,120,313730,2614.42
Leptoptilos javanicus,Lesser adjutant,120,167000,1391.67
Mycteria americana,Wood stork,120,569238,4743.65
Mycteria cinerea,Milky stork,120,75645,630.38
Mycteria ibis,Yellow-billed stork,120,128708,1072.57
Mycteria leucocephala,Painted stork,120,323078,2692.32
Colius castanotus,Red-backed mousebird,120,6230,51.92
Colius colius,White-backed mousebird,120,21229,176.91
Colius leucocephalus,White-headed mousebird,120,8924,74.37
Colius striatus,Speckled mousebird,120,87458,728.82
Urocolius indicus,Red-faced mousebird,120,23075,192.29
Urocolius macrourus,Blue-naped mousebird,120,29781,248.18
Alectroenas madagascariensis,Madagascar blue pigeon,120,9357,77.97
Alectroenas pulcherrimus,Seychelles blue pigeon,120,27556,229.63
Alectroenas sganzini,Comoro blue pigeon,120,3946,32.88
Alopecoenas beccarii,Bronze ground dove,120,7924,66.03
Alopecoenas canifrons,Palau ground dove,120,11209,93.41
Alopecoenas erythropterus,Polynesian ground dove,120,22624,188.53
Alopecoenas hoedtii,Wetar ground dove,120,11847,98.72
Alopecoenas jobiensis,White-breasted ground dove,120,12540,104.50
Alopecoenas johannae,Bronze ground dove,120,7924,66.03
Alopecoenas kubaryi,White-fronted ground dove,120,7905,65.88
Alopecoenas rubescens,Marquesan ground dove,120,8252,68.77
Alopecoenas sanctaecrucis,Santa Cruz ground dove,120,11051,92.09
Alopecoenas stairi,Shy ground dove,120,5660,47.17
Alopecoenas xanthonurus,White-throated ground dove,120,19030,158.58
Aplopelia larvata,Lemon dove,120,43430,361.92
Caloenas nicobarica,Nicobar pigeon,120,1170697,9755.81
Chalcophaps indica,Common emerald dove,120,252149,2101.24
Chalcophaps longirostris,Pacific emerald dove,113,36168,320.07
Chalcophaps stephani,Stephan's emerald dove,120,10020,83.50
Chrysoena luteovirens,Golden dove,120,6536,54.47
Chrysoena victor,Orange dove,120,7303,60.86
Chrysoena viridis,Whistling dove,120,5086,42.38
Claravis pretiosa,Blue ground dove,120,36763,306.36
Columba albinucha,White-naped pigeon,120,12309,102.58
Columba albitorques,White-collared pigeon,120,31624,263.53
Columba argentina,Silvery pigeon,120,31608,263.40
Columba arquatrix,African olive pigeon,120,60805,506.71
Columba bollii,Bolle's pigeon,120,38759,322.99
Columba delegorguei,Eastern bronze-naped pigeon,120,12770,106.42
Columba elphinstonii,Nilgiri wood pigeon,120,51634,430.28
Columba eversmanni,Yellow-eyed pigeon,120,38082,317.35
Columba guinea,Speckled pigeon,120,123001,1025.01
Columba hodgsonii,Speckled wood pigeon,120,19373,161.44
Columba iriditorques,Western bronze-naped pigeon,120,15637,130.31
Columba janthina,Black wood pigeon,118,12923,109.52
Columba junoniae,Laurel pigeon,120,45354,377.95
Columba leucomela,White-headed pigeon,120,65028,541.90
Columba leuconota,Snow pigeon,120,56752,472.93
Columba livia,Rock dove,120,2452502,20437.52
Columba malherbii,Island bronze-naped pigeon,120,15439,128.66
Columba oenas,Stock dove,120,272717,2272.64
Columba oliviae,Somali pigeon,120,34091,284.09
Columba pallidiceps,Yellow-legged pigeon,120,11462,95.52
Columba palumboides,Andaman wood pigeon,120,50468,420.57
Columba palumbus,Common wood pigeon,120,1211867,10098.89
Columba pollenii,Comoro olive pigeon,120,4271,35.59
Columba pulchricollis,Ashy wood pigeon,120,19179,159.82
Columba punicea,Pale-capped pigeon,120,28416,236.80
Columba rupestris,Hill pigeon,120,58390,486.58
Columba sjostedti,Cameroon olive pigeon,120,10510,87.58
Columba thomensis,São Tomé olive pigeon,120,10475,87.29
Columba torringtoniae,Sri Lanka wood pigeon,120,34631,288.59
Columba trocaz,Trocaz pigeon,120,68811,573.42
Columba unicincta,Afep pigeon,120,21571,179.76
Columba vitiensis,Metallic pigeon,120,36303,302.52
Columbina buckleyi,Ecuadorian ground dove,120,8931,74.42
Columbina cruziana,Croaking ground dove,120,14293,119.11
Columbina cyanopis,Blue-eyed ground dove,120,32912,274.27
Columbina inca,Inca dove,120,145983,1216.53
Columbina minuta,Plain-breasted ground dove,120,20725,172.71
Columbina passerina,Common ground dove,120,243573,2029.78
Columbina picui,Picui ground dove,120,18440,153.67
Columbina squammata,Scaled dove,120,19125,159.38
Columbina talpacoti,Ruddy ground dove,120,68918,574.32
Cryptophaps poecilorrhoa,Sombre pigeon,120,6750,56.25
Didunculus strigirostris,Tooth-billed pigeon,120,128904,1074.20
Drepanoptila holosericea,Cloven-feathered dove,120,14944,124.53
Ducula aenea,Green imperial pigeon,120,86131,717.76
Ducula aurorae,Polynesian imperial pigeon,120,11916,99.30
Ducula badia,Mountain imperial pigeon,120,23964,199.70
Ducula bakeri,Vanuatu imperial pigeon,120,6838,56.98
Ducula basilica,Cinnamon-bellied imperial pigeon,120,5937,49.48
Ducula bicolor,Pied imperial pigeon,120,67345,561.21
Ducula brenchleyi,Chestnut-bellied imperial pigeon,120,6370,53.08
Ducula carola,Spotted imperial pigeon,120,16869,140.57
Ducula chalconota,Rufescent imperial pigeon,120,4407,36.73
Ducula cineracea,Timor imperial pigeon,120,7110,59.25
Ducula concinna,Elegant imperial pigeon,120,9576,79.80
Ducula cuprea,Malabar imperial pigeon,54,3483,64.50
Ducula finschii,Finsch's imperial pigeon,120,4190,34.92
Ducula forsteni,White-bellied imperial pigeon,120,8250,68.75
Ducula galeata,Nuku Hiva imperial pigeon,16,1582,98.88
Ducula geelvinkiana,Geelvink imperial pigeon,120,2862,23.85
Ducula goliath,Goliath imperial pigeon,120,28827,240.22
Ducula lacernulata,Dark-backed imperial pigeon,120,4908,40.90
Ducula latrans,Barking imperial pigeon,120,10346,86.22
Ducula luctuosa,Silver-tipped imperial pigeon,120,7924,66.03
Ducula melanochroa,Black imperial pigeon,120,55867,465.56
Ducula mindorensis,Mindoro imperial pigeon,120,15756,131.30
Ducula mullerii,Collared imperial pigeon,120,9145,76.21
Ducula myristicivora,Spice imperial pigeon,120,5449,45.41
Ducula neglecta,Seram imperial pigeon,120,2444,20.37
Ducula obiensis,Cinnamon-bellied imperial pigeon,120,5937,49.48
Ducula oceanica,Micronesian imperial pigeon,120,12391,103.26
Ducula oenothorax,Enggano imperial pigeon,120,3035,25.29
Ducula pacifica,Pacific imperial pigeon,120,21014,175.12
Ducula perspicillata,Spectacled imperial pigeon,120,5627,46.89
Ducula pickeringii,Grey imperial pigeon,120,11366,94.72
Ducula pinon,Pinon's imperial pigeon,120,7389,61.58
Ducula pistrinaria,Island imperial pigeon,120,6825,56.88
Ducula poliocephala,Pink-bellied imperial pigeon,120,13181,109.84
Ducula radiata,Grey-headed imperial pigeon,120,8488,70.73
Ducula rosacea,Pink-headed imperial pigeon,120,7645,63.71
Ducula rubricera,Red-knobbed imperial pigeon,120,6402,53.35
Ducula rufigaster,Purple-tailed imperial pigeon,120,11010,91.75
Ducula salvadorii,Louisiade imperial pigeon,120,1241,10.34
Ducula spilorrhoa,Torresian imperial pigeon,120,51021,425.18
Ducula subflavescens,Yellowish imperial pigeon,120,4944,41.20
Ducula whartoni,Christmas imperial pigeon,120,18127,151.06
Ducula zoeae,Zoe's imperial pigeon,120,7403,61.69
Gallicolumba crinigera,Mindanao bleeding-heart,120,60343,502.86
Gallicolumba keayi,Negros bleeding-heart pigeon,73,31022,424.96
Gallicolumba luzonica,Luzon bleeding-heart,120,256812,2140.10
Gallicolumba menagei,Sulu bleeding-heart,120,42389,353.24
Gallicolumba platenae,Mindoro bleeding-heart,120,50638,421.98
Gallicolumba rufigula,Cinnamon ground dove,120,17975,149.79
Gallicolumba tristigmata,Sulawesi ground dove,120,18020,150.17
Geopelia cuneata,Diamond dove,120,188421,1570.17
Geopelia humeralis,Bar-shouldered dove,120,38940,324.50
Geopelia maugeus,Barred dove,120,16314,135.95
Geopelia placida,Peaceful dove,120,84172,701.43
Geopelia striata,Zebra dove,120,321325,2677.71
Geophaps plumifera,Spinifex pigeon,120,87566,729.72
Geophaps scripta,Squatter pigeon,120,21687,180.72
Geophaps smithii,Partridge pigeon,120,19026,158.55
Geotrygon caniceps,Grey-fronted quail-dove,120,10356,86.30
Geotrygon chrysia,Key West quail-dove,120,25327,211.06
Geotrygon leucometopia,White-fronted quail-dove,120,10806,90.05
Geotrygon montana,Ruddy quail-dove,120,39457,328.81
Geotrygon mystacea,Bridled quail-dove,120,18399,153.32
Geotrygon purpurata,Purple quail-dove,95,7074,74.46
Geotrygon saphirina,Sapphire quail-dove,120,9670,80.58
Geotrygon versicolor,Crested quail-dove,120,16172,134.77
Geotrygon violacea,Violaceous quail-dove,120,11438,95.32
Goura cristata,Western crowned pigeon,120,98936,824.47
Goura scheepmakeri,Scheepmaker's crowned pigeon,96,33444,348.38
Goura sclaterii,Sclater's crowned pigeon,96,27668,288.21
Goura victoria,Victoria crowned pigeon,120,351362,2928.02
Gymnophaps albertisii,Papuan mountain pigeon,120,54117,450.98
Gymnophaps mada,Buru mountain pigeon,120,8796,73.30
Gymnophaps solomonensis,Pale mountain pigeon,120,10275,85.62
Gymnophaps stalkeri,Seram mountain pigeon,120,7233,60.27
Hemiphaga chathamensis,Chatham Islands pigeon,17,2221,130.65
Hemiphaga novaeseelandiae,,0,,
Henicophaps albifrons,New Guinea bronzewing,120,7528,62.73
Henicophaps foersteri,New Britain bronzewing,120,12464,103.87
Leptotila battyi,Azuero dove,120,8201,68.34
Leptotila cassinii,Grey-chested dove,120,9188,76.57
Leptotila conoveri,Tolima dove,120,8685,72.38
Leptotila jamaicensis,Caribbean dove,120,23551,196.26
Leptotila megalura,Yungas dove,120,6938,57.82
Leptotila ochraceiventris,Ochre-bellied dove,120,7955,66.29
Leptotila pallida,Pallid dove,120,6948,57.90
Leptotila plumbeiceps,Grey-headed dove,120,8746,72.88
Leptotila rufaxilla,Grey-fronted dove,120,16211,135.09
Leptotila verreauxi,White-tipped dove,120,54762,456.35
Leptotila wellsi,Grenada dove,120,87568,729.73
Leptotrygon veraguensis,Olive-backed quail-dove,120,8541,71.17
Leucosarcia melanoleuca,Wonga pigeon,120,57286,477.38
Lopholaimus antarcticus,Topknot pigeon,120,56647,472.06
Macropygia amboinensis,Amboyna cuckoo-dove,113,12645,111.90
Macropygia emiliana,Ruddy cuckoo-dove,120,11878,98.98
Macropygia macassariensis,Flores Sea cuckoo-dove,113,5755,50.93
Macropygia mackinlayi,Spot-breasted cuckoo-dove,116,907,7.82
Macropygia magna,Timor cuckoo-dove,113,6620,58.58
Macropygia nigrirostris,Bar-tailed cuckoo-dove,120,7190,59.92
Macropygia phasianella,Brown cuckoo-dove,120,72199,601.66
Macropygia ruficeps,Little cuckoo-dove,120,15616,130.13
Macropygia rufipennis,Andaman cuckoo-dove,120,12916,107.63
Macropygia tenuirostris,Philippine cuckoo-dove,120,22150,184.58
Macropygia timorlaoensis,Tanimbar cuckoo-dove,113,5144,45.52
Macropygia unchall,Barred cuckoo-dove,120,25948,216.23
Megaloprepia formosa,Scarlet-breasted fruit dove,120,12035,100.29
Megaloprepia magnifica,Wompoo fruit dove,120,61682,514.02
Metriopelia aymara,Golden-spotted ground dove,120,7087,59.06
Metriopelia ceciliae,Bare-faced ground dove,120,7916,65.97
Metriopelia melanoptera,Black-winged ground dove,120,10065,83.88
Metriopelia morenoi,Moreno's ground dove,120,7805,65.04
Nesoenas mayeri,Pink pigeon,120,266732,2222.77
Nesoenas picturatus,Malagasy turtle dove,120,27807,231.72
Ocyphaps lophotes,Crested pigeon,120,328762,2739.68
Oena capensis,Namaqua dove,120,86015,716.79
Otidiphaps aruensis,Pheasant pigeon,120,344604,2871.70
Otidiphaps cervicalis,Pheasant pigeon,120,344604,2871.70
Otidiphaps insularis,Pheasant pigeon,120,344604,2871.70
Otidiphaps nobilis,Pheasant pigeon,120,344604,2871.70
Paraclaravis geoffroyi,Purple-winged ground dove,120,16430,136.92
Paraclaravis mondetoura,Maroon-chested ground dove,120,10243,85.36
Patagioenas albilinea,Band-tailed pigeon,120,269995,2249.96
Patagioenas albipennis,,0,,
Patagioenas araucana,Chilean pigeon,120,20916,174.30
Patagioenas caribaea,Ring-tailed pigeon,120,23547,196.22
Patagioenas cayennensis,Pale-vented pigeon,120,26170,218.08
Patagioenas corensis,Bare-eyed pigeon,120,25022,208.52
Patagioenas fasciata,Band-tailed pigeon,120,269995,2249.96
Patagioenas flavirostris,Red-billed pigeon,120,34083,284.02
Patagioenas goodsoni,Dusky pigeon,120,10834,90.28
Patagioenas inornata,Plain pigeon,120,41163,343.02
Patagioenas leucocephala,White-crowned pigeon,120,92926,774.38
Patagioenas maculosa,Spot-winged pigeon,120,15326,127.72
Patagioenas nigrirostris,Short-billed pigeon,120,14589,121.58
Patagioenas oenops,Maranon pigeon,120,12284,102.37
Patagioenas picazuro,Picazuro pigeon,120,29830,248.58
Patagioenas plumbea,Plumbeous pigeon,120,15592,129.93
Patagioenas speciosa,Scaled pigeon,120,27579,229.82
Patagioenas squamosa,Scaly-naped pigeon,120,51321,427.68
Patagioenas subvinacea,Ruddy pigeon,120,17081,142.34
Petrophassa albipennis,White-quilled rock pigeon,120,10513,87.61
Petrophassa rufipennis,Chestnut-quilled rock pigeon,120,9388,78.23
Phapitreron amethystinus,Amethyst brown dove,120,14700,122.50
Phapitreron brevirostris,,0,,
Phapitreron brunneiceps,Mindanao brown dove,120,8104,67.53
Phapitreron cinereiceps,Tawitawi brown dove,120,13805,115.04
Phapitreron frontalis,,0,,
Phapitreron leucotis,White-eared brown dove,120,24299,202.49
Phapitreron maculipectus,,0,,
Phapitreron nigrorum,White-eared brown dove,120,24299,202.49
Phaps chalcoptera,Common bronzewing,120,80883,674.02
Phaps elegans,Brush bronzewing,120,32525,271.04
Phaps histrionica,Flock bronzewing,120,18891,157.43
Ptilinopus alligator,Black-banded fruit dove,120,12129,101.08
Ptilinopus arcanus,Negros fruit dove,120,45104,375.87
Ptilinopus aurantiifrons,Orange-fronted fruit dove,120,9414,78.45
Ptilinopus chalcurus,Makatea fruit dove,120,11118,92.65
Ptilinopus chrysogaster,Raiatea fruit dove,27,1347,49.89
Ptilinopus cinctus,Banded fruit dove,120,14238,118.65
Ptilinopus coralensis,Atoll fruit dove,120,13761,114.67
Ptilinopus coronulatus,Coroneted fruit dove,120,8671,72.26
Ptilinopus dohertyi,Red-naped fruit dove,120,8724,72.70
Ptilinopus dupetithouarsii,White-capped fruit dove,120,10291,85.76
Ptilinopus eugeniae,White-headed fruit dove,120,12998,108.32
Ptilinopus fasciatus,Crimson-crowned fruit dove,120,17214,143.45
Ptilinopus gestroi,Ornate fruit dove,120,10577,88.14
Ptilinopus granulifrons,Carunculated fruit dove,120,6663,55.52
Ptilinopus greyi,Red-bellied fruit dove,120,11453,95.44
Ptilinopus hernsheimi,Kosrae fruit dove,113,5775,51.11
Ptilinopus huttoni,Rapa fruit dove,120,17056,142.13
Ptilinopus hyogastrus,Grey-headed fruit dove,120,5757,47.98
Ptilinopus insolitus,Knob-billed fruit dove,120,7445,62.04
Ptilinopus insularis,Henderson fruit dove,120,20378,169.82
Ptilinopus iozonus,Orange-bellied fruit dove,120,12082,100.68
Ptilinopus melanospilus,Black-naped fruit dove,120,25467,212.22
Ptilinopus monacha,Blue-capped fruit dove,120,6042,50.35
Ptilinopus nainus,Dwarf fruit dove,120,16046,133.72
Ptilinopus ornatus,Ornate fruit dove,120,10577,88.14
Ptilinopus pelewensis,Palau fruit dove,120,15979,133.16
Ptilinopus perlatus,Pink-spotted fruit dove,120,12888,107.40
Ptilinopus perousii,Many-colored fruit dove,120,28286,235.72
Ptilinopus ponapensis,Purple-capped fruit dove,120,8340,69.50
Ptilinopus porphyraceus,Crimson-crowned fruit dove,120,17214,143.45
Ptilinopus porphyreus,Pink-headed fruit dove,120,33107,275.89
Ptilinopus pulchellus,Beautiful fruit dove,120,21547,179.56
Ptilinopus purpuratus,Grey-green fruit dove,120,12221,101.84
Ptilinopus rarotongensis,Lilac-crowned fruit dove,120,9062,75.52
