species,article,months,views_total,views_mean_monthly
Aglaeactis castelnaudii,White-tufted sunbeam,120,6611,55.09
Aglaeactis cupripennis,Shining sunbeam,120,14175,118.12
Aglaeactis pamela,Black-hooded sunbeam,120,7562,63.02
Aglaiocercus berlepschi,Venezuelan sylph,120,8311,69.26
Aglaiocercus coelestis,Violet-tailed sylph,120,27171,226.43
Aglaiocercus kingii,Long-tailed sylph,120,35913,299.27
Amazilia alfaroana,Guanacaste hummingbird,44,3793,86.20
Amazilia amabilis,Blue-chested hummingbird,120,13951,116.26
Amazilia amazilia,Amazilia hummingbird,120,19905,165.88
Amazilia bartletti,,0,,
Amazilia beryllina,Berylline hummingbird,120,23403,195.03
Amazilia boucardi,Mangrove hummingbird,120,18538,154.48
Amazilia brevirostris,White-chested emerald,120,11143,92.86
Amazilia candida,White-bellied emerald,120,11666,97.22
Amazilia castaneiventris,Chestnut-bellied hummingbird,120,7114,59.28
Amazilia chionogaster,White-bellied hummingbird,120,11902,99.18
Amazilia chrysura,,0,,
Amazilia coeruleogularis,,0,,
Amazilia cupreicauda,Copper-tailed hummingbird,120,2588,21.57
Amazilia cyanifrons,Indigo-capped hummingbird,120,12475,103.96
Amazilia cyanocephala,Azure-crowned hummingbird,120,13721,114.34
Amazilia cyanura,Blue-tailed hummingbird,120,10953,91.28
Amazilia cyanus,,0,,
Amazilia decora,Charming hummingbird,120,9445,78.71
Amazilia edward,Snowy-bellied hummingbird,120,12908,107.57
Amazilia eliciae,,0,,
Amazilia fimbriata,Glittering-throated emerald,120,11678,97.32
Amazilia franciae,Andean emerald,120,14527,121.06
Amazilia goudoti,,0,,
Amazilia grayi,Blue-headed sapphire,120,7728,64.40
Amazilia humboldtii,Humboldt's sapphire,120,6269,52.24
Amazilia julie,,0,,
Amazilia lactea,Sapphire-spangled emerald,120,18123,151.03
Amazilia leucogaster,Plain-bellied emerald,120,7150,59.58
Amazilia lilliae,,0,,
Amazilia luciae,Honduran emerald,120,25711,214.26
Amazilia oenone,,0,,
Amazilia rosenbergi,Purple-chested hummingbird,120,9073,75.61
Amazilia rutila,Cinnamon hummingbird,120,26865,223.88
Amazilia sapphirina,Rufous-throated sapphire,120,9172,76.43
Amazilia saucerottei,Steely-vented hummingbird,120,11299,94.16
Amazilia tobaci,Copper-rumped hummingbird,120,14886,124.05
Amazilia tzacatl,Rufous-tailed hummingbird,120,44940,374.50
Amazilia versicolor,Versicolored emerald,120,8723,72.69
Amazilia violiceps,Violet-crowned hummingbird,120,22621,188.51
Amazilia viridicauda,Green-and-white hummingbird,120,10207,85.06
Amazilia viridifrons,Green-fronted hummingbird,120,7186,59.88
Amazilia viridigaster,Green-bellied hummingbird,120,7646,63.72
Amazilia wagneri,Cinnamon-sided hummingbird,120,4562,38.02
