species,family,order,mass_g,range_km2,centroid_lat,migration
Buteo galapagoensis,Accipitridae,Accipitriformes,1137.44,5639.54,-0.44,1
Buteo hemilasius,Accipitridae,Accipitriformes,1358.89,5366251.83,42.4,1
Buteo jamaicensis,Accipitridae,Accipitriformes,1101.16,15462822.34,45.5,3
Buteo japonicus,Accipitridae,Accipitriformes,759.1,4465171.4,54.33,2
Buteo lagopus,Accipitridae,Accipitriformes,949.76,9709846.76,67.33,3
Buteo lineatus,Accipitridae,Accipitriformes,603.72,3542030.5,37.72,3
Buteo nitidus,Accipitridae,Accipitriformes,519.04,10412658.23,-6.6,1
Buteo oreophilus,Accipitridae,Accipitriformes,699.99,674707.01,1.09,1
Buteo plagiatus,Accipitridae,Accipitriformes,519.04,1432406.12,19.92,1
Buteo platypterus,Accipitridae,Accipitriformes,453.65,4864047.78,42.9,3
Buteo refectus,Accipitridae,Accipitriformes,759.1,411852.38,29.54,2
Buteo regalis,Accipitridae,Accipitriformes,1437.18,2780053.23,43.14,3
Buteo ridgwayi,Accipitridae,Accipitriformes,315,210.23,19.07,1
Buteo rufinus,Accipitridae,Accipitriformes,1166.18,8574436.83,40.86,3
Buteo rufofuscus,Accipitridae,Accipitriformes,1530,1533534.66,-28.14,2
Buteo socotraensis,Accipitridae,Accipitriformes,759.1,3622.4,12.51,2
Buteo solitarius,Accipitridae,Accipitriformes,500.88,6957.48,19.6,1
Buteo swainsoni,Accipitridae,Accipitriformes,946.61,4303055.16,40.95,3
Buteo trizonatus,Accipitridae,Accipitriformes,568,101450.72,-33.55,1
Buteo ventralis,Accipitridae,Accipitriformes,1190.52,536992.07,-47.95,2
Buteogallus aequinoctialis,Accipitridae,Accipitriformes,657.63,132570.12,-3.65,1
Buteogallus anthracinus,Accipitridae,Accipitriformes,975.09,1898078.97,18.62,1
Buteogallus coronatus,Accipitridae,Accipitriformes,2950,4233989.28,-22.07,2
Buteogallus gundlachii,Accipitridae,Accipitriformes,975.09,14641.79,21.78,1
Buteogallus lacernulatus,Accipitridae,Accipitriformes,312,139998.95,-17.46,1
Buteogallus meridionalis,Accipitridae,Accipitriformes,807.99,10432463.33,-12.06,1
Buteogallus schistaceus,Accipitridae,Accipitriformes,999.99,3642728.14,-5.46,1
Buteogallus solitarius,Accipitridae,Accipitriformes,3000,998204.29,3.86,1
Buteogallus urubitinga,Accipitridae,Accipitriformes,1152.87,13126253.65,-7.52,1
Chelictinia riocourii,Accipitridae,Accipitriformes,110,5425285.72,14.35,1
Chondrohierax uncinatus,Accipitridae,Accipitriformes,286.07,9787616.08,-2.71,2
Chondrohierax wilsonii,Accipitridae,Accipitriformes,286.07,3890.11,20.47,2
Circaetus beaudouini,Accipitridae,Accipitriformes,1500,3453409.14,11.2,1
Circaetus cinerascens,Accipitridae,Accipitriformes,1126,5762003,-0.6,1
Circaetus cinereus,Accipitridae,Accipitriformes,2048,11541044.04,-3.63,1
Circaetus fasciolatus,Accipitridae,Accipitriformes,1013.6,734455.97,-10.35,1
Circaetus gallicus,Accipitridae,Accipitriformes,1699.12,12695589.93,40.79,3
Circaetus pectoralis,Accipitridae,Accipitriformes,1500,9328714.6,-10.32,1
Circus aeruginosus,Accipitridae,Accipitriformes,704.07,13390803.81,50.03,2
Circus approximans,Accipitridae,Accipitriformes,746.19,2033024.84,-33.9,2
Circus assimilis,Accipitridae,Accipitriformes,558.58,7817547.59,-25,2
Circus buffoni,Accipitridae,Accipitriformes,507.4,4327364.53,-22.38,2
Circus cinereus,Accipitridae,Accipitriformes,399.67,2424495.35,-36.62,2
Circus cyaneus,Accipitridae,Accipitriformes,392.98,17331412.86,58.07,3
Circus hudsonius,Accipitridae,Accipitriformes,392.98,12347245.55,52.86,3
Circus macrosceles,Accipitridae,Accipitriformes,663.6,412352.02,-19.14,1
Circus macrourus,Accipitridae,Accipitriformes,384.36,6168290.72,51.02,3
Circus maillardi,Accipitridae,Accipitriformes,663.6,1488.84,-21.1,1
Circus maurus,Accipitridae,Accipitriformes,508.99,597211.38,-30.91,1
Circus melanoleucos,Accipitridae,Accipitriformes,336.3,1811211.65,49.1,3
Circus pygargus,Accipitridae,Accipitriformes,310.75,6837154.32,49.91,3
Circus ranivorus,Accipitridae,Accipitriformes,507,4426338.22,-14.6,1
Circus spilonotus,Accipitridae,Accipitriformes,558.78,5723030.46,52.88,3
Circus spilothorax,Accipitridae,Accipitriformes,558.78,76450.96,-7.05,3
Clanga clanga,Accipitridae,Accipitriformes,2154.29,8980278.98,55.15,3
Clanga hastata,Accipitridae,Accipitriformes,1359.41,2409106.07,21.43,2
Clanga pomarina,Accipitridae,Accipitriformes,1359.41,2013351.79,49.67,3
Cryptoleucopteryx plumbea,Accipitridae,Accipitriformes,482,162116.76,4.34,1
Dryotriorchis spectabilis,Accipitridae,Accipitriformes,697,2884763,2.03,1
Elanoides forficatus,Accipitridae,Accipitriformes,416.24,13295665.49,-5.62,3
Elanus axillaris,Accipitridae,Accipitriformes,270.1,7649038.18,-25.69,2
Elanus caeruleus,Accipitridae,Accipitriformes,259.76,26685941.8,3.69,2
Elanus leucurus,Accipitridae,Accipitriformes,346,12522294.39,-8.72,2
Elanus scriptus,Accipitridae,Accipitriformes,316,727463.72,-22.87,2
Erythrotriorchis buergersi,Accipitridae,Accipitriformes,575,152406.32,-5.51,1
Erythrotriorchis radiatus,Accipitridae,Accipitriformes,887.35,1074830.71,-17.74,1
Eutriorchis astur,Accipitridae,Accipitriformes,700,34460.57,-16.44,1
Gampsonyx swainsonii,Accipitridae,Accipitriformes,92.9,10266134.72,-8.71,1
Geranoaetus albicaudatus,Accipitridae,Accipitriformes,885,9466789.11,-11.82,1
Geranoaetus melanoleucus,Accipitridae,Accipitriformes,2378.62,6807951.84,-27.4,1
Geranoaetus polyosoma,Accipitridae,Accipitriformes,782.61,3165493.22,-31.98,2
Geranospiza caerulescens,Accipitridae,Accipitriformes,302.5,14333669.12,-6.64,1
Gypaetus barbatus,Accipitridae,Accipitriformes,5694.98,8369572.33,34.75,2
Gypohierax angolensis,Accipitridae,Accipitriformes,1600,9715580.32,-1.17,1
Gyps africanus,Accipitridae,Accipitriformes,5432.99,10465544.7,-2.52,1
Gyps bengalensis,Accipitridae,Accipitriformes,4385,3047965.15,23.99,1
Gyps coprotheres,Accipitridae,Accipitriformes,8176.99,671208.3,-27.31,1
Gyps fulvus,Accipitridae,Accipitriformes,7435.99,3487541.03,36.3,1
Gyps himalayensis,Accipitridae,Accipitriformes,9797.95,3859146.13,34.8,1
Gyps indicus,Accipitridae,Accipitriformes,5515,1117987.16,23.08,1
Gyps rueppelli,Accipitridae,Accipitriformes,7399.99,6445230.81,9.89,1
Gyps tenuirostris,Accipitridae,Accipitriformes,5515,705181.48,24.18,1
Haliaeetus albicilla,Accipitridae,Accipitriformes,4729.27,17404346.92,59.89,2
Haliaeetus leucocephalus,Accipitridae,Accipitriformes,4700.58,9351853.96,54.57,3
Haliaeetus leucogaster,Accipitridae,Accipitriformes,2827.01,5127370.7,-9.12,1
Haliaeetus leucoryphus,Accipitridae,Accipitriformes,2885.92,533825.64,27.12,3
