species,family,order,mass_g,range_km2,centroid_lat,migration
Lagopus muta,Phasianidae,Galliformes,535.3,14996056.99,65.52,1
Lerwa lerwa,Phasianidae,Galliformes,567.34,831638.53,31.25,1
Lophophorus impejanus,Phasianidae,Galliformes,2066.51,480828.14,30.81,1
Lophophorus lhuysii,Phasianidae,Galliformes,3008,175682.11,32.05,1
Lophophorus sclateri,Phasianidae,Galliformes,2500,172831.15,28.17,1
Lophura bulweri,Phasianidae,Galliformes,1245.15,274609.44,1.68,1
Lophura diardi,Phasianidae,Galliformes,1088.89,510759.03,16.21,1
Lophura edwardsi,Phasianidae,Galliformes,1090.96,8246.95,16.91,1
Lophura erythrophthalma,Phasianidae,Galliformes,934.33,483589.68,0.7,1
Lophura ignita,Phasianidae,Galliformes,1768.14,486548.86,0.74,1
Lophura inornata,Phasianidae,Galliformes,685,71415.83,0.85,1
Lophura leucomelanos,Phasianidae,Galliformes,867.98,1305465.96,24.81,1
Lophura nycthemera,Phasianidae,Galliformes,1230,1072525.93,21.5,1
Lophura pyronota,Phasianidae,Galliformes,934.33,581897.36,0.41,1
Lophura rufa,Phasianidae,Galliformes,1768.14,410746.7,2.58,1
Lophura swinhoii,Phasianidae,Galliformes,1100,15278.8,23.79,1
Lyrurus mlokosiewiczi,Phasianidae,Galliformes,813.99,104757.72,42.22,1
Lyrurus tetrix,Phasianidae,Galliformes,1068.66,14007422.54,56.84,1
Margaroperdix madagarensis,Phasianidae,Galliformes,245,543287.48,-18.96,1
Melanoperdix niger,Phasianidae,Galliformes,280,1098110.81,0.59,1
Meleagris gallopavo,Phasianidae,Galliformes,5791.37,7259958.92,37.44,1
Meleagris ocellata,Phasianidae,Galliformes,5525,141592.72,19.18,1
Ophrysia superciliosa,Phasianidae,Galliformes,189.7,209.06,29.51,NA
Pavo cristatus,Phasianidae,Galliformes,4154.81,2837970.09,21.65,1
Pavo muticus,Phasianidae,Galliformes,2205.71,1114252.33,16.26,1
Peliperdix albogularis,Phasianidae,Galliformes,276,1104886.46,8.06,1
Peliperdix coqui,Phasianidae,Galliformes,262,4180135.39,-12.3,1
Peliperdix lathami,Phasianidae,Galliformes,269,2655327.38,2.16,1
Peliperdix schlegelii,Phasianidae,Galliformes,236.58,553212.32,8.08,1
Perdicula argoondah,Phasianidae,Galliformes,60.48,1182863.73,21.41,1
Perdicula asiatica,Phasianidae,Galliformes,68.36,2185368.61,20.59,1
Perdicula erythrorhyncha,Phasianidae,Galliformes,67.55,502809.33,18.24,1
Perdicula manipurensis,Phasianidae,Galliformes,70.65,50560.52,26.07,NA
Perdix dauurica,Phasianidae,Galliformes,263.41,7620113.07,47.34,1
Perdix hodgsoniae,Phasianidae,Galliformes,363.73,1000982.76,31.8,2
Perdix perdix,Phasianidae,Galliformes,405.3,10032916.79,52.09,1
Phasianus colchicus,Phasianidae,Galliformes,1120.31,7426719.32,38.76,1
Phasianus versicolor,Phasianidae,Galliformes,918.84,289610.19,35.92,1
Polyplectron bicalcaratum,Phasianidae,Galliformes,467.84,1095333.73,21.44,1
Polyplectron chalcurum,Phasianidae,Galliformes,508,83208.6,0.89,1
Polyplectron germaini,Phasianidae,Galliformes,449.96,38584.9,12.1,1
Polyplectron inopinatum,Phasianidae,Galliformes,497.5,12687.59,4.53,1
Polyplectron katsumatae,Phasianidae,Galliformes,467.84,2165.64,18.88,1
Polyplectron malacense,Phasianidae,Galliformes,608,116752.23,4.13,1
Polyplectron napoleonis,Phasianidae,Galliformes,374.68,11489.35,9.73,1
Polyplectron schleiermacheri,Phasianidae,Galliformes,608,187855.93,1.7,1
Pternistis adspersus,Phasianidae,Galliformes,428.03,1150093.13,-20.24,1
Pternistis afer,Phasianidae,Galliformes,454.81,4561244.02,-11.88,1
Pternistis ahantensis,Phasianidae,Galliformes,544.14,683993.47,7.32,1
Pternistis atrifrons,Phasianidae,Galliformes,791.53,691.13,3.92,1
Pternistis bicalcaratus,Phasianidae,Galliformes,439.5,3597861.3,11.27,1
Pternistis camerunensis,Phasianidae,Galliformes,549.39,193.35,4.17,1
Pternistis capensis,Phasianidae,Galliformes,629.84,150800.12,-31.99,1
Pternistis castaneicollis,Phasianidae,Galliformes,791.53,264511.06,8.2,1
Pternistis clappertoni,Phasianidae,Galliformes,469.61,2323019.72,11.78,1
Pternistis erckelii,Phasianidae,Galliformes,1197.81,146193.65,11.74,1
Pternistis griseostriatus,Phasianidae,Galliformes,288.49,85105.17,-11.06,1
Pternistis hartlaubi,Phasianidae,Galliformes,241.45,353895.58,-18.77,1
Pternistis harwoodi,Phasianidae,Galliformes,493.02,26421.65,10.67,1
Pternistis hildebrandti,Phasianidae,Galliformes,531.98,900428.25,-6.12,1
Pternistis icterorhynchus,Phasianidae,Galliformes,571,1444290.43,5.24,1
Pternistis jacksoni,Phasianidae,Galliformes,1097,16544.06,-0.03,1
Pternistis leucoscepus,Phasianidae,Galliformes,640.61,2071108.37,4.48,1
Pternistis natalensis,Phasianidae,Galliformes,508.09,1136104.66,-21.93,1
Pternistis nobilis,Phasianidae,Galliformes,878,17128.53,-2.22,1
Pternistis ochropectus,Phasianidae,Galliformes,699.6,607.57,11.82,1
Pternistis rufopictus,Phasianidae,Galliformes,706.13,77700.06,-3.07,1
Pternistis squamatus,Phasianidae,Galliformes,449.45,2593426.1,2.11,1
Pternistis swainsonii,Phasianidae,Galliformes,597.1,1549732.16,-20.72,1
Pternistis swierstrai,Phasianidae,Galliformes,460.29,18471,-13.09,1
Pucrasia macrolopha,Phasianidae,Galliformes,1050.47,1384088.5,31.24,1
Rheinardia ocellata,Phasianidae,Galliformes,1500,54321.45,15.43,1
Rhizothera dulitensis,Phasianidae,Galliformes,746.72,1884.63,5.36,1
Rhizothera longirostris,Phasianidae,Galliformes,746.72,1292604.79,1.18,1
Rollulus rouloul,Phasianidae,Galliformes,216.48,1418641.22,1.25,1
Scleroptila afra,Phasianidae,Galliformes,389.68,437877.43,-31.45,1
Scleroptila elgonensis,Phasianidae,Galliformes,478.33,18206.28,-0.22,1
Scleroptila finschi,Phasianidae,Galliformes,569.2,304435.85,-7.78,1
Scleroptila gutturalis,Phasianidae,Galliformes,376.69,1483139.56,-12.99,1
Scleroptila levaillantii,Phasianidae,Galliformes,430.88,832216.06,-17.98,1
Scleroptila psilolaema,Phasianidae,Galliformes,478.33,47075.9,8.27,1
Scleroptila shelleyi,Phasianidae,Galliformes,488,1271472.68,-16.17,1
Scleroptila streptophora,Phasianidae,Galliformes,385,216468.87,0.17,1
Scleroptila whytei,Phasianidae,Galliformes,488,42230.12,-9.38,1
Synoicus adansonii,Phasianidae,Galliformes,40.41,5998351.89,-5.59,1
Synoicus chinensis,Phasianidae,Galliformes,40.41,8165093.61,8.56,1
Synoicus ypsilophorus,Phasianidae,Galliformes,107.69,5709134.88,-22.14,1
Syrmaticus ellioti,Phasianidae,Galliformes,1007.45,470213.06,27.21,1
Syrmaticus humiae,Phasianidae,Galliformes,873.35,405564.05,23.67,1
Syrmaticus mikado,Phasianidae,Galliformes,1148.69,13765.19,23.76,1
Syrmaticus reevesii,Phasianidae,Galliformes,1204.58,531855.88,30.57,1
Syrmaticus soemmerringii,Phasianidae,Galliformes,1081.66,174734.06,35.32,1
Tetrao urogalloides,Phasianidae,Galliformes,2752.29,7003788.43,59.89,1
Tetrao urogallus,Phasianidae,Galliformes,2716.61,11330230.84,59.49,1
Tetraogallus altaicus,Phasianidae,Galliformes,2760.43,819469.26,49.04,1
Tetraogallus caspius,Phasianidae,Galliformes,2508.24,313937.42,37.5,1
Tetraogallus caucasicus,Phasianidae,Galliformes,1830.79,23392.94,42.7,1
Tetraogallus himalayensis,Phasianidae,Galliformes,2428,1911759.79,38.18,1
Tetraogallus tibetanus,Phasianidae,Galliformes,1488.87,1066992.69,33.54,1
Tetraophasis obscurus,Phasianidae,Galliformes,855.35,118338.72,34.13,1
Tetraophasis szechenyii,Phasianidae,Galliformes,1052.99,524228.72,30.15,1
Tragopan blythii,Phasianidae,Galliformes,1930,48259.37,25.58,1
Tragopan caboti,Phasianidae,Galliformes,1122.49,396418.35,25.73,1
Tragopan melanocephalus,Phasianidae,Galliformes,1613.19,21593.78,32.63,1
Tragopan satyra,Phasianidae,Galliformes,1417.03,99176.64,28.59,1
Tragopan temminckii,Phasianidae,Galliformes,1163.38,1261852.14,28.33,1
Tympanuchus cupido,Phasianidae,Galliformes,870.08,402889.24,41.99,1
Tympanuchus pallidicinctus,Phasianidae,Galliformes,745.82,63286.57,36.61,1
Tympanuchus phasianellus,Phasianidae,Galliformes,882.38,6080574.6,55.49,1
Xenoperdix udzungwensis,Phasianidae,Galliformes,224.94,572.8,-7.6,1
Gavia adamsii,Gaviidae,Gaviiformes,4944.34,4030133.52,69.55,3
Gavia arctica,Gaviidae,Gaviiformes,2251.1,18911193.89,61.61,3
Gavia immer,Gaviidae,Gaviiformes,4956.81,9453280.12,58.02,3
Gavia pacifica,Gaviidae,Gaviiformes,2251.1,5397186.87,65.34,3
Gavia stellata,Gaviidae,Gaviiformes,1486,16657775.71,65.76,3
Aramus guarauna,Aramidae,Gruiformes,1080,12182050.36,-10.49,1
Anthropoides paradiseus,Gruidae,Gruiformes,4540.62,616090.89,-29.68,1
Anthropoides virgo,Gruidae,Gruiformes,2417,8896222.51,46.99,3
Antigone antigone,Gruidae,Gruiformes,5916.22,1865498.59,15.23,2
Antigone canadensis,Gruidae,Gruiformes,4296.22,8593771.09,60.34,3
Antigone rubicunda,Gruidae,Gruiformes,6222.82,3559865.45,-22.19,2
Antigone vipio,Gruidae,Gruiformes,4662.99,748047.17,48.27,3
Balearica pavonina,Gruidae,Gruiformes,3590,2976931.85,10.72,1
Balearica regulorum,Gruidae,Gruiformes,3771.99,3528882.19,-12.26,1
Bugeranus carunculatus,Gruidae,Gruiformes,8158.99,2289042.19,-13.53,1
Grus americana,Gruidae,Gruiformes,5825.99,6122.49,53.37,3
Grus grus,Gruidae,Gruiformes,5499.99,15456101.32,56.97,3
Grus japonensis,Gruidae,Gruiformes,8785.99,738171.22,48.03,3
Grus monacha,Gruidae,Gruiformes,3729.9,1609599.6,54.86,3
Grus nigricollis,Gruidae,Gruiformes,5999.99,822333.13,33.39,3
Leucogeranus leucogeranus,Gruidae,Gruiformes,5913.44,140691.61,69.84,3
Heliopais personatus,Heliornithidae,Gruiformes,510,272422.63,19.5,1
Heliornis fulica,Heliornithidae,Gruiformes,132,8812012.44,-4.37,1
Podica senegalensis,Heliornithidae,Gruiformes,599,11384786.12,-0.82,1
Psophia crepitans,Psophiidae,Gruiformes,1026,2593241.63,1.5,1
Psophia dextralis,Psophiidae,Gruiformes,1071,1010341.61,-7.49,1
Psophia leucoptera,Psophiidae,Gruiformes,1315.58,1532581.12,-8.36,1
Psophia obscura,Psophiidae,Gruiformes,1071,228024.15,-3.1,1
Psophia ochroptera,Psophiidae,Gruiformes,1026,171654.81,-2.13,1
Psophia viridis,Psophiidae,Gruiformes,1071,699135.56,-8.87,1
Amaurolimnas concolor,Rallidae,Gruiformes,133,1702915.03,-2.18,1
Amaurornis cinerea,Rallidae,Gruiformes,52.1,3636005.21,-3.66,1
Amaurornis isabellina,Rallidae,Gruiformes,180,55595.11,-0.82,1
Amaurornis magnirostris,Rallidae,Gruiformes,250,842.43,4.28,1
Amaurornis marginalis,Rallidae,Gruiformes,51.2,3857317.95,-11.18,2
Amaurornis moluccana,Rallidae,Gruiformes,186.78,1266108.02,-9.71,1
Amaurornis olivacea,Rallidae,Gruiformes,292,271176.41,11.87,1
Amaurornis phoenicurus,Rallidae,Gruiformes,180,9839893.66,19.12,1
Aramides albiventris,Rallidae,Gruiformes,514,535083.31,16.37,1
Aramides axillaris,Rallidae,Gruiformes,292,393931.62,10.76,1
Aramides cajaneus,Rallidae,Gruiformes,397,13038120.14,-9.4,1
Aramides calopterus,Rallidae,Gruiformes,320.5,627494.85,-5.61,1
Aramides mangle,Rallidae,Gruiformes,183,774415.01,-8.25,1
Aramides saracura,Rallidae,Gruiformes,540,928675.91,-25.2,1
Aramides wolfi,Rallidae,Gruiformes,454,119660.54,1.29,1
Aramides ypecaha,Rallidae,Gruiformes,700.07,3652694.26,-21.04,1
Aramidopsis plateni,Rallidae,Gruiformes,116,83126.44,-1.27,1
Canirallus oculeus,Rallidae,Gruiformes,277,1616653.93,1.96,1
Coturnicops exquisitus,Rallidae,Gruiformes,60.9,152804.92,47.98,1
Coturnicops notatus,Rallidae,Gruiformes,30,1592673.32,-29.37,2
Coturnicops noveboracensis,Rallidae,Gruiformes,60.9,3674188.27,51.67,3
Crex crex,Rallidae,Gruiformes,154.91,12516028.75,53.88,3
Crex egregia,Rallidae,Gruiformes,119,11681471.46,-5.1,3
Cyanolimnas cerverai,Rallidae,Gruiformes,175,1003.79,22.44,1
Dryolimnas cuvieri,Rallidae,Gruiformes,182.38,590995.52,-19.38,1
Eulabeornis castaneoventris,Rallidae,Gruiformes,684.46,69431.58,-13.41,1
Fulica alai,Rallidae,Gruiformes,459,1148.4,20.88,1
Fulica americana,Rallidae,Gruiformes,636.74,10934633.24,42.59,2
Fulica ardesiaca,Rallidae,Gruiformes,987.99,594594.35,-16.71,1
Fulica armillata,Rallidae,Gruiformes,1040,2733323.64,-38.38,1
Fulica atra,Rallidae,Gruiformes,717.12,33490842.86,36.45,1
Fulica cornuta,Rallidae,Gruiformes,2110.36,223464.94,-25.35,1
Fulica cristata,Rallidae,Gruiformes,826,5291448.7,-17.31,1
Fulica gigantea,Rallidae,Gruiformes,2442.74,534521.72,-17.54,1
Fulica leucoptera,Rallidae,Gruiformes,656,3041454.41,-34.3,1
Fulica rufifrons,Rallidae,Gruiformes,644,1255982.21,-34.37,1
Gallicrex cinerea,Rallidae,Gruiformes,390.39,10850084.73,22.92,2
Gallinula chloropus,Rallidae,Gruiformes,339.63,38515141.7,27.57,1
Gallinula comeri,Rallidae,Gruiformes,512.99,64.14,-40.31,1
Gallinula galeata,Rallidae,Gruiformes,339.63,13770097.15,5.81,1
Gallinula tenebrosa,Rallidae,Gruiformes,530.1,3787334.48,-24.78,1
Gallirallus australis,Rallidae,Gruiformes,875.72,41536.8,-42.53,1
Gallirallus calayanensis,Rallidae,Gruiformes,244,67.91,19.32,1
Gymnocrex plumbeiventris,Rallidae,Gruiformes,288,694042.4,-5.2,1
Gymnocrex rosenbergii,Rallidae,Gruiformes,288,48705.95,0.36,1
Gymnocrex talaudensis,Rallidae,Gruiformes,288,842.43,4.28,1
Habroptila wallacii,Rallidae,Gruiformes,1000,18107.41,0.87,1
Himantornis haematopus,Rallidae,Gruiformes,585.69,2352615.17,1.48,1
Hypotaenidia immaculata,Rallidae,Gruiformes,553.16,3690.94,-8.04,1
Hypotaenidia insignis,Rallidae,Gruiformes,353.07,33841.04,-5.47,1
Hypotaenidia okinawae,Rallidae,Gruiformes,433,594.31,26.67,1
Hypotaenidia owstoni,Rallidae,Gruiformes,226.03,NA,NA,1
Hypotaenidia philippensis,Rallidae,Gruiformes,205.92,2532556.07,-14.9,1
Hypotaenidia rovianae,Rallidae,Gruiformes,353.07,3354.63,-8.24,1
Hypotaenidia sylvestris,Rallidae,Gruiformes,494.38,1.68,-31.58,1
Hypotaenidia tertia,Rallidae,Gruiformes,553.16,6993.67,-6.14,1
Hypotaenidia torquata,Rallidae,Gruiformes,280,412241.22,5.92,1
Hypotaenidia woodfordi,Rallidae,Gruiformes,553.16,3999.91,-9.64,1
Laterallus albigularis,Rallidae,Gruiformes,47.29,484181.36,7.83,1
Laterallus exilis,Rallidae,Gruiformes,33.53,6585440.31,-7.05,1
Laterallus flaviventer,Rallidae,Gruiformes,24.92,2593534.55,-8.68,2
Laterallus jamaicensis,Rallidae,Gruiformes,32.56,926165.39,-3.6,1
Laterallus leucopyrrhus,Rallidae,Gruiformes,45.5,882070.87,-29.21,1
Laterallus levraudi,Rallidae,Gruiformes,43.51,37022.49,10.32,1
Laterallus melanophaius,Rallidae,Gruiformes,52.1,10160298.32,-13.16,1
Laterallus rogersi,Rallidae,Gruiformes,39.27,16.43,-37.3,1
Laterallus ruber,Rallidae,Gruiformes,44.4,557484.26,17.46,1
Laterallus spilonota,Rallidae,Gruiformes,40.24,2021.77,-0.63,1
Laterallus spilopterus,Rallidae,Gruiformes,52.1,133958.77,-33.79,2
Laterallus tuerosi,Rallidae,Gruiformes,32.56,163.83,-11.01,1
Laterallus xenopterus,Rallidae,Gruiformes,56.9,46887.09,-23.24,1
Lewinia mirifica,Rallidae,Gruiformes,68,105068.66,15.95,3
Lewinia muelleri,Rallidae,Gruiformes,93,43.24,-50.85,1
Lewinia pectoralis,Rallidae,Gruiformes,78.05,975421.42,-27.11,1
Lewinia striata,Rallidae,Gruiformes,116,4835230.29,15.54,1
Megacrex inepta,Rallidae,Gruiformes,1200,89575.46,-5.6,1
Mentocrex beankaensis,Rallidae,Gruiformes,246,3754.59,-18.71,1
Mentocrex kioloides,Rallidae,Gruiformes,246,39392.29,-17.84,1
Micropygia schomburgkii,Rallidae,Gruiformes,31.2,3010330.87,-14.43,2
Neocrex colombiana,Rallidae,Gruiformes,58.3,105973.62,6.06,2
Neocrex erythrops,Rallidae,Gruiformes,58.3,3059848.54,-9.04,2
Paragallinula angulata,Rallidae,Gruiformes,129.98,11737913.2,-4.23,1
Pardirallus maculatus,Rallidae,Gruiformes,171,7546722.29,-12.71,2
Pardirallus nigricans,Rallidae,Gruiformes,217,3254810.22,-17.74,1
Pardirallus sanguinolentus,Rallidae,Gruiformes,232,4579906.01,-32.74,1
Pareudiastes pacificus,Rallidae,Gruiformes,450,NA,NA,NA
Pareudiastes silvestris,Rallidae,Gruiformes,450,0.99,-10.63,1
Porphyrio alleni,Rallidae,Gruiformes,138.74,16360428.26,-1.98,3
Porphyrio flavirostris,Rallidae,Gruiformes,92.64,5270055.29,-9.79,2
Porphyrio hochstetteri,Rallidae,Gruiformes,2462.18,670.74,-45.22,1
Porphyrio martinicus,Rallidae,Gruiformes,235.06,16393196.71,-6.17,1
Porphyrio porphyrio,Rallidae,Gruiformes,773.88,18686249.25,-3.51,1
Porphyriops melanops,Rallidae,Gruiformes,191,4136401.21,-23.34,1
Porzana albicollis,Rallidae,Gruiformes,100,6152059.49,-13.45,1
Porzana carolina,Rallidae,Gruiformes,74.8,9780642.26,48.73,3
Porzana fasciata,Rallidae,Gruiformes,69,1297085.55,-5.19,1
Porzana fluminea,Rallidae,Gruiformes,60.79,1975889.79,-30.69,2
Porzana porzana,Rallidae,Gruiformes,87.1,10691863.17,54.44,3
Rallicula forbesi,Rallidae,Gruiformes,85.13,196864.35,-5.77,1
Rallicula leucospila,Rallidae,Gruiformes,120,16734.29,-1.11,1
Rallicula mayri,Rallidae,Gruiformes,122.89,12498.7,-3.42,1
Rallicula rubra,Rallidae,Gruiformes,81,104309.04,-4.32,1
Rallina canningi,Rallidae,Gruiformes,178,5240.42,12.31,1
Rallina eurizonoides,Rallidae,Gruiformes,109,2090656.41,18.18,1
Rallina fasciata,Rallidae,Gruiformes,100,1943821.53,4.3,1
Rallina tricolor,Rallidae,Gruiformes,178,727507.1,-5.7,1
Rallus antarcticus,Rallidae,Gruiformes,60.4,116492.9,-49.58,2
Rallus aquaticus,Rallidae,Gruiformes,110.67,12363656.67,47.32,2
Rallus caerulescens,Rallidae,Gruiformes,162.11,5673805.66,-13.68,1
Rallus crepitans,Rallidae,Gruiformes,306,227121.95,25.57,2
Rallus elegans,Rallidae,Gruiformes,313.31,3180557.02,36.43,1
Rallus indicus,Rallidae,Gruiformes,104.5,2883471.77,49.93,2
Rallus limicola,Rallidae,Gruiformes,84.1,5650094.92,43.23,3
Rallus longirostris,Rallidae,Gruiformes,259.35,359148.15,-3.5,2
Rallus madagascariensis,Rallidae,Gruiformes,114,149530.83,-19.14,1
Rallus obsoletus,Rallidae,Gruiformes,342,57343.01,28.69,2
Rallus semiplumbeus,Rallidae,Gruiformes,84.1,728.49,4.68,1
Rallus tenuirostris,Rallidae,Gruiformes,306,189445.5,20.18,1
Rallus wetmorei,Rallidae,Gruiformes,259.4,117.29,10.7,2
Rougetius rougetii,Rallidae,Gruiformes,193.39,344840.95,9.48,1
Rufirallus castaneiceps,Rallidae,Gruiformes,126,607612.54,-5.72,1
Rufirallus viridis,Rallidae,Gruiformes,64.34,6139478.63,-7.22,1
Sarothrura affinis,Rallidae,Gruiformes,27.8,524225.88,-22.8,1
Sarothrura ayresi,Rallidae,Gruiformes,31.8,2995.34,3.8,1
Sarothrura boehmi,Rallidae,Gruiformes,34.97,995800.31,-12.23,1
Sarothrura elegans,Rallidae,Gruiformes,46.04,7047799.89,-8.05,1
Sarothrura insularis,Rallidae,Gruiformes,26.8,289629.5,-19.31,1
Sarothrura lugens,Rallidae,Gruiformes,30.83,189277.4,-5.7,1
Sarothrura pulchra,Rallidae,Gruiformes,45.2,4635423.45,0.32,1
Sarothrura rufa,Rallidae,Gruiformes,37.68,4402555,-9.18,1
Sarothrura watersi,Rallidae,Gruiformes,26.5,12305.12,-19.38,1
Tribonyx mortierii,Rallidae,Gruiformes,1291.83,35850.34,-41.82,1
Tribonyx ventralis,Rallidae,Gruiformes,386.31,4599237.18,-27.18,2
Zapornia akool,Rallidae,Gruiformes,131.43,3895470.77,23.74,2
Zapornia atra,Rallidae,Gruiformes,77.4,41.11,-24.36,1
Zapornia bicolor,Rallidae,Gruiformes,57.3,1389774.52,25.17,1
Zapornia flavirostra,Rallidae,Gruiformes,86.2,16710583.49,-2.62,1
Zapornia fusca,Rallidae,Gruiformes,57.27,6674711.81,24.18,2
Zapornia olivieri,Rallidae,Gruiformes,86.2,30532.17,-18.46,1
Zapornia parva,Rallidae,Gruiformes,49.7,6785055.74,50.9,3
Zapornia paykullii,Rallidae,Gruiformes,111,1588796.19,44.21,3
Zapornia pusilla,Rallidae,Gruiformes,35.4,19543407.73,23.48,3
Zapornia tabuensis,Rallidae,Gruiformes,42.23,2288129.09,-25.45,1
Leptosomus discolor,Leptosomidae,Leptosomiformes,255,592877.2,-19.36,1
Mesitornis unicolor,Mesitornithidae,Mesitornithiformes,148,37168.05,-18.07,1
Mesitornis variegatus,Mesitornithidae,Mesitornithiformes,110,39538.16,-18.08,1
Monias benschi,Mesitornithidae,Mesitornithiformes,137.94,12321.8,-22.42,1
Corythaeola cristata,Musophagidae,Musophagiformes,964.99,3896093.97,1.55,1
Corythaixoides concolor,Musophagidae,Musophagiformes,258,3808237.76,-17.21,1
Corythaixoides leopoldi,Musophagidae,Musophagiformes,250,667261.68,-5.02,1
Corythaixoides personatus,Musophagidae,Musophagiformes,250,52976.1,6.46,1
Crinifer piscator,Musophagidae,Musophagiformes,370,3640485.51,9.71,1
Crinifer zonurus,Musophagidae,Musophagiformes,527,1014236.61,7.02,1
Criniferoides leucogaster,Musophagidae,Musophagiformes,216.16,2293621.91,3.09,1
Gallirex johnstoni,Musophagidae,Musophagiformes,240,16706.27,-2.11,1
Gallirex porphyreolophus,Musophagidae,Musophagiformes,259,2166499.58,-14.2,1
Musophaga rossae,Musophagidae,Musophagiformes,361.42,3088906.06,-6.06,1
Musophaga violacea,Musophagidae,Musophagiformes,360,2077717.14,10.04,1
Tauraco bannermani,Musophagidae,Musophagiformes,224,1978.6,6.06,1
Tauraco corythaix,Musophagidae,Musophagiformes,308,124836.47,-30.04,1
Tauraco erythrolophus,Musophagidae,Musophagiformes,261.24,189792.61,-9.28,1
Tauraco fischeri,Musophagidae,Musophagiformes,250,48655.56,-2.24,1
Tauraco hartlaubi,Musophagidae,Musophagiformes,224,264805.15,-0.67,1
Tauraco leucolophus,Musophagidae,Musophagiformes,219,1433202.57,5.95,1
Tauraco leucotis,Musophagidae,Musophagiformes,265,807016.24,8.87,1
Tauraco livingstonii,Musophagidae,Musophagiformes,249,974104.7,-14.5,1
Tauraco macrorhynchus,Musophagidae,Musophagiformes,243.72,1273570.69,3.31,1
Tauraco persa,Musophagidae,Musophagiformes,306,3260169.31,5.3,1
Tauraco ruspolii,Musophagidae,Musophagiformes,263,11916.28,5.21,1
Tauraco schalowi,Musophagidae,Musophagiformes,206.39,1899419.96,-11.64,1
Tauraco schuettii,Musophagidae,Musophagiformes,235,2085207.97,-1.23,1
Opisthocomus hoazin,Opisthocomidae,Opisthocomiformes,696,7559878.74,-3.65,1
Afrotis afra,Otididae,Otidiformes,689.99,173167.3,-32.86,1
Afrotis afraoides,Otididae,Otidiformes,745,1934353.37,-25.21,1
Ardeotis arabs,Otididae,Otidiformes,5943.48,2950367.62,13.89,1
Ardeotis australis,Otididae,Otidiformes,4182.35,6717248.95,-24.05,1
Ardeotis kori,Otididae,Otidiformes,7994.16,3565934.25,-16.22,1
Ardeotis nigriceps,Otididae,Otidiformes,7235.31,451108.33,22.98,1
Chlamydotis macqueenii,Otididae,Otidiformes,1501.33,4341405.59,40.12,1
Chlamydotis undulata,Otididae,Otidiformes,1501.33,3413138.33,28.24,1
Eupodotis caerulescens,Otididae,Otidiformes,1366,264843.99,-29.04,1
Eupodotis senegalensis,Otididae,Otidiformes,585,4886826.68,2.55,1
Heterotetrax humilis,Otididae,Otidiformes,698,447301.03,8.1,1
Heterotetrax rueppelii,Otididae,Otidiformes,1107.04,280978.34,-20.52,1
Heterotetrax vigorsii,Otididae,Otidiformes,1700,691336.88,-29.73,1
Houbaropsis bengalensis,Otididae,Otidiformes,2012.46,76553.14,25.33,1
Lissotis hartlaubii,Otididae,Otidiformes,1190,606100.64,4.48,1
Lissotis melanogaster,Otididae,Otidiformes,1151.52,10594022.75,-0.73,1
Lophotis gindiana,Otididae,Otidiformes,782.3,1777669.92,3.04,1
Lophotis ruficrista,Otididae,Otidiformes,712.1,2013859.39,-20.84,1
Lophotis savilei,Otididae,Otidiformes,712.1,1057430.55,13.54,1
Neotis denhami,Otididae,Otidiformes,3970.2,7660206.48,1.84,1
Neotis heuglinii,Otididae,Otidiformes,4098.78,989206.1,6.22,1
Neotis ludwigii,Otididae,Otidiformes,3260.94,1006199.57,-27.03,1
Neotis nuba,Otididae,Otidiformes,5440,2385968.92,17.41,1
Otis tarda,Otididae,Otidiformes,6759.92,4521984.02,48.74,2
Sypheotides indicus,Otididae,Otidiformes,614.32,1401041.69,24.07,1
Tetrax tetrax,Otididae,Otidiformes,833.45,5061737.32,48.84,2
Acanthisitta chloris,Acanthisittidae,Passeriformes,6.91,152503.84,-42.25,1
Xenicus gilviventris,Acanthisittidae,Passeriformes,17.59,11157.46,-43.99,1
Acanthiza apicalis,Acanthizidae,Passeriformes,7.62,4124270.8,-27.63,1
Acanthiza chrysorrhoa,Acanthizidae,Passeriformes,9.29,4590956.34,-28.8,1
Acanthiza cinerea,Acanthizidae,Passeriformes,7.6,124509.89,-5.22,1
Acanthiza ewingii,Acanthizidae,Passeriformes,6.9,68050.51,-41.94,1
Acanthiza inornata,Acanthizidae,Passeriformes,7,137406.16,-32.67,1
Acanthiza iredalei,Acanthizidae,Passeriformes,6.04,987131.55,-31.22,1
Acanthiza katherina,Acanthizidae,Passeriformes,7.2,58196.09,-17.76,1
Acanthiza lineata,Acanthizidae,Passeriformes,6.85,1043817.35,-32.16,1
Acanthiza murina,Acanthizidae,Passeriformes,8.4,83142.29,-5.39,1
Acanthiza nana,Acanthizidae,Passeriformes,6.19,2021416.13,-29.95,1
Acanthiza pusilla,Acanthizidae,Passeriformes,7.62,1131818.69,-32.24,1
Acanthiza reguloides,Acanthizidae,Passeriformes,7.7,1843422.3,-29.59,1
Acanthiza robustirostris,Acanthizidae,Passeriformes,6.1,2061848.42,-25.85,2
Acanthiza uropygialis,Acanthizidae,Passeriformes,6.4,4788831.67,-28.24,1
Acanthornis magna,Acanthizidae,Passeriformes,10.18,45032.53,-41.92,1
