species,attractiveness,n_sex_rows
Charadrius collaris,6.6832,1
Charadrius dubius,6.2670,1
Charadrius falklandicus,6.0285,1
Charadrius forbesi,5.8493,1
Charadrius hiaticula,5.4620,1
Charadrius javanicus,5.9302,1
Charadrius leschenaultii,6.2470,1
Charadrius marginatus,5.4070,1
Charadrius melodus,6.6023,1
Charadrius modestus,6.8340,1
Charadrius mongolus,5.7746,1
Charadrius montanus,5.7244,1
Charadrius nivosus,6.7942,1
Charadrius pallidus,6.1793,1
Charadrius pecuarius,5.5902,1
Charadrius peronii,5.8641,1
Charadrius placidus,5.6044,1
Charadrius ruficapillus,6.2786,2
Charadrius sanctaehelenae,5.8394,1
Charadrius semipalmatus,6.0771,1
Charadrius thoracicus,6.0674,1
Charadrius veredus,6.2383,1
Charadrius vociferus,5.9791,1
Charadrius wilsonia,5.8403,1
Charitospiza eucosma,6.2735,2
Charmosyna josefinae,6.4551,1
Charmosyna margarethae,6.8131,1
Charmosyna meeki,6.8226,1
Charmosyna palmarum,5.8400,1
Charmosyna placentis,6.8723,1
Charmosyna pulchella,6.5694,1
Charmosyna rubrigularis,6.6297,1
Charmosyna rubronotata,6.2614,1
Charmosyna toxopei,5.8755,1
Charmosyna wilhelminae,5.4444,1
Chasiempis ibidis,5.8265,1
Chasiempis sandwichensis,6.0639,1
Chasiempis sclateri,6.5058,1
Chatarrhaea gularis,5.6188,1
Chatarrhaea longirostris,5.3831,1
Chauna chavaria,5.2364,1
Chauna torquata,5.1172,1
Chelictinia riocourii,6.6687,1
Chelidoptera tenebrosa,5.7802,1
Chelidorhynx hypoxanthus,6.7606,2
Chenonetta jubata,5.6219,2
Cheramoeca leucosterna,5.9377,1
Chersophilus duponti,4.9241,1
Chionis albus,5.4673,1
Chionis minor,5.6120,1
Chionodacryon speculiferum,5.7478,1
Chiroxiphia boliviana,6.1021,2
Chiroxiphia caudata,6.7918,2
Chiroxiphia lanceolata,7.1449,1
Chiroxiphia linearis,7.1432,1
Chiroxiphia pareola,7.1109,1
Chlamydera cerviniventris,5.5551,1
Chlamydera guttata,6.0940,1
Chlamydera lauterbachi,5.2473,1
Chlamydera maculata,5.2067,1
Chlamydera nuchalis,5.5563,1
Chlamydochaera jefferyi,5.4604,1
Chlamydotis macqueenii,5.0973,1
Chlamydotis undulata,5.7212,1
Chleuasicus atrosuperciliaris,5.7989,1
Chlidonias albostriatus,5.8684,1
Chlidonias hybrida,5.9922,1
Chlidonias leucopterus,5.8260,1
Chlidonias niger,5.5790,1
Chloebia gouldiae,6.7935,1
Chloephaga hybrida,6.2016,1
Chloephaga melanoptera,5.6995,1
Chloephaga picta,5.3963,2
Chloephaga poliocephala,5.6207,2
Chloephaga rubidiceps,5.4547,1
Chloris ambigua,5.3785,1
Chloris chloris,5.5715,2
Chloris monguilloti,6.3381,1
Chloris sinica,5.6808,1
Chloris spinoides,6.6159,1
Chloroceryle aenea,7.3277,1
Chloroceryle amazona,6.7030,1
Chloroceryle americana,7.4680,1
Chloroceryle inda,7.0432,1
Chlorochrysa nitidissima,7.0520,1
Chlorochrysa phoenicotis,6.8448,1
Chlorocichla falkensteini,5.4534,1
Chlorocichla flaviventris,5.6009,1
Chlorocichla laetissima,5.1204,1
Chlorocichla simplex,5.0075,1
Chlorodrepanis flava,6.0430,2
Chlorodrepanis stejnegeri,6.0344,1
Chlorodrepanis virens,6.2491,1
Chlorophanes spiza,6.6369,2
Chlorophoneus bocagei,6.1852,1
Chlorophoneus kupeensis,5.3209,1
Chlorophoneus multicolor,6.3145,1
Chlorophoneus nigrifrons,6.2732,1
Chlorophoneus olivaceus,6.1244,1
Chlorophoneus sulfureopectus,6.4439,1
Chlorophonia callophrys,6.7601,2
Chlorophonia cyanea,7.6276,1
Chlorophonia flavirostris,6.3721,2
Chlorophonia occipitalis,7.0223,2
Chlorophonia pyrrhophrys,6.5174,2
Chloropipo flavicapilla,7.0134,1
Chloropipo unicolor,4.9550,1
Chloropsis aurifrons,6.8407,1
Chloropsis cyanopogon,6.7995,2
Chloropsis flavipennis,5.6330,1
Chloropsis jerdoni,6.7155,1
Chloropsis kinabaluensis,6.8826,2
Chloropsis media,7.0017,1
Chloropsis palawanensis,6.2665,1
Chloropsis sonnerati,6.7339,1
Chloropsis venusta,6.7449,1
Chlorornis riefferii,6.6965,1
Chlorospingus canigularis,5.7817,1
Chlorospingus flavopectus,5.9974,1
Chlorospingus inornatus,5.9931,1
Chlorospingus parvirostris,5.5567,1
Chlorospingus pileatus,5.9759,1
Chlorospingus semifuscus,5.7611,1
Chlorospingus tacarcunae,5.3277,1
Chlorostilbon assimilis,7.0453,2
Chlorostilbon auriceps,6.6134,1
Chlorostilbon canivetii,6.9069,1
Chlorostilbon forficatus,7.1829,1
Chlorostilbon gibsoni,7.1065,2
Chlorostilbon lucidus,7.2186,2
Chlorostilbon maugaeus,6.9354,2
Chlorostilbon notatus,7.5178,2
Chlorostilbon ricordii,7.2946,1
Chlorostilbon russatus,6.3285,1
Chlorostilbon stenurus,7.2832,1
Chlorostilbon swainsonii,7.5050,1
Cholornis paradoxus,5.7091,1
Cholornis unicolor,5.5576,1
Chondestes grammacus,5.9953,1
Chordeiles acutipennis,5.6283,1
Chordeiles gundlachii,5.8632,2
Chordeiles minor,6.6452,1
Chordeiles nacunda,6.2158,1
Chordeiles pusillus,5.6187,1
Chordeiles rupestris,5.0722,1
Chrysococcyx caprius,6.1021,1
Chrysococcyx cupreus,6.8253,1
Chrysococcyx flavigularis,6.2171,1
Chrysococcyx klaas,5.9056,1
Chrysococcyx maculatus,6.1109,1
Chrysococcyx xanthorhynchus,5.9449,2
Chrysocolaptes erythrocephalus,6.0445,1
Chrysocolaptes festivus,6.1051,2
Chrysocolaptes guttacristatus,6.1823,1
Chrysocolaptes haematribon,5.4289,1
Chrysocolaptes lucidus,5.9826,2
Chrysocolaptes stricklandi,5.8704,1
Chrysocolaptes strictus,5.2198,1
Chrysocolaptes validus,5.8188,1
Chrysocolaptes xanthocephalus,6.3725,1
Chrysocorypha delatrii,6.5173,1
Chrysoena luteovirens,6.4086,1
Chrysoena victor,6.1974,1
Chrysoena viridis,6.6409,1
Chrysolampis mosquitus,7.6816,1
Chrysolophus amherstiae,6.6437,1
Chrysolophus pictus,6.6643,1
Chrysominla strigula,6.6416,1
Chrysomma altirostre,5.6029,1
Chrysomma sinense,6.1568,1
Chrysomus icterocephalus,6.6606,1
Chrysomus ruficapillus,5.6817,1
Chrysophlegma flavinucha,6.6570,2
Chrysophlegma miniaceum,5.9345,1
Chrysothlypis chrysomelas,6.9908,1
Chrysothlypis salmoni,6.2486,1
Chunga burmeisteri,5.4642,1
Ciccaba albitarsis,6.7546,1
Ciccaba huhula,7.4630,1
Ciccaba nigrolineata,7.0030,1
Ciccaba virgata,6.6759,1
Cichladusa arquata,5.5902,1
Cichladusa guttata,5.7880,1
Cichladusa ruficauda,6.3830,1
Cicinnurus magnificus,6.4741,1
Cicinnurus regius,6.8175,1
Cicinnurus respublica,6.6641,1
Ciconia abdimii,5.1328,1
Ciconia boyciana,5.4690,1
Ciconia ciconia,6.5641,1
Ciconia maguari,6.1399,1
Ciconia nigra,6.3442,1
Ciconia stormi,5.6410,1
Cinclidium frontale,6.4456,1
Cinclocerthia gutturalis,5.1362,1
Cinclocerthia ruficauda,5.1468,1
Cinclodes albidiventris,4.8940,1
Cinclodes albiventris,5.6260,1
Cinclodes aricomae,5.0245,1
Cinclodes atacamensis,4.8631,1
Cinclodes comechingonus,4.8706,1
Cinclodes excelsior,5.2328,1
Cinclodes fuscus,5.2284,1
Cinclodes nigrofumosus,5.1903,1
Cinclodes olrogi,5.4753,1
Cinclodes oustaleti,5.0012,1
Cinclodes pabsti,5.3624,1
Cinclodes palliatus,5.3743,1
Cinclodes patagonicus,5.3925,1
Cinclodes taczanowskii,5.1588,1
Cincloramphus cruralis,5.1242,1
Cincloramphus macrurus,5.4518,2
Cincloramphus mathewsi,5.8168,1
Cincloramphus timoriensis,5.4024,1
Cinclosoma ajax,4.4747,1
Cinclosoma alisteri,5.2384,1
Cinclosoma castaneothorax,5.0297,1
Cinclosoma cinnamomeum,5.3056,1
Cinclosoma marginatum,5.6347,1
Cinclosoma punctatum,6.0515,2
Cinclus cinclus,6.4293,1
Cinclus leucocephalus,6.4417,1
Cinclus mexicanus,6.0095,1
Cinclus pallasii,5.7217,1
Cinclus schulzii,6.0239,1
Cinnycerthia fulva,5.8739,1
Cinnycerthia olivascens,5.4821,1
Cinnycerthia peruana,5.6687,1
Cinnycerthia unirufa,5.7270,1
Cinnyricinclus leucogaster,6.0101,2
Cinnyris afer,6.8131,2
Cinnyris asiaticus,6.5456,1
Cinnyris batesi,4.3560,1
Cinnyris bifasciatus,6.3981,1
Cinnyris bouvieri,6.4657,1
Cinnyris buettikoferi,5.9664,2
Cinnyris chalcomelas,6.4931,1
Cinnyris chalybeus,6.5751,2
Cinnyris chloropygius,7.4827,1
Cinnyris coccinigastrus,6.6363,1
Cinnyris comorensis,5.6179,2
Cinnyris congensis,6.2086,1
Cinnyris coquerellii,6.8057,1
Cinnyris cupreus,6.6542,1
Cinnyris dussumieri,5.4727,1
Cinnyris erythrocercus,6.9620,1
Cinnyris fuelleborni,7.3118,1
Cinnyris fuscus,5.8637,1
Cinnyris gertrudis,5.9653,1
Cinnyris humbloti,6.2052,1
Cinnyris johannae,6.3190,1
Cinnyris lotenius,6.6917,1
Cinnyris loveridgei,7.2523,1
Cinnyris ludovicensis,7.1933,1
Cinnyris manoensis,6.5698,1
Cinnyris mariquensis,6.7266,1
Cinnyris mediocris,7.4712,1
Cinnyris minullus,7.1256,1
Cinnyris moreaui,6.6219,1
Cinnyris nectarinioides,7.2637,1
Cinnyris neergaardi,6.9134,1
Cinnyris osea,6.2198,2
Cinnyris oustaleti,7.1600,1
Cinnyris pembae,6.8449,1
Cinnyris regius,7.7037,1
Cinnyris reichenowi,7.1443,1
Cinnyris rufipennis,6.0020,1
Cinnyris shelleyi,6.1440,2
Cinnyris solaris,6.5466,1
Cinnyris sovimanga,6.4443,2
Cinnyris stuhlmanni,6.8208,1
Cinnyris superbus,6.6390,1
Cinnyris talatala,7.0724,1
Cinnyris tsavoensis,5.6621,1
Cinnyris ursulae,6.1517,1
Cinnyris usambaricus,6.4911,2
Cinnyris venustus,6.6370,1
Circaetus beaudouini,6.1736,2
Circaetus cinerascens,6.4620,1
Circaetus cinereus,6.1575,1
Circaetus fasciolatus,6.4257,1
Circaetus gallicus,6.6179,1
Circaetus pectoralis,5.8698,1
Circus aeruginosus,6.0259,2
Circus approximans,6.3866,1
Circus assimilis,6.1105,1
Circus buffoni,6.9809,1
Circus cinereus,6.3762,2
Circus cyaneus,6.0835,2
Circus hudsonius,6.2373,2
Circus macrosceles,6.4316,2
Circus macrourus,6.2230,2
Circus maillardi,6.0728,1
Circus maurus,6.6128,2
Circus melanoleucos,6.4987,1
Circus pygargus,6.8688,1
Circus ranivorus,5.8021,1
Circus spilonotus,6.3191,1
Circus spilothorax,5.6127,1
Cissa chinensis,6.5510,1
Cissa hypoleuca,6.7997,1
Cissa jefferyi,6.5489,1
Cissomela pectoralis,6.2800,1
Cissopis leverianus,6.1970,1
Cisticola aberdare,5.3172,1
Cisticola angusticauda,5.7297,1
Cisticola anonymus,4.7616,1
Cisticola aridulus,5.9291,1
Cisticola ayresii,4.7872,1
Cisticola bodessa,4.7913,1
Cisticola brachypterus,5.2533,1
Cisticola brunnescens,5.2463,1
Cisticola bulliens,4.7809,1
Cisticola cantans,5.3593,1
Cisticola carruthersi,5.5491,1
Cisticola cherina,5.1745,1
Cisticola chiniana,4.7988,1
Cisticola chubbi,5.2338,1
Cisticola cinereolus,4.6250,1
Cisticola cinnamomeus,5.5544,1
Cisticola dambo,4.6741,1
Cisticola erythrops,5.2851,1
Cisticola exilis,5.9010,1
Cisticola eximius,4.9700,1
Cisticola fulvicapilla,5.2382,1
Cisticola galactotes,5.0782,1
Cisticola guinea,5.0731,1
Cisticola haematocephalus,5.3623,1
Cisticola hunteri,5.6393,1
Cisticola juncidis,5.4693,1
Cisticola lais,5.3656,1
Cisticola lateralis,4.5814,1
Cisticola luapula,4.9180,1
Cisticola lugubris,5.5302,1
Cisticola marginatus,5.1722,1
Cisticola nana,5.7587,1
Cisticola natalensis,4.5563,1
Cisticola nigriloris,4.7866,1
Cisticola njombe,5.3728,1
Cisticola pipiens,5.2424,1
Cisticola robustus,5.3665,1
Cisticola ruficeps,4.9467,1
Cisticola rufilatus,5.1978,1
Cisticola rufus,5.2019,1
Cisticola subruficapilla,5.0407,1
Cisticola textrix,5.5766,1
Cisticola tinniens,5.3459,1
Cisticola troglodytes,5.2787,1
Cisticola woosnami,5.5585,1
Cistothorus apolinari,5.1588,1
Cistothorus meridae,5.3408,1
Cistothorus palustris,5.8537,1
Cistothorus platensis,5.3790,1
Cladorhynchus leucocephalus,6.8670,1
Clamator coromandus,6.9109,1
Clamator glandarius,5.8475,1
Clamator jacobinus,5.7628,1
Clamator levaillantii,6.2516,1
Clanga clanga,6.9560,1
Clanga hastata,6.4136,1
Clanga pomarina,6.1735,1
Clangula hyemalis,5.5038,2
Claravis pretiosa,5.3261,1
Cleptornis marchei,6.4072,1
Clibanornis dendrocolaptoides,5.3905,1
Clibanornis erythrocephalus,5.6522,1
Clibanornis rectirostris,5.3697,1
Clibanornis rubiginosus,5.4734,1
Clibanornis rufipectus,5.2246,1
Climacteris affinis,5.3316,2
Climacteris erythrops,5.6167,1
Climacteris melanurus,5.1830,1
Climacteris picumnus,5.0155,1
Climacteris rufus,5.4443,1
Clytoceyx rex,5.0969,1
Clytoctantes alixii,5.8556,1
Clytoctantes atrogularis,5.6419,1
Clytolaema rubricauda,7.5378,1
Clytomyias insignis,6.5475,1
Clytorhynchus hamlini,5.3478,1
Clytorhynchus nigrogularis,6.1742,1
Clytorhynchus pachycephaloides,5.6724,1
Clytorhynchus vitiensis,5.3188,1
Clytospiza monteiri,5.5289,1
Cnemarchus erythropygius,5.7577,1
Cnemathraupis aureodorsalis,6.4987,1
Cnemathraupis eximia,6.4515,1
Cnemophilus loriae,5.7500,2
Cnemotriccus fuscatus,4.9521,1
Cnipodectes subbrunneus,5.3186,1
Cnipodectes superrufus,5.7938,1
Coccopygia bocagei,5.6871,1
Coccopygia melanotis,6.9646,1
Coccopygia quartinia,6.5809,1
Coccothraustes coccothraustes,6.1223,2
Coccycua cinerea,5.4228,1
Coccycua minuta,6.0041,1
Coccycua pumila,5.7057,1
Coccyzus americanus,5.9402,1
Coccyzus erythropthalmus,5.5525,1
Coccyzus euleri,5.6381,1
Coccyzus ferrugineus,5.7900,1
Coccyzus lansbergi,6.3088,1
Coccyzus longirostris,6.2084,1
Coccyzus melacoryphus,5.6801,1
Coccyzus minor,6.2926,1
Coccyzus pluvialis,7.0420,1
Coccyzus rufigularis,5.9139,1
Coccyzus vetula,6.2463,1
Coccyzus vieilloti,5.7502,1
Cochlearius cochlearius,6.3167,1
Cochoa azurea,5.8688,1
Cochoa beccarii,5.7755,1
Cochoa purpurea,5.2031,1
Cochoa viridis,6.1960,2
Coeligena coeligena,6.6353,1
Coeligena helianthea,7.2450,2
Coeligena iris,7.1145,1
Coeligena lutetiae,7.5308,1
Coeligena orina,7.6411,1
Coeligena phalerata,7.8248,1
Coeligena prunellei,6.7116,1
Coeligena wilsoni,6.6049,1
Coenocorypha aucklandica,4.9238,1
Coenocorypha huegeli,5.2759,1
Coenocorypha pusilla,4.7574,1
Coereba flaveola,6.0335,1
Colaptes atricollis,6.3635,2
Colaptes auricularis,6.2152,2
Colaptes chrysoides,6.3962,1
Colaptes fernandinae,6.2024,1
Colaptes pitius,5.5872,1
Colaptes punctigula,6.7180,1
Colibri coruscans,7.6793,1
Colibri delphinae,6.4205,1
Colibri serrirostris,7.5991,1
Colinus nigrogularis,5.5528,1
Colinus virginianus,6.0610,1
Colius castanotus,5.8310,1
Colius colius,6.6672,1
Colius leucocephalus,6.2798,1
Colius striatus,6.0766,1
Collocalia troglodytes,4.9785,1
Colluricincla boweri,5.0849,1
Colluricincla harmonica,5.0653,1
Colluricincla woodwardi,5.0425,1
Colonia colonus,6.2425,1
Colorhamphus parvirostris,5.6089,1
Columba albinucha,4.5769,1
Columba albitorques,5.7869,1
Columba argentina,5.0980,1
Columba arquatrix,5.4714,1
Columba bollii,4.9982,1
Columba delegorguei,5.0232,2
Columba elphinstonii,6.2981,1
Columba eversmanni,5.0317,1
Columba guinea,5.4596,1
Columba hodgsonii,4.7140,1
Columba iriditorques,5.1846,1
Columba janthina,5.6594,1
Columba junoniae,5.0432,1
Columba leucomela,5.2437,1
Columba leuconota,5.3728,1
Columba livia,4.5617,1
Columba malherbii,4.9814,1
Columba oenas,6.0980,1
Columba oliviae,4.6193,1
Columba pallidiceps,5.1035,1
Columba palumboides,5.2575,1
Columba palumbus,5.2235,1
Columba pollenii,4.9571,1
Columba pulchricollis,5.3186,1
Columba punicea,5.3545,1
Columba rupestris,4.5953,1
Columba sjostedti,4.5231,1
Columba thomensis,5.5972,2
Columba torringtoniae,5.0076,1
Columba trocaz,5.0190,1
Columba unicincta,4.4236,1
Columba vitiensis,5.7211,1
Columbina buckleyi,5.1480,1
Columbina cruziana,5.5759,1
Columbina cyanopis,6.2733,1
Columbina inca,5.5035,1
Columbina minuta,4.8583,1
Columbina passerina,5.5614,1
Columbina picui,5.5445,1
Columbina squammata,5.5377,1
Columbina talpacoti,5.1929,1
Compsothraupis loricata,5.7782,1
Conioptilon mcilhennyi,5.1651,1
Conirostrum albifrons,5.6664,1
Conirostrum bicolor,5.8099,1
Conirostrum binghami,5.6893,1
Conirostrum ferrugineiventre,6.3876,1
Conirostrum leucogenys,5.2774,1
Conirostrum margaritae,5.3921,1
Conirostrum rufum,5.8409,1
Conirostrum sitticolor,6.9704,1
Conirostrum speciosum,5.7572,2
Conirostrum tamarugense,5.9277,1
Conopias albovittatus,6.1041,1
Conopias cinchoneti,6.3115,1
Conopias parvus,6.1640,1
Conopias trivirgatus,5.6149,1
Conopophaga ardesiaca,5.8692,1
Conopophaga castaneiceps,5.3210,1
Conopophaga cearae,6.3002,1
Conopophaga lineata,4.8518,1
Conopophaga melanogaster,6.0524,1
Conopophaga melanops,5.9912,1
Conopophaga peruviana,5.2905,1
Conopophaga roberti,5.8845,2
Conopophila albogularis,5.3884,1
Conopophila rufogularis,5.3725,1
Conopophila whitei,4.4171,1
Conostoma aemodium,5.2985,1
Conothraupis mesoleuca,6.0469,1
Conothraupis speculigera,5.2503,1
Contopus albogularis,5.1591,1
Contopus caribaeus,5.4956,1
Contopus cooperi,5.7829,1
Contopus fumigatus,5.6828,1
Contopus hispaniolensis,5.4631,1
Contopus latirostris,5.8394,1
Contopus lugubris,5.1416,1
Contopus nigrescens,5.1274,1
Contopus ochraceus,5.1440,1
Contopus pallidus,5.9329,1
Contopus pertinax,5.6167,1
Contopus sordidulus,5.4429,1
Contopus virens,5.1549,1
Copsychus mindanensis,5.7502,2
Copsychus saularis,6.3078,1
Copsychus sechellarum,5.9842,1
Coracias abyssinicus,7.6169,1
Coracias affinis,7.1895,1
Coracias benghalensis,7.6593,1
Coracias caudatus,7.4058,1
Coracias cyanogaster,6.7574,1
Coracias garrulus,7.2122,1
Coracias naevius,6.1618,1
Coracias spatulatus,6.5987,1
Coracias temminckii,7.1515,1
Coracina atriceps,5.0504,1
Coracina bicolor,4.8266,1
Coracina boyeri,5.5666,1
Coracina caeruleogrisea,5.2803,1
Coracina caledonica,5.9321,1
Coracina dobsoni,5.2445,1
Coracina fortis,4.9004,1
Coracina larvata,5.6000,1
Coracina leucopygia,5.0893,1
Coracina lineata,5.6629,1
Coracina longicauda,5.3981,2
Coracina maxima,5.5587,1
Coracina novaehollandiae,5.7595,1
Coracina personata,5.3233,1
Coracina schistacea,4.6717,2
Coracina temminckii,5.6814,1
Coracina welchmani,5.3306,1
Coracopsis barklyi,5.6366,1
Coracopsis vasa,5.9049,1
Coracornis raveni,4.7771,1
Coracornis sanghirensis,4.6952,1
Coragyps atratus,4.6305,1
Corapipo gutturalis,6.2765,1
Corcorax melanorhamphos,5.3137,1
Cormobates leucophaea,4.7295,2
Cormobates placens,4.8749,1
Corvinella corvina,6.0222,1
Corvus albicollis,5.9820,1
Corvus albus,6.0430,1
Corvus bennetti,5.6096,1
Corvus capensis,5.2585,1
Corvus corax,6.2411,1
Corvus coronoides,6.0491,1
Corvus crassirostris,5.7129,1
Corvus cryptoleucus,5.8206,1
Corvus dauuricus,6.0775,1
Corvus edithae,5.9343,1
Corvus enca,5.9884,1
Corvus florensis,5.1765,1
Corvus frugilegus,5.1572,1
Corvus fuscicapillus,5.1901,1
Corvus hawaiiensis,5.0693,1
Corvus imparatus,5.4489,1
Corvus insularis,5.1988,1
Corvus jamaicensis,5.5776,1
Corvus kubaryi,4.8961,1
Corvus leucognaphalus,5.2266,1
Corvus macrorhynchos,5.9487,1
Corvus meeki,4.6622,1
Corvus mellori,6.4295,1
Corvus monedula,5.2302,1
Corvus moneduloides,5.0992,1
Corvus nasicus,5.8503,1
Corvus orru,5.9683,1
Corvus ossifragus,5.8832,1
Corvus palmarum,5.7994,1
Corvus pectoralis,5.9410,1
Corvus rhipidurus,6.6110,1
Corvus ruficollis,5.1759,1
Corvus sinaloae,5.5294,1
Corvus splendens,5.0426,1
Corvus tasmanicus,6.4185,1
Corvus tristis,5.5268,1
Corvus typicus,5.1562,1
Corvus unicolor,5.4191,1
Corvus validus,5.8139,1
Corvus violaceus,5.1345,1
Corvus woodfordi,5.4536,1
Corydon sumatranus,6.6940,1
Corydospiza alaudina,5.3406,1
Corydospiza carbonaria,5.5340,2
Coryphaspiza melanotis,5.8841,1
Coryphistera alaudina,5.5370,1
Coryphospingus cucullatus,6.6089,2
Coryphospingus pileatus,5.9823,2
Corythaeola cristata,7.1536,1
Corythaixoides concolor,6.3658,1
Corythopis delalandi,5.1512,1
Corythopis torquatus,5.2854,1
Corythornis leucogaster,7.4107,1
Corythornis madagascariensis,7.3281,1
Corythornis vintsioides,8.0527,1
Coscoroba coscoroba,5.9317,1
Cossypha albicapillus,6.2895,1
Cossypha cyanocampter,6.0438,1
Cossypha dichroa,6.7780,1
Cossypha heinrichi,6.1384,1
Cossypha heuglini,6.4921,1
Cossypha natalensis,6.6829,1
Cossypha niveicapilla,6.7843,1
Cossypha semirufa,6.6645,1
Cossyphicula roberti,5.6842,1
Cotinga amabilis,6.3447,2
Cotinga cayana,6.5329,2
Cotinga cotinga,6.2025,2
Cotinga maculata,7.2106,1
Cotinga maynana,5.3339,2
Cotinga nattererii,7.1827,1
Cotinga ridgwayi,5.9918,2
Coturnicops exquisitus,5.0650,1
Coturnicops notatus,5.2146,1
Coturnicops noveboracensis,5.0317,1
Coturnix coromandelica,6.1136,1
Coturnix coturnix,5.9974,2
Coturnix delegorguei,6.3620,1
Coturnix japonica,5.2482,1
Coturnix pectoralis,5.5048,2
Coua caerulea,6.8338,1
Coua coquereli,6.5211,1
Coua cursor,6.6302,1
Coua gigas,6.2426,1
Coua reynaudii,6.2653,1
Coua serriana,6.2143,1
Coua verreauxi,6.3898,1
Cracticus argenteus,5.4384,1
Cracticus cassicus,5.6347,2
Cracticus mentalis,5.6227,1
Cracticus nigrogularis,5.8275,1
Cracticus torquatus,6.3300,1
Cranioleuca albicapilla,6.6217,1
Cranioleuca albiceps,5.6521,1
Cranioleuca berlepschi,6.3223,1
Cranioleuca curtata,6.6762,1
Cranioleuca demissa,5.2925,1
Cranioleuca dissita,4.9746,1
Cranioleuca erythrops,5.7063,1
Cranioleuca hellmayri,5.4873,1
Cranioleuca henricae,6.2225,1
Cranioleuca muelleri,4.9230,1
Cranioleuca obsoleta,5.7015,1
Cranioleuca pallida,5.8711,1
Cranioleuca pyrrhophia,5.8558,1
Cranioleuca semicinerea,5.5352,1
Cranioleuca subcristata,5.6407,1
Cranioleuca sulphurifera,5.1513,1
Cranioleuca vulpecula,5.1901,1
Cranioleuca vulpina,5.9820,1
Crateroscelis murina,4.6693,1
Crateroscelis nigrorufa,4.6804,1
Crateroscelis robusta,5.0918,1
Crax alberti,5.6740,1
Crax alector,5.4459,1
Crax blumenbachii,5.8060,2
Crax daubentoni,6.1247,1
Crax globulosa,4.9749,1
Crax rubra,6.0452,2
Creagrus furcatus,5.3408,1
Creatophora cinerea,5.9564,1
Creurgops dentatus,5.7783,2
Creurgops verticalis,5.7634,1
Crex crex,5.2762,1
Crex egregia,5.2137,1
Crinifer piscator,6.3966,1
Crinifer zonurus,6.4556,1
Criniferoides leucogaster,6.5969,1
Criniger barbatus,5.2446,1
Criniger calurus,4.8782,1
Criniger chloronotus,5.5801,1
Criniger ndussumensis,4.5611,1
Criniger olivaceus,6.0506,1
Crithagra albogularis,5.9720,1
Crithagra ankoberensis,5.4254,1
Crithagra atrogularis,5.1778,1
Crithagra buchanani,5.5883,1
Crithagra burtoni,4.6382,1
Crithagra canicapilla,4.7859,1
Crithagra capistrata,6.2720,1
Crithagra citrinelloides,5.5015,1
Crithagra citrinipectus,5.9221,1
Crithagra concolor,4.6723,1
Crithagra donaldsoni,5.3416,1
Crithagra dorsostriata,6.1473,1
Crithagra flavigula,5.6492,1
Crithagra flaviventris,6.5985,2
Crithagra frontalis,5.8293,2
Crithagra gularis,5.1123,1
Crithagra hyposticta,5.6051,1
Crithagra koliensis,5.4078,2
Crithagra leucoptera,5.0788,1
Crithagra leucopygia,4.9743,1
Crithagra melanochroa,4.5798,1
Crithagra menachensis,5.0121,1
Crithagra mennelli,5.5142,1
Crithagra mozambica,6.0946,1
Crithagra reichenowi,4.7275,1
Crithagra rothschildi,4.7622,1
Crithagra rufobrunnea,4.9890,1
Crithagra scotops,5.7340,1
Crithagra sulphurata,6.3044,1
Crithagra symonsi,5.3013,1
Crithagra totta,5.3318,1
Crithagra tristriata,4.9979,1
Crithagra xantholaema,5.6936,1
Crithagra xanthopygia,4.8558,1
Crossleyia xanthophrys,5.2826,1
Crossoptilon auritum,5.7647,1
Crossoptilon crossoptilon,5.5989,1
Crossoptilon harmani,5.8276,1
Crossoptilon mantchuricum,6.1991,1
Crotophaga ani,5.7484,1
Crotophaga major,5.5256,1
Crotophaga sulcirostris,5.9315,1
Crypsirina cucullata,5.8131,1
Crypsirina temia,7.0087,1
Cryptillas victorini,4.5640,1
Cryptoleucopteryx plumbea,5.1868,1
Cryptolybia olivacea,5.0536,1
Cryptomicroeca flaviventris,6.3125,1
Cryptophaps poecilorrhoa,5.2735,1
Cryptospiza jacksoni,6.0725,1
Cryptospiza reichenovii,5.9788,1
Cryptospiza salvadorii,5.5085,1
Cryptosylvicola randrianasoloi,4.8282,1
Crypturellus atrocapillus,4.4309,1
Crypturellus bartletti,4.7480,1
Crypturellus berlepschi,4.7289,1
Crypturellus boucardi,4.7969,1
Crypturellus brevirostris,5.6411,1
Crypturellus cinereus,5.0742,1
Crypturellus duidae,4.2833,1
Crypturellus erythropus,4.4495,1
Crypturellus kerriae,4.2544,1
Crypturellus noctivagus,5.3371,1
Crypturellus obsoletus,5.1254,1
Crypturellus parvirostris,5.2463,1
Crypturellus ptaritepui,5.2244,1
Crypturellus soui,5.2108,1
Crypturellus strigulosus,4.8910,1
Crypturellus tataupa,4.7738,1
Crypturellus transfasciatus,5.0489,1
Crypturellus undulatus,4.7891,1
Crypturellus variegatus,5.1764,1
Cuculus canorus,5.4156,1
Cuculus clamosus,4.9005,1
Cuculus crassirostris,5.2820,1
Cuculus gularis,5.9534,1
Cuculus lepidus,5.1388,1
Cuculus micropterus,4.9065,1
Cuculus poliocephalus,5.0847,1
Cuculus rochii,5.5648,1
Cuculus solitarius,5.7572,1
Culicicapa ceylonensis,6.9944,1
