species,attractiveness,n_sex_rows
Aethopyga magnifica,5.9177,1
Aethopyga mystacalis,6.2879,1
Aethopyga nipalensis,6.6115,1
Aethopyga primigenia,5.6537,1
Aethopyga saturata,6.5534,2
Aethopyga shelleyi,6.6419,1
Aethopyga siparaja,6.1496,2
Aethopyga temminckii,7.3925,1
Aethopyga vigorsii,6.1316,1
Afropavo congensis,6.5637,1
Afrotis afra,5.8104,1
Afrotis afraoides,5.0193,1
Agamia agami,6.6795,1
Agapornis canus,6.5047,1
Agapornis fischeri,7.2844,1
Agapornis lilianae,7.6717,1
Agapornis nigrigenis,7.0441,1
Agapornis personatus,7.6105,1
Agapornis pullarius,7.6092,1
Agapornis roseicollis,7.0079,1
Agapornis swindernianus,6.2237,1
Agapornis taranta,6.3645,1
Agelaioides badius,5.5831,1
Agelaioides fringillarius,4.7448,1
Agelaius assimilis,6.3300,1
Agelaius humeralis,5.6230,1
Agelaius phoeniceus,6.0636,2
Agelaius tricolor,5.2442,2
Agelaius xanthomus,6.5246,1
Agelastes niger,4.5242,1
Agelasticus cyanopus,5.5118,2
Agelasticus thilius,6.1237,2
Agelasticus xanthophthalmus,5.5619,1
Aglaeactis aliciae,5.3208,1
Aglaeactis castelnaudii,6.7640,1
Aglaeactis cupripennis,7.1072,1
Aglaeactis pamela,6.8986,1
Aglaiocercus berlepschi,6.9263,1
Aglaiocercus coelestis,6.9761,1
Aglaiocercus kingii,7.4466,1
Agraphospiza rubescens,5.2632,1
Agricola infuscatus,5.3338,1
Agricola pallidus,5.1712,1
Agriornis albicauda,4.9177,1
Agriornis lividus,5.5232,1
Agriornis micropterus,5.0199,1
Agriornis montanus,4.6684,1
Agriornis murinus,4.9695,1
Agropsar philippensis,6.0595,2
Agropsar sturninus,5.9105,1
Ailuroedus crassirostris,6.1974,1
Aimophila notosticta,5.2135,1
Aimophila rufescens,5.8385,1
Aimophila ruficeps,5.8360,1
Aix galericulata,6.5613,1
Aix sponsa,6.7736,1
Akletos goeldii,5.4582,1
Akletos melanoceps,6.3121,1
Alaemon alaudipes,4.5785,1
Alaemon hamertoni,4.6403,1
Alauda arvensis,5.1405,1
Alauda gulgula,5.1024,1
Alauda leucoptera,4.7483,1
Alauda razae,4.1981,1
Alaudala raytal,5.3491,1
Alaudala somalica,4.6981,1
Alca torda,6.5791,1
Alcedo atthis,7.3150,1
Alcedo coerulescens,7.7830,1
Alcedo hercules,7.6465,1
Alcedo meninting,7.3936,1
Alcedo quadribrachys,7.6369,1
Alcedo semitorquata,7.7034,1
Alcippe brunneicauda,4.7740,1
Alcippe grotei,5.1072,1
