species,matched_name,authorship,year,source,fetched
Aquila spilogaster,Aquila spilogaster,"(Bonaparte, 1850)",1850,gbif,2026-09-05
Aquila verreauxii,Aquila verreauxii,"Lesson, 1831",1831,gbif,2026-09-05
Aviceda cuculoides,Aviceda cuculoides,"Swainson, 1837",1837,gbif,2026-09-05
Aviceda jerdoni,Aviceda jerdoni,"(Blyth, 1842)",1842,gbif,2026-09-05
Aviceda leuphotes,Aviceda leuphotes,"(Dumont, 1820)",1820,gbif,2026-09-05
Aviceda madagascariensis,Aviceda madagascariensis,"(A.Smith, 1834)",1834,gbif,2026-09-05
Aviceda subcristata,Aviceda subcristata,"(Gould, 1838)",1838,gbif,2026-09-05
Busarellus nigricollis,Busarellus nigricollis,"(Latham, 1790)",1790,gbif,2026-09-05
Butastur indicus,Butastur indicus,"(Gmelin, 1788)",1788,gbif,2026-09-05
Butastur liventer,Butastur liventer,"(Temminck, 1827)",1827,gbif,2026-09-05
Butastur rufipennis,Butastur rufipennis,"(Sundevall, 1850)",1850,gbif,2026-09-05
Butastur teesa,Butastur teesa,"(Franklin, 1831)",1831,gbif,2026-09-05
Buteo albigula,Buteo albigula,"Philippi, 1899",1899,gbif,2026-09-05
Buteo albonotatus,Buteo albonotatus,"Kaup, 1847",1847,gbif,2026-09-05
Buteo augur,Buteo augur,"(Ruppell, 1836)",1836,gbif,2026-09-05
Buteo auguralis,Buteo auguralis,"Salvadori, 1865",1865,gbif,2026-09-05
Buteo brachypterus,Buteo brachypterus,"Hartlaub, 1860",1860,gbif,2026-09-05
Buteo brachyurus,Buteo brachyurus,"Vieillot, 1816",1816,gbif,2026-09-05
Buteo buteo,Buteo buteo,"(Linnaeus, 1758)",1758,gbif,2026-09-05
Buteo galapagoensis,Buteo galapagoensis,"(Gould, 1837)",1837,gbif,2026-09-05
Buteo hemilasius,Buteo hemilasius,"Temminck & Schlegel, 1844",1844,gbif,2026-09-05
Buteo jamaicensis,Buteo jamaicensis,"(Gmelin, 1788)",1788,gbif,2026-09-05
Buteo japonicus,Buteo japonicus,"Temminck & Schlegel, 1844",1844,gbif,2026-09-05
Buteo lagopus,Buteo lagopus,"(Pontoppidan, 1763)",1763,gbif,2026-09-05
Buteo lineatus,Buteo lineatus,"(Gmelin, 1788)",1788,gbif,2026-09-05
Buteo nitidus,Buteo nitidus,"(Latham, 1790)",1790,gbif,2026-09-05
Buteo oreophilus,Buteo oreophilus,"Hartert & Neumann, 1914",1914,gbif,2026-09-05
Buteo plagiatus,Buteo plagiatus,"(Schlegel, 1862)",1862,gbif,2026-09-05
Buteo platypterus,Buteo platypterus,"(Vieillot, 1823)",1823,gbif,2026-09-05
Buteo refectus,Buteo refectus,"Portenko, 1935",1935,gbif,2026-09-05
Buteo regalis,Buteo regalis,"(G.R.Gray, 1844)",1844,gbif,2026-09-05
Buteo ridgwayi,Buteo ridgwayi,"(Cory, 1883)",1883,gbif,2026-09-05
Buteo rufinus,Buteo rufinus,"(Cretzschmar, 1829)",1829,gbif,2026-09-05
Buteo rufofuscus,Buteo rufofuscus,"(J.R.Forster, 1798)",1798,gbif,2026-09-05
Buteo socotraensis,Buteo socotraensis,"Porter & Kirwan, 2010",2010,gbif,2026-09-05
Buteo solitarius,Buteo solitarius,"Peale, 1848",1848,gbif,2026-09-05
Buteo swainsoni,Buteo swainsoni,"Bonaparte, 1838",1838,gbif,2026-09-05
Buteo trizonatus,Buteo trizonatus,"Rudebeck, 1957",1957,gbif,2026-09-05
Buteo ventralis,Buteo ventralis,"Gould, 1837",1837,gbif,2026-09-05
Buteogallus aequinoctialis,Buteogallus aequinoctialis,"(Gmelin, 1788)",1788,gbif,2026-09-05
Buteogallus anthracinus,Buteogallus anthracinus,"(Deppe, 1830)",1830,gbif,2026-09-05
Buteogallus coronatus,Buteogallus coronatus,"(Vieillot, 1817)",1817,gbif,2026-09-05
Buteogallus gundlachii,Buteogallus gundlachii,"(Cabanis, 1855)",1855,gbif,2026-09-05
Buteogallus lacernulatus,Buteogallus lacernulatus,"(Temminck, 1827)",1827,gbif,2026-09-05
Buteogallus meridionalis,Buteogallus meridionalis,"(Latham, 1790)",1790,gbif,2026-09-05
Buteogallus schistaceus,Buteogallus schistaceus,"(Sundevall, 1850)",1850,gbif,2026-09-05
Buteogallus solitarius,Buteogallus solitarius,"(Tschudi, 1844)",1844,gbif,2026-09-05
Buteogallus urubitinga,Buteogallus urubitinga,"(Gmelin, 1788)",1788,gbif,2026-09-05
Chelictinia riocourii,Chelictinia riocourii,"(Vieillot, 1822)",1822,gbif,2026-09-05
Chondrohierax uncinatus,Chondrohierax uncinatus,"(Temminck, 1822)",1822,gbif,2026-09-05
Chondrohierax wilsonii,Chondrohierax wilsonii,"(Cassin, 1847)",1847,gbif,2026-09-05
Circaetus beaudouini,Circaetus beaudouini,"J.Verreaux & Des Murs, 1862",1862,gbif,2026-09-05
Circaetus cinerascens,Circaetus cinerascens,"J.W.Von Muller, 1851",1851,gbif,2026-09-05
Circaetus cinereus,Circaetus cinereus,"Vieillot, 1818",1818,gbif,2026-09-05
Circaetus fasciolatus,Circaetus fasciolatus,"Kaup, 1847",1847,gbif,2026-09-05
Circaetus gallicus,Circaetus gallicus,"(Gmelin, 1788)",1788,gbif,2026-09-05
Circaetus pectoralis,Circaetus pectoralis,"A.Smith, 1829",1829,gbif,2026-09-05
Circus aeruginosus,Circus aeruginosus,"(Linnaeus, 1758)",1758,gbif,2026-09-05
Circus approximans,Circus approximans,"Peale, 1848",1848,gbif,2026-09-05
Circus assimilis,Circus assimilis,"Jardine & Selby, 1828",1828,gbif,2026-09-05
Circus buffoni,Circus buffoni,"(Gmelin, 1788)",1788,gbif,2026-09-05
Circus cinereus,Circus cinereus,"Vieillot, 1816",1816,gbif,2026-09-05
Circus cyaneus,Circus cyaneus,"(Linnaeus, 1766)",1766,gbif,2026-09-05
Circus hudsonius,Circus hudsonius,"(Linnaeus, 1766)",1766,gbif,2026-09-05
Circus macrosceles,Circus macrosceles,"A.Newton, 1863",1863,gbif,2026-09-05
Circus macrourus,Circus macrourus,"(S.G.Gmelin, 1770)",1770,gbif,2026-09-05
Circus maillardi,Circus maillardi,"J.Verreaux, 1862",1862,gbif,2026-09-05
Circus maurus,Circus maurus,"(Temminck, 1828)",1828,gbif,2026-09-05
Circus melanoleucos,Circus melanoleucos,"(Pennant, 1769)",1769,gbif,2026-09-05
Circus pygargus,Circus pygargus,"(Linnaeus, 1758)",1758,gbif,2026-09-05
Circus ranivorus,Circus ranivorus,"(Daudin, 1800)",1800,gbif,2026-09-05
Circus spilonotus,Circus spilonotus,"Kaup, 1847",1847,gbif,2026-09-05
Circus spilothorax,Circus spilothorax,"Salvadori & Albertis, 1875",1875,gbif,2026-09-05
Clanga clanga,Clanga clanga,"(Pallas, 1811)",1811,gbif,2026-09-05
Clanga hastata,Clanga hastata,"(R.P.Lesson, 1831)",1831,gbif,2026-09-05
Clanga pomarina,Clanga pomarina,"(C.L.Brehm, 1831)",1831,gbif,2026-09-05
Cryptoleucopteryx plumbea,Cryptoleucopteryx plumbea,"(Salvin, 1872)",1872,gbif,2026-09-05
Dryotriorchis spectabilis,Dryotriorchis spectabilis,"(Schlegel, 1863)",1863,gbif,2026-09-05
Elanoides forficatus,Elanoides forficatus,"(Linnaeus, 1758)",1758,gbif,2026-09-05
Elanus axillaris,Elanus axillaris,"(Latham, 1802)",1802,gbif,2026-09-05
Elanus caeruleus,Elanus caeruleus,"(Desfontaines, 1789)",1789,gbif,2026-09-05
Elanus leucurus,Elanus leucurus,"(Vieillot, 1818)",1818,gbif,2026-09-05
Elanus scriptus,Elanus scriptus,"Gould, 1842",1842,gbif,2026-09-05
Erythrotriorchis buergersi,Erythrotriorchis buergersi,"(Reichenow, 1914)",1914,gbif,2026-09-05
Erythrotriorchis radiatus,Erythrotriorchis radiatus,"(Latham, 1802)",1802,gbif,2026-09-05
Eutriorchis astur,Eutriorchis astur,"Sharpe, 1875",1875,gbif,2026-09-05
Gampsonyx swainsonii,Gampsonyx swainsonii,"Vigors, 1825",1825,gbif,2026-09-05
Geranoaetus albicaudatus,Geranoaetus albicaudatus,"(Vieillot, 1816)",1816,gbif,2026-09-05
Geranoaetus melanoleucus,Geranoaetus melanoleucus,"(Vieillot, 1819)",1819,gbif,2026-09-05
Geranoaetus polyosoma,Geranoaetus polyosoma,"(Quoy & Gaimard, 1824)",1824,gbif,2026-09-05
