species,matched_name,authorship,year,source,fetched
Coccycua cinerea,Coccycua cinerea,"(Vieillot, 1817)",1817,gbif,2026-09-05
Coccycua minuta,Coccycua minuta,"(Vieillot, 1817)",1817,gbif,2026-09-05
Coccycua pumila,Coccycua pumila,"(Strickland, 1852)",1852,gbif,2026-09-05
Coccyzus americanus,Coccyzus americanus,"(Linnaeus, 1758)",1758,gbif,2026-09-05
Coccyzus bahamensis,Coccyzus bahamensis,"(Bryant, 1864)",1864,gbif,2026-09-05
Coccyzus erythropthalmus,Coccyzus erythropthalmus,"(A.Wilson, 1811)",1811,gbif,2026-09-05
Coccyzus euleri,Coccyzus euleri,"Cabanis, 1873",1873,gbif,2026-09-05
Coccyzus ferrugineus,Coccyzus ferrugineus,"Gould, 1843",1843,gbif,2026-09-05
Coccyzus lansbergi,Coccyzus lansbergi,"Bonaparte, 1850",1850,gbif,2026-09-05
Coccyzus longirostris,Coccyzus longirostris,"(Hermann, 1783)",1783,gbif,2026-09-05
Coccyzus melacoryphus,Coccyzus melacoryphus,"Vieillot, 1817",1817,gbif,2026-09-05
Coccyzus merlini,Coccyzus merlini,"(d'Orbigny, 1839)",1839,gbif,2026-09-05
Coccyzus minor,Coccyzus minor,"(Gmelin, 1788)",1788,gbif,2026-09-05
Coccyzus pluvialis,Coccyzus pluvialis,"(J.F.Gmelin, 1788)",1788,gbif,2026-09-05
Coccyzus rufigularis,Coccyzus rufigularis,"Hartlaub, 1852",1852,gbif,2026-09-05
Coccyzus vetula,Coccyzus vetula,"(Linnaeus, 1758)",1758,gbif,2026-09-05
Coccyzus vieilloti,Coccyzus vieilloti,"(Bonaparte, 1850)",1850,gbif,2026-09-05
Coua caerulea,Coua caerulea,"(Linnaeus, 1766)",1766,gbif,2026-09-05
Coua coquereli,Coua coquereli,"A.Grandidier, 1867",1867,gbif,2026-09-05
Coua cristata,Coua cristata,"(Linnaeus, 1766)",1766,gbif,2026-09-05
Coua cursor,Coua cursor,"A.Grandidier, 1867",1867,gbif,2026-09-05
Coua gigas,Coua gigas,"(Boddaert, 1783)",1783,gbif,2026-09-05
Coua olivaceiceps,Coua olivaceiceps,"(Sharpe, 1873)",1873,gbif,2026-09-05
Coua pyropyga,Coua pyropyga,"Grandidier, 1867",1867,gbif,2026-09-05
Coua reynaudii,Coua reynaudii,"Pucheran, 1845",1845,gbif,2026-09-05
Coua ruficeps,Coua ruficeps,"G.R.Gray, 1846",1846,gbif,2026-09-05
Coua serriana,Coua serriana,"Pucheran, 1845",1845,gbif,2026-09-05
Coua verreauxi,Coua verreauxi,"A.Grandidier, 1867",1867,gbif,2026-09-05
Crotophaga ani,Crotophaga ani,"Linnaeus, 1758",1758,gbif,2026-09-05
Crotophaga major,Crotophaga major,"Gmelin, 1788",1788,gbif,2026-09-05
Crotophaga sulcirostris,Crotophaga sulcirostris,"Swainson, 1827",1827,gbif,2026-09-05
Cuculus canorus,Cuculus canorus,"Linnaeus, 1758",1758,gbif,2026-09-05
Cuculus clamosus,Cuculus clamosus,"Latham, 1802",1802,gbif,2026-09-05
Cuculus crassirostris,Cuculus crassirostris,"(Walden, 1872)",1872,gbif,2026-09-05
Cuculus gularis,Cuculus gularis,"Stephens, 1815",1815,gbif,2026-09-05
Cuculus lepidus,Cuculus lepidus,"S.Muller, 1845",1845,gbif,2026-09-05
Cuculus micropterus,Cuculus micropterus,"Gould, 1838",1838,gbif,2026-09-05
Cuculus poliocephalus,Cuculus poliocephalus,"Latham, 1790",1790,gbif,2026-09-05
Cuculus rochii,Cuculus rochii,"Hartlaub, 1863",1863,gbif,2026-09-05
Cuculus saturatus,Cuculus saturatus,"Blyth, 1843",1843,gbif,2026-09-05
Cuculus solitarius,Cuculus solitarius,"Stephens, 1815",1815,gbif,2026-09-05
Dasylophus superciliosus,Dasylophus superciliosus,"(Dumont, 1823)",1823,gbif,2026-09-05
Dromococcyx pavoninus,Dromococcyx pavoninus,"Pelzeln, 1870",1870,gbif,2026-09-05
Dromococcyx phasianellus,Dromococcyx phasianellus,"(Spix, 1824)",1824,gbif,2026-09-05
Eudynamys orientalis,Eudynamys orientalis,"(Latham, 1801)",1801,gbif,2026-09-05
Eudynamys scolopaceus,Eudynamys scolopaceus,"(Linnaeus, 1758)",1758,gbif,2026-09-05
Geococcyx californianus,Geococcyx californianus,"(Lesson, 1829)",1829,gbif,2026-09-05
Geococcyx velox,Geococcyx velox,"(Wagner, 1836)",1836,gbif,2026-09-05
Guira guira,Guira guira,"(Gmelin, 1788)",1788,gbif,2026-09-05
Heteroscenes pallidus,Heteroscenes pallidus,"(Latham, 1801)",1801,gbif,2026-09-05
Hierococcyx bocki,Hierococcyx bocki,"R.G.Wardlaw-Ramsay, 1886",1886,gbif,2026-09-05
Hierococcyx fugax,Hierococcyx fugax,"(Horsfield, 1821)",1821,gbif,2026-09-05
Hierococcyx hyperythrus,Hierococcyx hyperythrus,"(Gould, 1856)",1856,gbif,2026-09-05
Hierococcyx nisicolor,Hierococcyx nisicolor,"(Blyth, 1843)",1843,gbif,2026-09-05
Hierococcyx pectoralis,Hierococcyx pectoralis,"Cabanis & Heine, 1863",1863,gbif,2026-09-05
Hierococcyx sparverioides,Hierococcyx sparverioides,"(Vigors, 1832)",1832,gbif,2026-09-05
Hierococcyx vagans,Hierococcyx vagans,"(S.Müller, 1845)",1845,gbif,2026-09-05
Hierococcyx varius,Hierococcyx varius,"(Vahl, 1797)",1797,gbif,2026-09-05
Lepidogrammus cumingi,Lepidogrammus cumingi,"(Fraser, 1839)",1839,gbif,2026-09-05
Microdynamis parva,Microdynamis parva,"(Salvadori, 1876)",1876,gbif,2026-09-05
Morococcyx erythropygus,Morococcyx erythropygus,"(Lesson, 1842)",1842,gbif,2026-09-05
Neomorphus geoffroyi,Neomorphus geoffroyi,"(Temminck, 1820)",1820,gbif,2026-09-05
Neomorphus pucheranii,Neomorphus pucheranii,"(Deville, 1851)",1851,gbif,2026-09-05
Neomorphus radiolosus,Neomorphus radiolosus,"P.L.Sclater & Salvin, 1878",1878,gbif,2026-09-05
Neomorphus rufipennis,Neomorphus rufipennis,"(G.R.Gray, 1849)",1849,gbif,2026-09-05
Pachycoccyx audeberti,Pachycoccyx audeberti,"(Schlegel, 1879)",1879,gbif,2026-09-05
Phaenicophaeus curvirostris,Phaenicophaeus curvirostris,"(Shaw, 1810)",1810,gbif,2026-09-05
Phaenicophaeus diardi,Phaenicophaeus diardi,"(Lesson, 1830)",1830,gbif,2026-09-05
Phaenicophaeus oeneicaudus,Phaenicophaeus oeneicaudus,"Verreaux & Verreaux, 1855",1855,gbif,2026-09-05
Phaenicophaeus pyrrhocephalus,Phaenicophaeus pyrrhocephalus,"(Pennant, 1769)",1769,gbif,2026-09-05
Phaenicophaeus sumatranus,Phaenicophaeus sumatranus,"(Raffles, 1822)",1822,gbif,2026-09-05
Phaenicophaeus tristis,Phaenicophaeus tristis,"(Lesson, 1830)",1830,gbif,2026-09-05
Phaenicophaeus viridirostris,Phaenicophaeus viridirostris,"(Jerdon, 1840)",1840,gbif,2026-09-05
Piaya cayana,Piaya cayana,"(Linnaeus, 1766)",1766,gbif,2026-09-05
Piaya melanogaster,Piaya melanogaster,"(Vieillot, 1817)",1817,gbif,2026-09-05
Piaya mexicana,Piaya mexicana,"(Swainson, 1827)",1827,gbif,2026-09-05
Rhamphococcyx calyorhynchus,Rhamphococcyx calyorhynchus,"(Temminck, 1825)",1825,gbif,2026-09-05
Rhinortha chlorophaea,Rhinortha chlorophaea,"(Raffles, 1822)",1822,gbif,2026-09-05
Scythrops novaehollandiae,Scythrops novaehollandiae,"Latham, 1790",1790,gbif,2026-09-05
Surniculus dicruroides,Surniculus dicruroides,"(Hodgson, 1839)",1839,gbif,2026-09-05
Surniculus lugubris,Surniculus lugubris,"(Horsfield, 1821)",1821,gbif,2026-09-05
Surniculus musschenbroeki,Surniculus musschenbroeki,"A.B.Meyer, 1878",1878,gbif,2026-09-05
Surniculus velutinus,Surniculus velutinus,"Sharpe, 1877",1877,gbif,2026-09-05
Taccocua leschenaultii,Taccocua leschenaultii,"Lesson, 1830",1830,gbif,2026-09-05
Tapera naevia,Tapera naevia,"(Linnaeus, 1766)",1766,gbif,2026-09-05
Urodynamis taitensis,Urodynamis taitensis,"(Sparrman, 1787)",1787,gbif,2026-09-05
Zanclostomus javanicus,Zanclostomus javanicus,"(Horsfield, 1821)",1821,gbif,2026-09-05
Eurypyga helias,Eurypyga helias,"(Pallas, 1781)",1781,gbif,2026-09-05
Rhynochetos jubatus,Rhynochetos jubatus,"J.Verreaux & Des Murs, 1860",1860,gbif,2026-09-05
Caracara cheriway,Caracara cheriway,"(Jacquin, 1784)",1784,gbif,2026-09-05
Caracara plancus,Caracara plancus,"(J.F.Miller, 1777)",1777,gbif,2026-09-05
Daptrius ater,Daptrius ater,"Vieillot, 1816",1816,gbif,2026-09-05
Falco alopex,Falco alopex,"(Heuglin, 1861)",1861,gbif,2026-09-05
Falco amurensis,Falco amurensis,"Radde, 1863",1863,gbif,2026-09-05
Falco araeus,Falco araeus,"(Oberholser, 1917)",1917,gbif,2026-09-05
Falco ardosiaceus,Falco ardosiaceus,"Vieillot, 1823",1823,gbif,2026-09-05
Falco berigora,Falco berigora,"Vigors & Horsfield, 1827",1827,gbif,2026-09-05
Falco biarmicus,Falco biarmicus,"Temminck, 1825",1825,gbif,2026-09-05
Falco cenchroides,Falco cenchroides,"Vigors & Horsfield, 1827",1827,gbif,2026-09-05
Falco cherrug,Falco cherrug,"J.E.Gray, 1834",1834,gbif,2026-09-05
Falco chicquera,Falco chicquera,"Daudin, 1800",1800,gbif,2026-09-05
Falco columbarius,Falco columbarius,"Linnaeus, 1758",1758,gbif,2026-09-05
Falco concolor,Falco concolor,"Temminck, 1825",1825,gbif,2026-09-05
Falco cuvierii,Falco cuvierii,"A.Smith, 1830",1830,gbif,2026-09-05
Falco deiroleucus,Falco deiroleucus,"Temminck, 1825",1825,gbif,2026-09-05
Falco dickinsoni,Falco dickinsoni,"P.L.Sclater, 1864",1864,gbif,2026-09-05
Falco eleonorae,Falco eleonorae,"Géné, 1839",1839,gbif,2026-09-05
Falco fasciinucha,Falco fasciinucha,"Reichenow & Neumann, 1895",1895,gbif,2026-09-05
Falco femoralis,Falco femoralis,"Temminck, 1822",1822,gbif,2026-09-05
Falco hypoleucos,Falco hypoleucos,"Gould, 1841",1841,gbif,2026-09-05
Falco jugger,Falco jugger,"J.E.Gray, 1834",1834,gbif,2026-09-05
Falco longipennis,Falco longipennis,"Swainson, 1838",1838,gbif,2026-09-05
Falco mexicanus,Falco mexicanus,"Schlegel, 1850",1850,gbif,2026-09-05
Falco moluccensis,Falco moluccensis,"(Bonaparte, 1850)",1850,gbif,2026-09-05
Falco naumanni,Falco naumanni,"J.G.Fleischer, 1818",1818,gbif,2026-09-05
Falco newtoni,Falco newtoni,"(Gurney Sr, 1863)",1863,gbif,2026-09-05
Falco novaeseelandiae,Falco novaeseelandiae,"J.F.Gmelin, 1788",1788,gbif,2026-09-05
Falco peregrinus,Falco peregrinus,"Tunstall, 1771",1771,gbif,2026-09-05
Falco punctatus,Falco punctatus,"Temminck, 1821",1821,gbif,2026-09-05
Falco ruficollis,Falco ruficollis,"Swainson, 1837",1837,gbif,2026-09-05
Falco rufigularis,Falco rufigularis,"Daudin, 1800",1800,gbif,2026-09-05
Falco rupicoloides,Falco rupicoloides,"A.Smith, 1829",1829,gbif,2026-09-05
Falco rusticolus,Falco rusticolus,"Linnaeus, 1758",1758,gbif,2026-09-05
Falco severus,Falco severus,"Horsfield, 1821",1821,gbif,2026-09-05
Falco sparverius,Falco sparverius,"Linnaeus, 1758",1758,gbif,2026-09-05
Falco subbuteo,Falco subbuteo,"Linnaeus, 1758",1758,gbif,2026-09-05
Falco subniger,Falco subniger,"G.R.Gray, 1843",1843,gbif,2026-09-05
Falco tinnunculus,Falco tinnunculus,"Linnaeus, 1758",1758,gbif,2026-09-05
Falco vespertinus,Falco vespertinus,"Linnaeus, 1766",1766,gbif,2026-09-05
Falco zoniventris,Falco zoniventris,"W.Peters, 1854",1854,gbif,2026-09-05
Herpetotheres cachinnans,Herpetotheres cachinnans,"(Linnaeus, 1758)",1758,gbif,2026-09-05
Ibycter americanus,Ibycter americanus,"(Boddaert, 1783)",1783,gbif,2026-09-05
Micrastur buckleyi,Micrastur buckleyi,"Swann, 1919",1919,gbif,2026-09-05
Micrastur gilvicollis,Micrastur gilvicollis,"(Vieillot, 1817)",1817,gbif,2026-09-05
Micrastur mintoni,Micrastur mintoni,"Whittaker, 2003",2003,gbif,2026-09-05
Micrastur mirandollei,Micrastur mirandollei,"(Schlegel, 1862)",1862,gbif,2026-09-05
Micrastur plumbeus,Micrastur plumbeus,"W.L.Sclater, 1918",1918,gbif,2026-09-05
Micrastur ruficollis,Micrastur ruficollis,"(Vieillot, 1817)",1817,gbif,2026-09-05
Micrastur semitorquatus,Micrastur semitorquatus,"(Vieillot, 1817)",1817,gbif,2026-09-05
Microhierax caerulescens,Microhierax caerulescens,"(Linnaeus, 1758)",1758,gbif,2026-09-05
Microhierax erythrogenys,Microhierax erythrogenys,"(Vigors, 1831)",1831,gbif,2026-09-05
Microhierax fringillarius,Microhierax fringillarius,"(Drapiez, 1824)",1824,gbif,2026-09-05
Microhierax latifrons,Microhierax latifrons,"Sharpe, 1879",1879,gbif,2026-09-05
Microhierax melanoleucos,Microhierax melanoleucos,"(Blyth, 1843)",1843,gbif,2026-09-05
Milvago chimachima,Milvago chimachima,"(Vieillot, 1816)",1816,gbif,2026-09-05
Phalcoboenus albogularis,Phalcoboenus albogularis,"(Gould, 1837)",1837,gbif,2026-09-05
Phalcoboenus australis,Phalcoboenus australis,"(J.F.Gmelin, 1788)",1788,gbif,2026-09-05
Phalcoboenus carunculatus,Phalcoboenus carunculatus,"Des Murs, 1853",1853,gbif,2026-09-05
Phalcoboenus chimango,Phalcoboenus chimango,"(Vieillot, 1816)",1816,gbif,2026-09-05
Phalcoboenus megalopterus,Phalcoboenus megalopterus,"(Meyen, 1834)",1834,gbif,2026-09-05
Polihierax insignis,Polihierax insignis,"Walden, 1872",1872,gbif,2026-09-05
Polihierax semitorquatus,Polihierax semitorquatus,"(A.Smith, 1836)",1836,gbif,2026-09-05
Spiziapteryx circumcincta,Spiziapteryx circumcincta,"(Kaup, 1852)",1852,gbif,2026-09-05
Aburria aburri,Aburria aburri,"(R.Lesson, 1828)",1828,gbif,2026-09-05
Chamaepetes goudotii,Chamaepetes goudotii,"(R.Lesson, 1828)",1828,gbif,2026-09-05
Chamaepetes unicolor,Chamaepetes unicolor,"Salvin, 1867",1867,gbif,2026-09-05
Crax alberti,Crax alberti,"Fraser, 1852",1852,gbif,2026-09-05
Crax alector,Crax alector,"Linnaeus, 1766",1766,gbif,2026-09-05
Crax blumenbachii,Crax blumenbachii,"Spix, 1825",1825,gbif,2026-09-05
Crax daubentoni,Crax daubentoni,"G.R.Gray, 1867",1867,gbif,2026-09-05
Crax fasciolata,Crax fasciolata,"Spix, 1825",1825,gbif,2026-09-05
Crax globulosa,Crax globulosa,"Spix, 1825",1825,gbif,2026-09-05
Crax pinima,Crax pinima,"Pelzeln, 1870",1870,gbif,2026-09-05
Crax rubra,Crax rubra,"Linnaeus, 1758",1758,gbif,2026-09-05
Mitu mitu,Mitu mitu,"(Linnaeus, 1766)",1766,gbif,2026-09-05
Mitu salvini,Mitu salvini,"Reinhardt, 1879",1879,gbif,2026-09-05
Mitu tomentosum,Mitu tomentosum,"(Spix, 1825)",1825,gbif,2026-09-05
Mitu tuberosum,Mitu tuberosum,"(Spix, 1825)",1825,gbif,2026-09-05
Nothocrax urumutum,Nothocrax urumutum,"(Spix, 1825)",1825,gbif,2026-09-05
Oreophasis derbianus,Oreophasis derbianus,"G.R.Gray, 1844",1844,gbif,2026-09-05
Ortalis araucuan,Ortalis araucuan,"(Spix, 1825)",1825,gbif,2026-09-05
Ortalis canicollis,Ortalis canicollis,"(Wagler, 1830)",1830,gbif,2026-09-05
Ortalis cinereiceps,Ortalis cinereiceps,"G.R.Gray, 1867",1867,gbif,2026-09-05
Ortalis columbiana,Ortalis columbiana,"Hellmayr, 1906",1906,gbif,2026-09-05
Ortalis erythroptera,Ortalis erythroptera,"P.L.Sclater & Salvin, 1870",1870,gbif,2026-09-05
Ortalis garrula,Ortalis garrula,"(Humboldt, 1805)",1805,gbif,2026-09-05
Ortalis guttata,Ortalis guttata,"(Spix, 1825)",1825,gbif,2026-09-05
Ortalis leucogastra,Ortalis leucogastra,"(Gould, 1843)",1843,gbif,2026-09-05
Ortalis motmot,Ortalis motmot,"(Linnaeus, 1766)",1766,gbif,2026-09-05
Ortalis poliocephala,Ortalis poliocephala,"(Wagler, 1830)",1830,gbif,2026-09-05
Ortalis ruficauda,Ortalis ruficauda,"Jardine, 1847",1847,gbif,2026-09-05
Ortalis squamata,Ortalis squamata,"R.Lesson, 1829",1829,gbif,2026-09-05
Ortalis superciliaris,Ortalis superciliaris,"G.R.Gray, 1867",1867,gbif,2026-09-05
Ortalis vetula,Ortalis vetula,"(Wagler, 1830)",1830,gbif,2026-09-05
Ortalis wagleri,Ortalis wagleri,"G.R.Gray, 1867",1867,gbif,2026-09-05
Pauxi koepckeae,Pauxi koepckeae,"Weske & Terborgh, 1971",1971,gbif,2026-09-05
Pauxi pauxi,Pauxi pauxi,"(Linnaeus, 1766)",1766,gbif,2026-09-05
Pauxi unicornis,Pauxi unicornis,"J.Bond & Meyer de Schauensee, 1939",1939,gbif,2026-09-05
Penelope albipennis,Penelope albipennis,"Taczanowski, 1878",1878,gbif,2026-09-05
Penelope argyrotis,Penelope argyrotis,"(Bonaparte, 1856)",1856,gbif,2026-09-05
Penelope barbata,Penelope barbata,"Chapman, 1921",1921,gbif,2026-09-05
Penelope dabbenei,Penelope dabbenei,"Hellmayr & Conover, 1942",1942,gbif,2026-09-05
Penelope jacquacu,Penelope jacquacu,"Spix, 1825",1825,gbif,2026-09-05
Penelope jacucaca,Penelope jacucaca,"Spix, 1825",1825,gbif,2026-09-05
Penelope marail,Penelope marail,"(P.L.S.Müller, 1776)",1776,gbif,2026-09-05
Penelope montagnii,Penelope montagnii,"(Bonaparte, 1856)",1856,gbif,2026-09-05
Penelope obscura,Penelope obscura,"Temminck, 1815",1815,gbif,2026-09-05
Penelope ochrogaster,Penelope ochrogaster,"Pelzeln, 1870",1870,gbif,2026-09-05
Penelope ortoni,Penelope ortoni,"Salvin, 1874",1874,gbif,2026-09-05
Penelope perspicax,Penelope perspicax,"Bangs, 1911",1911,gbif,2026-09-05
Penelope pileata,Penelope pileata,"Wagler, 1830",1830,gbif,2026-09-05
Penelope purpurascens,Penelope purpurascens,"Wagler, 1830",1830,gbif,2026-09-05
Penelope superciliaris,Penelope superciliaris,"Temminck, 1815",1815,gbif,2026-09-05
Penelopina nigra,Penelopina nigra,"(Fraser, 1852)",1852,gbif,2026-09-05
Pipile cujubi,Pipile cujubi,"(Pelzeln, 1858)",1858,gbif,2026-09-05
Pipile cumanensis,Pipile cumanensis,"(Jacquin, 1784)",1784,gbif,2026-09-05
Pipile grayi,Pipile grayi,"(Pelzeln, 1870)",1870,gbif,2026-09-05
Pipile jacutinga,Pipile jacutinga,"(Spix, 1825)",1825,gbif,2026-09-05
Pipile pipile,Pipile pipile,"(Jacquin, 1784)",1784,gbif,2026-09-05
Aepypodius arfakianus,Aepypodius arfakianus,"(Salvadori, 1877)",1877,gbif,2026-09-05
Aepypodius bruijnii,Aepypodius bruijnii,"(Oustalet, 1880)",1880,gbif,2026-09-05
Alectura lathami,Alectura lathami,"J.E.Gray, 1831",1831,gbif,2026-09-05
Eulipoa wallacei,Eulipoa wallacei,"(G.R.Gray, 1861)",1861,gbif,2026-09-05
Leipoa ocellata,Leipoa ocellata,"Gould, 1840",1840,gbif,2026-09-05
Macrocephalon maleo,Macrocephalon maleo,"S.Müller, 1846",1846,gbif,2026-09-05
Megapodius bernsteinii,Megapodius bernsteinii,"Schlegel, 1866",1866,gbif,2026-09-05
Megapodius cumingii,Megapodius cumingii,"Dillwyn, 1853",1853,gbif,2026-09-05
Megapodius decollatus,Megapodius decollatus,"Oustalet, 1878",1878,gbif,2026-09-05
Megapodius eremita,Megapodius eremita,"Hartlaub, 1868",1868,gbif,2026-09-05
Megapodius freycinet,Megapodius freycinet,"Gaimard, 1823",1823,gbif,2026-09-05
Megapodius geelvinkianus,Megapodius geelvinkianus,"A.B.Meyer, 1874",1874,gbif,2026-09-05
Megapodius laperouse,Megapodius laperouse,"Gaimard, 1823",1823,gbif,2026-09-05
Megapodius layardi,Megapodius layardi,"Tristram, 1879",1879,gbif,2026-09-05
Megapodius nicobariensis,Megapodius nicobariensis,"Blyth, 1846",1846,gbif,2026-09-05
Megapodius pritchardii,Megapodius pritchardii,"G.R.Gray, 1864",1864,gbif,2026-09-05
Megapodius reinwardt,Megapodius reinwardt,"Dumont, 1823",1823,gbif,2026-09-05
Megapodius tenimberensis,Megapodius tenimberensis,"P.L.Sclater, 1883",1883,gbif,2026-09-05
Talegalla cuvieri,Talegalla cuvieri,"R.Lesson, 1828",1828,gbif,2026-09-05
Talegalla fuscirostris,Talegalla fuscirostris,"Salvadori, 1877",1877,gbif,2026-09-05
Talegalla jobiensis,Talegalla jobiensis,"A.B.Meyer, 1874",1874,gbif,2026-09-05
Acryllium vulturinum,Acryllium vulturinum,"(Hardwicke, 1834)",1834,gbif,2026-09-05
Agelastes meleagrides,Agelastes meleagrides,"Bonaparte, 1850",1850,gbif,2026-09-05
Agelastes niger,Agelastes niger,"(Cassin, 1857)",1857,gbif,2026-09-05
Guttera edouardi,Guttera edouardi,"(Hartlaub, 1867)",1867,gbif,2026-09-05
Guttera plumifera,Guttera plumifera,"(Cassin, 1857)",1857,gbif,2026-09-05
Guttera pucherani,Guttera pucherani,"(Hartlaub, 1861)",1861,gbif,2026-09-05
Guttera verreauxi,Guttera verreauxi,"(D.G.Elliot, 1870)",1870,gbif,2026-09-05
Numida meleagris,Numida meleagris,"(Linnaeus, 1758)",1758,gbif,2026-09-05
Callipepla californica,Callipepla californica,"(Shaw, 1798)",1798,gbif,2026-09-05
Callipepla douglasii,Callipepla douglasii,"(Vigors, 1829)",1829,gbif,2026-09-05
Callipepla gambelii,Callipepla gambelii,"(Gambel, 1843)",1843,gbif,2026-09-05
Callipepla squamata,Callipepla squamata,"(Vigors, 1830)",1830,gbif,2026-09-05
Colinus cristatus,Colinus cristatus,"(Linnaeus, 1766)",1766,gbif,2026-09-05
Colinus leucopogon,Colinus leucopogon,"(R.Lesson, 1842)",1842,gbif,2026-09-05
Colinus nigrogularis,Colinus nigrogularis,"(Gould, 1843)",1843,gbif,2026-09-05
Colinus virginianus,Colinus virginianus,"(Linnaeus, 1758)",1758,gbif,2026-09-05
Cyrtonyx montezumae,Cyrtonyx montezumae,"(Vigors, 1830)",1830,gbif,2026-09-05
Cyrtonyx ocellatus,Cyrtonyx ocellatus,"(Gould, 1837)",1837,gbif,2026-09-05
Cyrtonyx sallei,Cyrtonyx sallei,"J.Verreaux, 1859",1859,gbif,2026-09-05
Dactylortyx thoracicus,Dactylortyx thoracicus,"(Gambel, 1848)",1848,gbif,2026-09-05
Dendrortyx barbatus,Dendrortyx barbatus,"Gould, 1846",1846,gbif,2026-09-05
Dendrortyx leucophrys,Dendrortyx leucophrys,"(Gould, 1844)",1844,gbif,2026-09-05
Dendrortyx macroura,Dendrortyx macroura,"(Jardine & Selby, 1828)",1828,gbif,2026-09-05
Odontophorus atrifrons,Odontophorus atrifrons,"J.A.Allen, 1900",1900,gbif,2026-09-05
Odontophorus balliviani,Odontophorus balliviani,"Gould, 1846",1846,gbif,2026-09-05
Odontophorus capueira,Odontophorus capueira,"(Spix, 1825)",1825,gbif,2026-09-05
Odontophorus columbianus,Odontophorus columbianus,"Gould, 1850",1850,gbif,2026-09-05
Odontophorus dialeucos,Odontophorus dialeucos,"Wetmore, 1963",1963,gbif,2026-09-05
Odontophorus erythrops,Odontophorus erythrops,"Gould, 1859",1859,gbif,2026-09-05
Odontophorus gujanensis,Odontophorus gujanensis,"(J.F.Gmelin, 1789)",1789,gbif,2026-09-05
Odontophorus guttatus,Odontophorus guttatus,"(Gould, 1838)",1838,gbif,2026-09-05
Odontophorus hyperythrus,Odontophorus hyperythrus,"Gould, 1858",1858,gbif,2026-09-05
Odontophorus leucolaemus,Odontophorus leucolaemus,"Salvin, 1867",1867,gbif,2026-09-05
Odontophorus melanonotus,Odontophorus melanonotus,"Gould, 1861",1861,gbif,2026-09-05
Odontophorus melanotis,Odontophorus melanotis,"Salvin, 1865",1865,gbif,2026-09-05
Odontophorus speciosus,Odontophorus speciosus,"Tschudi, 1843",1843,gbif,2026-09-05
Odontophorus stellatus,Odontophorus stellatus,"(Gould, 1843)",1843,gbif,2026-09-05
Odontophorus strophium,Odontophorus strophium,"(Gould, 1844)",1844,gbif,2026-09-05
Oreortyx pictus,Oreortyx pictus,"(Douglas, 1829)",1829,gbif,2026-09-05
Philortyx fasciatus,Philortyx fasciatus,"(Gould, 1844)",1844,gbif,2026-09-05
Ptilopachus nahani,Ptilopachus nahani,"(A.J.C.Dubois, 1905)",1905,gbif,2026-09-05
Ptilopachus petrosus,Ptilopachus petrosus,"(J.F.Gmelin, 1789)",1789,gbif,2026-09-05
Rhynchortyx cinctus,Rhynchortyx cinctus,"(Salvin, 1876)",1876,gbif,2026-09-05
Afropavo congensis,Afropavo congensis,"Chapin, 1936",1936,gbif,2026-09-05
Alectoris barbara,Alectoris barbara,"(Bonnaterre, 1790)",1790,gbif,2026-09-05
Alectoris chukar,Alectoris chukar,"(J.E.Gray, 1830)",1830,gbif,2026-09-05
Alectoris graeca,Alectoris graeca,"(Meisner, 1804)",1804,gbif,2026-09-05
Alectoris magna,Alectoris magna,"(Przewalski, 1876)",1876,gbif,2026-09-05
Alectoris melanocephala,Alectoris melanocephala,"(Rüppell, 1835)",1835,gbif,2026-09-05
Alectoris philbyi,Alectoris philbyi,"Lowe, 1934",1934,gbif,2026-09-05
Alectoris rufa,Alectoris rufa,"(Linnaeus, 1758)",1758,gbif,2026-09-05
Ammoperdix griseogularis,Ammoperdix griseogularis,"(J.F.Brandt, 1843)",1843,gbif,2026-09-05
Ammoperdix heyi,Ammoperdix heyi,"(Temminck, 1825)",1825,gbif,2026-09-05
Anurophasis monorthonyx,Anurophasis monorthonyx,"van Oort, 1910",1910,gbif,2026-09-05
Arborophila ardens,Arborophila ardens,"(Styan, 1892)",1892,gbif,2026-09-05
Arborophila atrogularis,Arborophila atrogularis,"(Blyth, 1849)",1849,gbif,2026-09-05
Arborophila brunneopectus,Arborophila brunneopectus,"(Blyth, 1855)",1855,gbif,2026-09-05
Arborophila cambodiana,Arborophila cambodiana,"Delacour & Jabouille, 1928",1928,gbif,2026-09-05
Arborophila campbelli,Arborophila campbelli,"(Robinson, 1904)",1904,gbif,2026-09-05
Arborophila charltonii,Arborophila charltonii,"(Eyton, 1845)",1845,col,2026-09-05
Arborophila chloropus,Arborophila chloropus,"(Blyth, 1859)",1859,gbif,2026-09-05
Arborophila crudigularis,Arborophila crudigularis,"(Swinhoe, 1864)",1864,gbif,2026-09-05
Arborophila davidi,Arborophila davidi,"Delacour, 1927",1927,gbif,2026-09-05
Arborophila gingica,Arborophila gingica,"(J.F.Gmelin, 1789)",1789,gbif,2026-09-05
Arborophila graydoni,Arborophila graydoni,"(Sharpe & C.Chubb, 1906)",1906,gbif,2026-09-05
Arborophila hyperythra,Arborophila hyperythra,"(Sharpe, 1879)",1879,gbif,2026-09-05
Arborophila javanica,Arborophila javanica,"(J.F.Gmelin, 1789)",1789,gbif,2026-09-05
