species,field_id,works,cost_usd,fetched
Acanthiza katherina,23,18,0.0001,2026-09-09
Acanthiza katherina,11,5,0.0000,2026-09-09
Acanthiza katherina,13,2,0.0000,2026-09-09
Acanthiza katherina,17,2,0.0000,2026-09-09
Acanthiza katherina,33,1,0.0000,2026-09-09
Accipiter butleri,23,24,0.0001,2026-09-09
Accipiter butleri,13,2,0.0000,2026-09-09
Accipiter butleri,19,1,0.0000,2026-09-09
Accipiter butleri,22,1,0.0000,2026-09-09
Accipiter gundlachi,23,25,0.0001,2026-09-09
Accipiter gundlachi,22,2,0.0000,2026-09-09
Accipiter gundlachi,13,1,0.0000,2026-09-09
Accipiter gundlachi,19,1,0.0000,2026-09-09
Accipiter haplochrous,23,18,0.0001,2026-09-09
Accipiter haplochrous,13,2,0.0000,2026-09-09
Accipiter haplochrous,19,2,0.0000,2026-09-09
Accipiter haplochrous,11,1,0.0000,2026-09-09
Accipiter haplochrous,22,1,0.0000,2026-09-09
Accipiter henicogrammus,23,19,0.0001,2026-09-09
Accipiter henicogrammus,13,1,0.0000,2026-09-09
Accipiter henstii,23,19,0.0001,2026-09-09
Accipiter henstii,13,4,0.0000,2026-09-09
Accipiter henstii,19,2,0.0000,2026-09-09
Accipiter henstii,32,2,0.0000,2026-09-09
Accipiter henstii,11,1,0.0000,2026-09-09
Accipiter henstii,22,1,0.0000,2026-09-09
Accipiter imitator,23,22,0.0001,2026-09-09
Accipiter imitator,13,2,0.0000,2026-09-09
Accipiter imitator,22,2,0.0000,2026-09-09
Accipiter imitator,11,1,0.0000,2026-09-09
Accipiter imitator,17,1,0.0000,2026-09-09
Accipiter imitator,19,1,0.0000,2026-09-09
Accipiter madagascariensis,23,17,0.0001,2026-09-09
Accipiter madagascariensis,11,2,0.0000,2026-09-09
Accipiter madagascariensis,13,1,0.0000,2026-09-09
Accipiter madagascariensis,22,1,0.0000,2026-09-09
Accipiter poliogaster,23,32,0.0001,2026-09-09
Accipiter poliogaster,22,14,0.0000,2026-09-09
Accipiter poliogaster,13,11,0.0000,2026-09-09
Accipiter poliogaster,25,1,0.0000,2026-09-09
Aceros nipalensis,23,56,0.0001,2026-09-09
Aceros nipalensis,22,10,0.0000,2026-09-09
Aceros nipalensis,16,4,0.0000,2026-09-09
Aceros nipalensis,19,4,0.0000,2026-09-09
Aceros nipalensis,13,3,0.0000,2026-09-09
Aceros nipalensis,11,2,0.0000,2026-09-09
Acridotheres cinereus,23,49,0.0001,2026-09-09
Acridotheres cinereus,22,5,0.0000,2026-09-09
Acridotheres cinereus,11,3,0.0000,2026-09-09
Acridotheres cinereus,13,1,0.0000,2026-09-09
Acridotheres cinereus,19,1,0.0000,2026-09-09
Acridotheres javanicus,23,48,0.0001,2026-09-09
Acridotheres javanicus,11,17,0.0000,2026-09-09
Acridotheres javanicus,22,9,0.0000,2026-09-09
Acridotheres javanicus,13,5,0.0000,2026-09-09
Acridotheres javanicus,19,4,0.0000,2026-09-09
Acridotheres javanicus,33,3,0.0000,2026-09-09
Acridotheres javanicus,16,1,0.0000,2026-09-09
Acridotheres javanicus,32,1,0.0000,2026-09-09
Acrobatornis fonsecai,23,28,0.0001,2026-09-09
Acrobatornis fonsecai,22,6,0.0000,2026-09-09
Acrobatornis fonsecai,11,4,0.0000,2026-09-09
Acrobatornis fonsecai,19,3,0.0000,2026-09-09
Acrobatornis fonsecai,13,1,0.0000,2026-09-09
Acrocephalus aequinoctialis,23,17,0.0001,2026-09-09
Acrocephalus aequinoctialis,11,2,0.0000,2026-09-09
Acrocephalus aequinoctialis,22,2,0.0000,2026-09-09
Acrocephalus brevipennis,23,23,0.0001,2026-09-09
Acrocephalus brevipennis,11,3,0.0000,2026-09-09
Acrocephalus brevipennis,13,3,0.0000,2026-09-09
Acrocephalus caffer,22,32,0.0001,2026-09-09
Acrocephalus caffer,23,21,0.0000,2026-09-09
Acrocephalus caffer,11,2,0.0000,2026-09-09
Acrocephalus caffer,13,1,0.0000,2026-09-09
Acrocephalus familiaris,23,27,0.0001,2026-09-09
Acrocephalus familiaris,19,6,0.0000,2026-09-09
Acrocephalus familiaris,11,4,0.0000,2026-09-09
Acrocephalus familiaris,13,2,0.0000,2026-09-09
Acrocephalus familiaris,20,1,0.0000,2026-09-09
Acrocephalus familiaris,22,1,0.0000,2026-09-09
Acrocephalus griseldis,23,32,0.0001,2026-09-09
Acrocephalus griseldis,11,9,0.0000,2026-09-09
Acrocephalus griseldis,19,5,0.0000,2026-09-09
Acrocephalus griseldis,13,3,0.0000,2026-09-09
Acrocephalus griseldis,33,3,0.0000,2026-09-09
Acrocephalus griseldis,22,2,0.0000,2026-09-09
Acrocephalus hiwae,22,30,0.0001,2026-09-09
Acrocephalus hiwae,23,25,0.0000,2026-09-09
Acrocephalus hiwae,13,3,0.0000,2026-09-09
Acrocephalus hiwae,11,2,0.0000,2026-09-09
Acrocephalus hiwae,19,1,0.0000,2026-09-09
Acrocephalus paludicola,23,70,0.0001,2026-09-09
Acrocephalus paludicola,11,13,0.0000,2026-09-09
Acrocephalus paludicola,13,11,0.0000,2026-09-09
Acrocephalus paludicola,22,7,0.0000,2026-09-09
Acrocephalus paludicola,19,3,0.0000,2026-09-09
Acrocephalus paludicola,24,3,0.0000,2026-09-09
Acrocephalus paludicola,12,1,0.0000,2026-09-09
Acrocephalus paludicola,16,1,0.0000,2026-09-09
Acrocephalus paludicola,33,1,0.0000,2026-09-09
Acrocephalus rimitarae,22,30,0.0001,2026-09-09
Acrocephalus rimitarae,23,17,0.0000,2026-09-09
Acrocephalus rimitarae,11,7,0.0000,2026-09-09
Acrocephalus rimitarae,19,1,0.0000,2026-09-09
Acrocephalus sechellensis,11,48,0.0001,2026-09-09
Acrocephalus sechellensis,23,36,0.0000,2026-09-09
Acrocephalus sechellensis,13,18,0.0000,2026-09-09
Acrocephalus sechellensis,27,8,0.0000,2026-09-09
Acrocephalus sechellensis,32,4,0.0000,2026-09-09
Acrocephalus sechellensis,24,3,0.0000,2026-09-09
Acrocephalus sechellensis,22,2,0.0000,2026-09-09
Acrocephalus sechellensis,33,2,0.0000,2026-09-09
Acrocephalus sechellensis,19,1,0.0000,2026-09-09
Acrocephalus taiti,23,20,0.0001,2026-09-09
Acrocephalus taiti,11,4,0.0000,2026-09-09
Acrocephalus taiti,19,3,0.0000,2026-09-09
Acrocephalus taiti,22,2,0.0000,2026-09-09
Acrocephalus tangorum,23,30,0.0001,2026-09-09
Acrocephalus tangorum,13,4,0.0000,2026-09-09
Acrocephalus tangorum,19,3,0.0000,2026-09-09
Acrocephalus tangorum,11,1,0.0000,2026-09-09
Acrocephalus tangorum,24,1,0.0000,2026-09-09
Acrocephalus vaughani,23,25,0.0001,2026-09-09
Acrocephalus vaughani,11,3,0.0000,2026-09-09
Acrocephalus vaughani,22,3,0.0000,2026-09-09
Acrocephalus vaughani,19,2,0.0000,2026-09-09
Actenoides concretus,23,20,0.0001,2026-09-09
Actenoides concretus,11,3,0.0000,2026-09-09
Actenoides concretus,19,2,0.0000,2026-09-09
Actenoides concretus,22,2,0.0000,2026-09-09
Actenoides concretus,13,1,0.0000,2026-09-09
Actenoides concretus,17,1,0.0000,2026-09-09
Actinodura sodangorum,23,15,0.0001,2026-09-09
Actinodura sodangorum,11,4,0.0000,2026-09-09
Actinodura sodangorum,17,2,0.0000,2026-09-09
Actinodura sodangorum,19,2,0.0000,2026-09-09
Actinodura sodangorum,22,2,0.0000,2026-09-09
Actinodura sodangorum,13,1,0.0000,2026-09-09
Actophilornis albinucha,23,16,0.0001,2026-09-09
Actophilornis albinucha,11,5,0.0000,2026-09-09
Actophilornis albinucha,19,2,0.0000,2026-09-09
Aegithina viridissima,23,15,0.0001,2026-09-09
Aegithina viridissima,13,7,0.0000,2026-09-09
Aegithina viridissima,11,2,0.0000,2026-09-09
Aegithina viridissima,22,1,0.0000,2026-09-09
Aegithina viridissima,33,1,0.0000,2026-09-09
Aegypius monachus,23,246,0.0001,2026-09-09
Aegypius monachus,13,31,0.0000,2026-09-09
Aegypius monachus,22,31,0.0000,2026-09-09
Aegypius monachus,11,19,0.0000,2026-09-09
Aegypius monachus,27,16,0.0000,2026-09-09
Aegypius monachus,24,13,0.0000,2026-09-09
Aegypius monachus,19,10,0.0000,2026-09-09
Aegypius monachus,33,9,0.0000,2026-09-09
Aegypius monachus,12,7,0.0000,2026-09-09
Aegypius monachus,16,7,0.0000,2026-09-09
Aegypius monachus,17,6,0.0000,2026-09-09
Aegypius monachus,34,3,0.0000,2026-09-09
Aepypodius bruijnii,23,14,0.0001,2026-09-09
Aepypodius bruijnii,22,4,0.0000,2026-09-09
Aepypodius bruijnii,11,3,0.0000,2026-09-09
Aepypodius bruijnii,19,2,0.0000,2026-09-09
Aepypodius bruijnii,33,1,0.0000,2026-09-09
Aerodramus bartschi,23,33,0.0001,2026-09-09
Aerodramus bartschi,22,3,0.0000,2026-09-09
Aerodramus bartschi,11,2,0.0000,2026-09-09
Aerodramus bartschi,19,2,0.0000,2026-09-09
Aerodramus bartschi,13,1,0.0000,2026-09-09
Aerodramus elaphrus,23,18,0.0001,2026-09-09
Aerodramus elaphrus,11,3,0.0000,2026-09-09
Aerodramus elaphrus,13,2,0.0000,2026-09-09
Aerodramus elaphrus,22,2,0.0000,2026-09-09
Aerodramus elaphrus,19,1,0.0000,2026-09-09
Aerodramus francicus,23,23,0.0001,2026-09-09
Aerodramus francicus,11,5,0.0000,2026-09-09
Aerodramus francicus,13,1,0.0000,2026-09-09
Aerodramus francicus,22,1,0.0000,2026-09-09
Aerodramus sawtelli,23,17,0.0001,2026-09-09
Aerodramus sawtelli,22,3,0.0000,2026-09-09
Aerodramus sawtelli,11,2,0.0000,2026-09-09
Aerodramus sawtelli,13,1,0.0000,2026-09-09
Aethopyga duyvenbodei,23,15,0.0001,2026-09-09
Aethopyga duyvenbodei,22,3,0.0000,2026-09-09
Aethopyga duyvenbodei,11,2,0.0000,2026-09-09
Aethopyga duyvenbodei,13,2,0.0000,2026-09-09
Aethopyga duyvenbodei,19,2,0.0000,2026-09-09
Aethopyga linaraborae,23,10,0.0001,2026-09-09
Aethopyga linaraborae,11,3,0.0000,2026-09-09
Aethopyga linaraborae,19,3,0.0000,2026-09-09
Aethopyga linaraborae,13,1,0.0000,2026-09-09
Aethopyga linaraborae,22,1,0.0000,2026-09-09
Afropavo congensis,23,23,0.0001,2026-09-09
Afropavo congensis,11,4,0.0000,2026-09-09
Afropavo congensis,19,2,0.0000,2026-09-09
Afropavo congensis,22,2,0.0000,2026-09-09
Afropavo congensis,33,1,0.0000,2026-09-09
Afrotis afra,23,13,0.0001,2026-09-09
Afrotis afra,13,2,0.0000,2026-09-09
Afrotis afra,19,1,0.0000,2026-09-09
Afrotis afra,22,1,0.0000,2026-09-09
Agamia agami,23,54,0.0001,2026-09-09
Agamia agami,22,19,0.0000,2026-09-09
Agamia agami,12,4,0.0000,2026-09-09
Agamia agami,11,3,0.0000,2026-09-09
Agamia agami,19,3,0.0000,2026-09-09
Agamia agami,13,2,0.0000,2026-09-09
Agamia agami,17,1,0.0000,2026-09-09
Agamia agami,20,1,0.0000,2026-09-09
Agamia agami,27,1,0.0000,2026-09-09
Agapornis fischeri,23,65,0.0001,2026-09-09
Agapornis fischeri,11,15,0.0000,2026-09-09
Agapornis fischeri,13,14,0.0000,2026-09-09
Agapornis fischeri,22,13,0.0000,2026-09-09
Agapornis fischeri,27,12,0.0000,2026-09-09
Agapornis fischeri,24,4,0.0000,2026-09-09
Agapornis fischeri,17,2,0.0000,2026-09-09
Agapornis fischeri,19,2,0.0000,2026-09-09
Agapornis fischeri,16,1,0.0000,2026-09-09
Agapornis fischeri,20,1,0.0000,2026-09-09
Agapornis fischeri,33,1,0.0000,2026-09-09
Agapornis lilianae,23,42,0.0001,2026-09-09
Agapornis lilianae,13,6,0.0000,2026-09-09
Agapornis lilianae,11,4,0.0000,2026-09-09
Agapornis lilianae,19,3,0.0000,2026-09-09
Agapornis lilianae,22,3,0.0000,2026-09-09
Agapornis lilianae,17,2,0.0000,2026-09-09
Agapornis lilianae,16,1,0.0000,2026-09-09
Agapornis lilianae,27,1,0.0000,2026-09-09
Agapornis nigrigenis,23,40,0.0001,2026-09-09
Agapornis nigrigenis,13,3,0.0000,2026-09-09
Agapornis nigrigenis,22,3,0.0000,2026-09-09
Agapornis nigrigenis,17,2,0.0000,2026-09-09
Agapornis nigrigenis,34,2,0.0000,2026-09-09
Agapornis nigrigenis,11,1,0.0000,2026-09-09
Agapornis nigrigenis,19,1,0.0000,2026-09-09
Agapornis nigrigenis,27,1,0.0000,2026-09-09
Agelaius tricolor,23,99,0.0001,2026-09-09
Agelaius tricolor,11,8,0.0000,2026-09-09
Agelaius tricolor,22,7,0.0000,2026-09-09
Agelaius tricolor,13,6,0.0000,2026-09-09
Agelaius tricolor,19,2,0.0000,2026-09-09
Agelaius xanthomus,23,26,0.0001,2026-09-09
Agelaius xanthomus,11,4,0.0000,2026-09-09
Agelaius xanthomus,13,4,0.0000,2026-09-09
Agelaius xanthomus,19,2,0.0000,2026-09-09
Agelaius xanthomus,22,1,0.0000,2026-09-09
Aglaeactis aliciae,23,11,0.0001,2026-09-09
Aglaeactis aliciae,13,4,0.0000,2026-09-09
Aglaeactis aliciae,19,4,0.0000,2026-09-09
Aglaeactis aliciae,22,3,0.0000,2026-09-09
Aglaeactis aliciae,11,2,0.0000,2026-09-09
Aglaeactis aliciae,16,1,0.0000,2026-09-09
Aglaeactis aliciae,21,1,0.0000,2026-09-09
Aglaeactis castelnaudii,23,12,0.0001,2026-09-09
Aglaeactis castelnaudii,11,6,0.0000,2026-09-09
Aglaeactis castelnaudii,13,5,0.0000,2026-09-09
Aglaeactis castelnaudii,22,4,0.0000,2026-09-09
Aglaeactis castelnaudii,19,2,0.0000,2026-09-09
Aglaiocercus berlepschi,11,4,0.0001,2026-09-09
Aglaiocercus berlepschi,19,4,0.0000,2026-09-09
Aglaiocercus berlepschi,23,4,0.0000,2026-09-09
Aglaiocercus berlepschi,13,3,0.0000,2026-09-09
Aglaiocercus berlepschi,22,3,0.0000,2026-09-09
Agriornis albicauda,23,23,0.0001,2026-09-09
Agriornis albicauda,13,7,0.0000,2026-09-09
Agriornis albicauda,11,3,0.0000,2026-09-09
Agriornis albicauda,22,2,0.0000,2026-09-09
Agriornis albicauda,19,1,0.0000,2026-09-09
Alauda razae,23,14,0.0001,2026-09-09
Alauda razae,13,4,0.0000,2026-09-09
Alauda razae,11,3,0.0000,2026-09-09
Alauda razae,22,2,0.0000,2026-09-09
Alauda razae,24,2,0.0000,2026-09-09
Alauda razae,19,1,0.0000,2026-09-09
Alcedo hercules,23,22,0.0001,2026-09-09
Alcedo hercules,19,3,0.0000,2026-09-09
Alcedo hercules,11,2,0.0000,2026-09-09
Alcedo hercules,13,2,0.0000,2026-09-09
Alcedo hercules,22,2,0.0000,2026-09-09
Alcedo hercules,17,1,0.0000,2026-09-09
Alcippe brunneicauda,23,13,0.0001,2026-09-09
Alcippe brunneicauda,13,8,0.0000,2026-09-09
Alcippe brunneicauda,11,4,0.0000,2026-09-09
Alcippe brunneicauda,19,1,0.0000,2026-09-09
Alcippe brunneicauda,22,1,0.0000,2026-09-09
Alcippe brunneicauda,33,1,0.0000,2026-09-09
Alectoris graeca,23,114,0.0001,2026-09-09
Alectoris graeca,11,14,0.0000,2026-09-09
Alectoris graeca,13,9,0.0000,2026-09-09
Alectoris graeca,22,4,0.0000,2026-09-09
Alectoris graeca,19,3,0.0000,2026-09-09
Alectoris graeca,24,3,0.0000,2026-09-09
Alectoris graeca,20,2,0.0000,2026-09-09
Alectoris graeca,27,1,0.0000,2026-09-09
Alectoris graeca,33,1,0.0000,2026-09-09
Alectoris rufa,23,157,0.0001,2026-09-09
Alectoris rufa,11,57,0.0000,2026-09-09
Alectoris rufa,13,47,0.0000,2026-09-09
Alectoris rufa,27,34,0.0000,2026-09-09
Alectoris rufa,24,10,0.0000,2026-09-09
Alectoris rufa,22,4,0.0000,2026-09-09
Alectoris rufa,20,2,0.0000,2026-09-09
Alectoris rufa,12,1,0.0000,2026-09-09
Alectoris rufa,15,1,0.0000,2026-09-09
Alectoris rufa,16,1,0.0000,2026-09-09
Alectoris rufa,19,1,0.0000,2026-09-09
Alectoris rufa,21,1,0.0000,2026-09-09
Alectoris rufa,26,1,0.0000,2026-09-09
Alectoris rufa,29,1,0.0000,2026-09-09
Alectoris rufa,32,1,0.0000,2026-09-09
Alectoris rufa,33,1,0.0000,2026-09-09
Alectoris rufa,34,1,0.0000,2026-09-09
Alectroenas madagascariensis,23,10,0.0001,2026-09-09
Alectroenas madagascariensis,11,1,0.0000,2026-09-09
Alectroenas madagascariensis,13,1,0.0000,2026-09-09
Alectroenas sganzini,11,4,0.0001,2026-09-09
Alectroenas sganzini,23,4,0.0000,2026-09-09
Alectroenas sganzini,22,1,0.0000,2026-09-09
Alectrurus risora,23,12,0.0001,2026-09-09
Alectrurus risora,22,8,0.0000,2026-09-09
Alectrurus risora,11,3,0.0000,2026-09-09
Alectrurus risora,13,2,0.0000,2026-09-09
Alectrurus risora,27,2,0.0000,2026-09-09
Alectrurus risora,19,1,0.0000,2026-09-09
Alectrurus risora,33,1,0.0000,2026-09-09
Alectrurus tricolor,23,29,0.0001,2026-09-09
Alectrurus tricolor,22,9,0.0000,2026-09-09
Alectrurus tricolor,16,7,0.0000,2026-09-09
Alectrurus tricolor,11,4,0.0000,2026-09-09
Alectrurus tricolor,19,1,0.0000,2026-09-09
Alexandrinus eques,13,3,0.0001,2026-09-09
Alexandrinus eques,27,2,0.0000,2026-09-09
Alexandrinus eques,19,1,0.0000,2026-09-09
Alipiopsitta xanthops,23,17,0.0001,2026-09-09
Alipiopsitta xanthops,22,13,0.0000,2026-09-09
Alipiopsitta xanthops,13,6,0.0000,2026-09-09
Alipiopsitta xanthops,24,1,0.0000,2026-09-09
Alipiopsitta xanthops,27,1,0.0000,2026-09-09
Alophoixus bres,23,18,0.0001,2026-09-09
Alophoixus bres,13,8,0.0000,2026-09-09
Alophoixus bres,11,7,0.0000,2026-09-09
Alophoixus bres,19,3,0.0000,2026-09-09
Alophoixus bres,24,1,0.0000,2026-09-09
Alophoixus bres,27,1,0.0000,2026-09-09
Alophoixus bres,33,1,0.0000,2026-09-09
Amandava formosa,23,23,0.0001,2026-09-09
Amandava formosa,11,7,0.0000,2026-09-09
Amandava formosa,22,2,0.0000,2026-09-09
Amandava formosa,19,1,0.0000,2026-09-09
Amaurocichla bocagii,23,8,0.0001,2026-09-09
Amaurocichla bocagii,11,2,0.0000,2026-09-09
Amaurocichla bocagii,22,2,0.0000,2026-09-09
Amaurocichla bocagii,13,1,0.0000,2026-09-09
Amaurocichla bocagii,19,1,0.0000,2026-09-09
Amazilia boucardi,22,40,0.0001,2026-09-09
Amazilia boucardi,23,19,0.0000,2026-09-09
Amazilia boucardi,11,6,0.0000,2026-09-09
Amazilia boucardi,13,6,0.0000,2026-09-09
Amazilia boucardi,17,1,0.0000,2026-09-09
Amazilia boucardi,19,1,0.0000,2026-09-09
Amazilia luciae,23,32,0.0001,2026-09-09
Amazilia luciae,22,18,0.0000,2026-09-09
Amazilia luciae,19,4,0.0000,2026-09-09
Amazilia luciae,11,3,0.0000,2026-09-09
Amazilia luciae,13,1,0.0000,2026-09-09
Amazilia luciae,32,1,0.0000,2026-09-09
Amazilia luciae,33,1,0.0000,2026-09-09
Amazona aestiva,23,158,0.0001,2026-09-09
Amazona aestiva,24,57,0.0000,2026-09-09
Amazona aestiva,11,54,0.0000,2026-09-09
Amazona aestiva,27,34,0.0000,2026-09-09
Amazona aestiva,13,32,0.0000,2026-09-09
Amazona aestiva,19,26,0.0000,2026-09-09
Amazona aestiva,22,20,0.0000,2026-09-09
Amazona aestiva,34,9,0.0000,2026-09-09
Amazona aestiva,33,4,0.0000,2026-09-09
Amazona aestiva,17,2,0.0000,2026-09-09
Amazona aestiva,32,2,0.0000,2026-09-09
Amazona aestiva,12,1,0.0000,2026-09-09
Amazona aestiva,21,1,0.0000,2026-09-09
Amazona aestiva,28,1,0.0000,2026-09-09
Amazona aestiva,29,1,0.0000,2026-09-09
Amazona agilis,23,20,0.0001,2026-09-09
Amazona agilis,11,2,0.0000,2026-09-09
Amazona agilis,22,2,0.0000,2026-09-09
Amazona agilis,13,1,0.0000,2026-09-09
Amazona agilis,19,1,0.0000,2026-09-09
Amazona arausiaca,23,24,0.0001,2026-09-09
Amazona arausiaca,22,3,0.0000,2026-09-09
Amazona arausiaca,19,1,0.0000,2026-09-09
Amazona auropalliata,23,83,0.0001,2026-09-09
Amazona auropalliata,22,12,0.0000,2026-09-09
Amazona auropalliata,24,11,0.0000,2026-09-09
Amazona auropalliata,11,10,0.0000,2026-09-09
Amazona auropalliata,27,5,0.0000,2026-09-09
Amazona auropalliata,13,4,0.0000,2026-09-09
Amazona auropalliata,32,2,0.0000,2026-09-09
Amazona auropalliata,17,1,0.0000,2026-09-09
Amazona auropalliata,19,1,0.0000,2026-09-09
Amazona barbadensis,23,46,0.0001,2026-09-09
Amazona barbadensis,11,6,0.0000,2026-09-09
Amazona barbadensis,22,2,0.0000,2026-09-09
Amazona barbadensis,12,1,0.0000,2026-09-09
Amazona barbadensis,14,1,0.0000,2026-09-09
Amazona brasiliensis,23,42,0.0001,2026-09-09
Amazona brasiliensis,24,8,0.0000,2026-09-09
Amazona brasiliensis,22,6,0.0000,2026-09-09
Amazona brasiliensis,11,3,0.0000,2026-09-09
Amazona brasiliensis,13,1,0.0000,2026-09-09
Amazona brasiliensis,19,1,0.0000,2026-09-09
Amazona collaria,23,16,0.0001,2026-09-09
Amazona collaria,22,3,0.0000,2026-09-09
Amazona collaria,13,1,0.0000,2026-09-09
Amazona collaria,19,1,0.0000,2026-09-09
Amazona dufresniana,23,28,0.0001,2026-09-09
Amazona dufresniana,11,3,0.0000,2026-09-09
Amazona dufresniana,22,3,0.0000,2026-09-09
Amazona finschi,23,100,0.0001,2026-09-09
Amazona finschi,22,18,0.0000,2026-09-09
Amazona finschi,13,9,0.0000,2026-09-09
Amazona finschi,11,7,0.0000,2026-09-09
Amazona finschi,19,5,0.0000,2026-09-09
Amazona finschi,24,4,0.0000,2026-09-09
Amazona finschi,17,2,0.0000,2026-09-09
Amazona guildingii,23,20,0.0001,2026-09-09
Amazona guildingii,22,4,0.0000,2026-09-09
Amazona guildingii,13,3,0.0000,2026-09-09
Amazona guildingii,17,2,0.0000,2026-09-09
Amazona guildingii,12,1,0.0000,2026-09-09
Amazona guildingii,19,1,0.0000,2026-09-09
Amazona guildingii,27,1,0.0000,2026-09-09
Amazona guildingii,28,1,0.0000,2026-09-09
Amazona imperialis,23,26,0.0001,2026-09-09
Amazona imperialis,11,3,0.0000,2026-09-09
Amazona imperialis,22,3,0.0000,2026-09-09
Amazona imperialis,19,1,0.0000,2026-09-09
Amazona imperialis,25,1,0.0000,2026-09-09
Amazona leucocephala,23,42,0.0001,2026-09-09
Amazona leucocephala,13,4,0.0000,2026-09-09
Amazona leucocephala,24,4,0.0000,2026-09-09
Amazona leucocephala,11,2,0.0000,2026-09-09
Amazona leucocephala,22,2,0.0000,2026-09-09
Amazona leucocephala,27,2,0.0000,2026-09-09
Amazona leucocephala,19,1,0.0000,2026-09-09
Amazona leucocephala,34,1,0.0000,2026-09-09
Amazona oratrix,23,105,0.0001,2026-09-09
Amazona oratrix,22,22,0.0000,2026-09-09
Amazona oratrix,13,13,0.0000,2026-09-09
Amazona oratrix,11,8,0.0000,2026-09-09
Amazona oratrix,17,3,0.0000,2026-09-09
Amazona oratrix,24,3,0.0000,2026-09-09
Amazona oratrix,27,3,0.0000,2026-09-09
Amazona oratrix,19,2,0.0000,2026-09-09
Amazona oratrix,12,1,0.0000,2026-09-09
Amazona pretrei,23,56,0.0001,2026-09-09
Amazona pretrei,22,10,0.0000,2026-09-09
Amazona pretrei,11,3,0.0000,2026-09-09
Amazona pretrei,19,2,0.0000,2026-09-09
Amazona pretrei,24,2,0.0000,2026-09-09
Amazona pretrei,13,1,0.0000,2026-09-09
Amazona rhodocorytha,23,44,0.0001,2026-09-09
Amazona rhodocorytha,22,10,0.0000,2026-09-09
Amazona rhodocorytha,13,6,0.0000,2026-09-09
Amazona rhodocorytha,11,3,0.0000,2026-09-09
Amazona rhodocorytha,19,1,0.0000,2026-09-09
Amazona rhodocorytha,24,1,0.0000,2026-09-09
Amazona tucumana,23,39,0.0001,2026-09-09
Amazona tucumana,22,11,0.0000,2026-09-09
Amazona tucumana,13,2,0.0000,2026-09-09
Amazona tucumana,19,2,0.0000,2026-09-09
Amazona tucumana,12,1,0.0000,2026-09-09
Amazona tucumana,36,1,0.0000,2026-09-09
Amazona ventralis,23,45,0.0001,2026-09-09
Amazona ventralis,24,16,0.0000,2026-09-09
Amazona ventralis,22,8,0.0000,2026-09-09
Amazona ventralis,27,8,0.0000,2026-09-09
Amazona ventralis,34,7,0.0000,2026-09-09
Amazona ventralis,11,6,0.0000,2026-09-09
Amazona ventralis,13,5,0.0000,2026-09-09
Amazona ventralis,17,1,0.0000,2026-09-09
Amazona ventralis,19,1,0.0000,2026-09-09
Amazona versicolor,23,23,0.0001,2026-09-09
Amazona versicolor,22,4,0.0000,2026-09-09
Amazona versicolor,13,3,0.0000,2026-09-09
Amazona versicolor,11,2,0.0000,2026-09-09
Amazona versicolor,19,1,0.0000,2026-09-09
Amazona vinacea,23,71,0.0001,2026-09-09
Amazona vinacea,22,15,0.0000,2026-09-09
Amazona vinacea,11,12,0.0000,2026-09-09
Amazona vinacea,13,5,0.0000,2026-09-09
Amazona vinacea,19,2,0.0000,2026-09-09
Amazona vinacea,24,2,0.0000,2026-09-09
Amazona vinacea,27,1,0.0000,2026-09-09
Amazona vinacea,32,1,0.0000,2026-09-09
Amazona vinacea,34,1,0.0000,2026-09-09
Amazona viridigenalis,23,89,0.0001,2026-09-09
Amazona viridigenalis,22,22,0.0000,2026-09-09
Amazona viridigenalis,19,3,0.0000,2026-09-09
Amazona viridigenalis,11,2,0.0000,2026-09-09
Amazona viridigenalis,13,1,0.0000,2026-09-09
Amazona viridigenalis,17,1,0.0000,2026-09-09
Amazona viridigenalis,27,1,0.0000,2026-09-09
Amazona vittata,23,28,0.0001,2026-09-09
Amazona vittata,11,5,0.0000,2026-09-09
Amazona vittata,13,5,0.0000,2026-09-09
Amazona vittata,33,3,0.0000,2026-09-09
Amazona vittata,22,2,0.0000,2026-09-09
Amazona vittata,19,1,0.0000,2026-09-09
Amazona vittata,27,1,0.0000,2026-09-09
Ammomanes phoenicura,23,15,0.0001,2026-09-09
Ammomanes phoenicura,11,3,0.0000,2026-09-09
Ammomanes phoenicura,13,1,0.0000,2026-09-09
Ammospiza caudacuta,23,27,0.0001,2026-09-09
Ammospiza caudacuta,11,7,0.0000,2026-09-09
Ammospiza caudacuta,13,3,0.0000,2026-09-09
Ammospiza caudacuta,19,3,0.0000,2026-09-09
Ampelornis griseiceps,23,9,0.0001,2026-09-09
Ampelornis griseiceps,19,4,0.0000,2026-09-09
Ampelornis griseiceps,22,4,0.0000,2026-09-09
Ampelornis griseiceps,33,2,0.0000,2026-09-09
Ampelornis griseiceps,11,1,0.0000,2026-09-09
Amytornis ballarae,23,18,0.0001,2026-09-09
Amytornis ballarae,19,3,0.0000,2026-09-09
Amytornis dorotheae,23,15,0.0001,2026-09-09
Amytornis dorotheae,19,4,0.0000,2026-09-09
Amytornis dorotheae,11,2,0.0000,2026-09-09
Amytornis dorotheae,22,1,0.0000,2026-09-09
Amytornis merrotsyi,23,10,0.0001,2026-09-09
Amytornis merrotsyi,19,4,0.0000,2026-09-09
Amytornis merrotsyi,22,2,0.0000,2026-09-09
