species,family,mass_bin,year_decade
Pachycephala lorentzi,Pachycephalidae,1.0,1930
Pachycephalopsis hattamensis,Petroicidae,1.5,1870
Pachyptila belcheri,Procellariidae,2.0,1910
Pachyptila crassirostris,Procellariidae,2.0,1910
Pachyptila turtur,Procellariidae,2.0,1820
Pachyramphus aglaiae,Tityridae,1.0,1830
Pachyramphus cinnamomeus,Tityridae,1.0,1860
Pachysylvia hypoxantha,Vireonidae,1.0,1860
Panterpe insignis,Trochilidae,0.5,1860
Parabuteo leucorrhous,Accipitridae,2.0,1820
Parabuteo unicinctus,Accipitridae,2.5,1820
Paradisaea minor,Paradisaeidae,2.0,1800
Pardalotus rubricatus,Pardalotidae,1.0,1830
Pardirallus nigricans,Rallidae,2.0,1810
Parotia lawesii,Paradisaeidae,2.0,1880
Passer griseus,Passeridae,1.0,1810
Passerculus henslowii,Passerellidae,1.0,1820
Patagioenas goodsoni,Columbidae,2.0,1900
Patagioenas speciosa,Columbidae,2.0,1780
Pelecanus erythrorhynchos,Pelecanidae,3.5,1780
Pellorneum albiventre,Pellorneidae,1.0,1870
Pellorneum fuscocapillus,Pellorneidae,1.0,1840
Pellorneum ruficeps,Pellorneidae,1.0,1830
Peltohyas australis,Charadriidae,1.5,1840
Penelope jacquacu,Cracidae,3.0,1820
Penelope montagnii,Cracidae,2.5,1850
Penelopides manillae,Bucerotidae,2.5,1780
Peneothello cyanus,Petroicidae,1.0,1870
Pericrocotus erythropygius,Campephagidae,1.0,1840
Pernis celebensis,Accipitridae,2.5,1860
Pernis ptilorhynchus,Accipitridae,3.0,1820
Pernis steerei,Accipitridae,2.5,1910
Petroica australis,Petroicidae,1.0,1780
Petroica boodang,Petroicidae,1.0,1830
Petrophassa rufipennis,Columbidae,2.0,1890
Pezoporus wallicus,Psittacidae,1.5,1790
Phaenicophaeus viridirostris,Cuculidae,1.5,1840
Phaethornis atrimentalis,Trochilidae,0.0,1850
Phaethornis eurynome,Trochilidae,0.5,1830
Phaethornis koepckeae,Trochilidae,0.5,1970
Phaethornis mexicanus,Trochilidae,0.5,1890
Phaethornis subochraceus,Trochilidae,0.5,1910
Phalacrocorax capillatus,Phalacrocoracidae,3.0,1840
Phalacrocorax varius,Phalacrocoracidae,3.0,1780
Phalaropus lobatus,Scolopacidae,1.5,1750
Phalcoboenus megalopterus,Falconidae,2.5,1830
Pharomachrus fulgidus,Trogonidae,2.0,1830
Pheugopedius felix,Troglodytidae,1.0,1860
Pheugopedius spadix,Troglodytidae,1.0,1910
Phigys solitarius,Psittacidae,1.5,1800
Phodilus assimilis,Tytonidae,2.0,1870
Phoenicircus nigricollis,Cotingidae,1.5,1830
Phrygilus patagonicus,Thraupidae,1.0,1920
Phyllastrephus baumanni,Pycnonotidae,1.0,1890
Phylloscartes difficilis,Tyrannidae,0.5,1900
Phylloscartes parkeri,Tyrannidae,0.5,1990
Phylloscopus intermedius,Phylloscopidae,0.5,1890
Phylloscopus soror,Phylloscopidae,0.5,1990
Pica hudsonia,Corvidae,2.0,1820
Piculus aurulentus,Picidae,1.5,1820
Picus erythropygius,Picidae,2.0,1860
Picus sharpei,Picidae,2.0,1870
Pinarocorys erythropygia,Alaudidae,1.0,1850
Pinarornis plumosus,Muscicapidae,1.5,1870
Pionites melanocephalus,Psittacidae,2.0,1750
Pipilo ocai,Passerellidae,1.5,1860
Pipreola intermedia,Cotingidae,1.5,1880
Pipreola lubomirskii,Cotingidae,1.5,1870
Pipreola whitelyi,Cotingidae,1.5,1880
Pitohui dichrous,Oriolidae,1.5,1850
Pitta reichenowi,Pittidae,1.5,1900
Platalea ajaja,Threskiornithidae,3.0,1750
Platalea regia,Threskiornithidae,3.0,1830
Platycercus elegans,Psittacidae,2.0,1780
Platycercus venustus,Psittacidae,1.5,1820
Ploceus angolensis,Ploceidae,1.0,1870
Ploceus dichrocephalus,Ploceidae,1.0,1890
Ploceus sakalava,Ploceidae,1.0,1860
Ploceus xanthops,Ploceidae,1.5,1860
Pluvialis dominica,Charadriidae,2.0,1770
Podilymbus podiceps,Podicipedidae,2.5,1750
Podoces hendersoni,Corvidae,2.0,1870
Poecile sclateri,Paridae,1.0,1890
Poecile superciliosus,Paridae,1.0,1870
Poecilotriccus albifacies,Tyrannidae,0.5,1950
Poicephalus flavifrons,Psittacidae,2.0,1840
Poicephalus fuscicollis,Psittacidae,2.5,1820
Poicephalus rueppellii,Psittacidae,2.0,1840
Polyboroides radiatus,Accipitridae,2.5,1780
Polyboroides typus,Accipitridae,2.5,1820
Pomatorhinus ruficollis,Timaliidae,1.0,1830
Poodytes carteri,Locustellidae,1.0,1900
Poospiza baeri,Thraupidae,1.5,1900
Porzana fasciata,Rallidae,1.5,1860
Porzana fluminea,Rallidae,1.5,1840
Prioniturus mada,Psittacidae,2.0,1900
Prionops retzii,Vangidae,1.5,1850
Procnias albus,Cotingidae,2.0,1780
Psarocolius wagleri,Icteridae,2.0,1840
Psephotellus dissimilis,Psittacidae,1.5,1890
Psephotellus varius,Psittacidae,1.5,1910
Pseudasthenes cactorum,Furnariidae,1.0,1950
Pseudorectes ferrugineus,Pachycephalidae,1.5,1850
Pseudospingus xanthophthalmus,Thraupidae,1.0,1870
Psilopogon armillaris,Megalaimidae,1.5,1820
Psilopogon pyrolophus,Megalaimidae,2.0,1830
Psittacara finschi,Psittacidae,2.0,1870
Psittacella madaraszi,Psittacidae,1.5,1880
Psittaculirostris salvadorii,Psittacidae,2.0,1880
Psitteuteles versicolor,Psittacidae,1.5,1830
Pternistis clappertoni,Phasianidae,2.5,1820
Pternistis griseostriatus,Phasianidae,2.0,1890
Pternistis hildebrandti,Phasianidae,2.5,1870
Pternistis icterorhynchus,Phasianidae,2.5,1860
Pternistis nobilis,Phasianidae,2.5,1900
Pternistis rufopictus,Phasianidae,2.5,1880
Pterodroma gouldi,Procellariidae,2.5,1860
Pterodroma heraldica,Procellariidae,2.5,1880
Pterodroma lessonii,Procellariidae,2.5,1820
Pterodroma mollis,Procellariidae,2.0,1840
Pterodroma neglecta,Procellariidae,2.5,1860
Pterodroma nigripennis,Procellariidae,2.0,1890
Pteroglossus azara,Ramphastidae,2.0,1810
Pteronetta hartlaubii,Anatidae,2.5,1860
Ptilinopus alligator,Columbidae,2.0,1890
Ptilinopus aurantiifrons,Columbidae,2.0,1850
Ptilinopus cinctus,Columbidae,2.0,1800
Ptilinopus eugeniae,Columbidae,2.0,1850
Ptilinopus pelewensis,Columbidae,1.5,1860
Ptilinopus ponapensis,Columbidae,2.0,1870
Ptilinopus viridis,Columbidae,2.0,1760
Ptilocichla mindanensis,Pellorneidae,1.0,1890
Pucrasia macrolopha,Phasianidae,3.0,1820
Puffinus bailloni,Procellariidae,2.0,1850
Puffinus elegans,Procellariidae,2.0,1860
Puffinus gavia,Procellariidae,2.0,1840
Puffinus nativitatis,Procellariidae,2.5,1870
Pycnonotus leucotis,Pycnonotidae,1.0,1830
Pycnonotus xanthopygos,Pycnonotidae,1.5,1830
Pygoscelis adeliae,Spheniscidae,3.5,1840
Pyrilia haematotis,Psittacidae,2.0,1860
Pyrilia pulchra,Psittacidae,2.0,1890
Pyrrholaemus brunneus,Acanthizidae,1.0,1840
Pyrrhula leucogenis,Fringillidae,1.0,1890
Pyrrhura devillei,Psittacidae,1.5,1850
Pyrrhura lucianii,Psittacidae,1.5,1850
Pyrrhura molinae,Psittacidae,1.5,1850
Pyrrhura perlata,Psittacidae,1.5,1820
Pyrrhura rupicola,Psittacidae,1.5,1840
Pyrroglaux podargina,Strigidae,2.0,1870
Quiscalus nicaraguensis,Icteridae,1.5,1890
Rallicula leucospila,Rallidae,2.0,1870
Rallicula rubra,Rallidae,1.5,1870
Ramphiculus epius,Columbidae,2.0,1910
Reinwardtoena reinwardti,Columbidae,2.0,1820
Rhipidura fuscorufa,Rhipiduridae,1.0,1880
Rhipidura samarensis,Rhipiduridae,1.0,1890
Rhodospiza obsoleta,Fringillidae,1.0,1820
Rhodostethia rosea,Laridae,2.0,1820
Rhopophilus pekinensis,Sylviidae,1.0,1860
Rhynchocyclus pacificus,Tyrannidae,1.0,1910
Rhyticeros plicatus,Bucerotidae,3.0,1780
Rubigula gularis,Pycnonotidae,1.0,1830
Saltator coerulescens,Thraupidae,1.5,1810
Salvadorina waigiuensis,Anatidae,2.5,1890
Sarkidiornis melanotos,Anatidae,3.0,1760
Sarothrura boehmi,Rallidae,1.5,1900
Sarothrura pulchra,Rallidae,1.5,1820
Schoeniparus brunneus,Pellorneidae,1.0,1860
Scleroptila streptophora,Phasianidae,2.5,1890
Scolopax rusticola,Scolopacidae,2.0,1750
Scotopelia bouvieri,Strigidae,2.5,1870
Scytalopus argentifrons,Rhinocryptidae,1.0,1890
Scytalopus pachecoi,Rhinocryptidae,1.0,2000
Scytalopus petrophilus,Rhinocryptidae,1.0,2010
Scytalopus schulenbergi,Rhinocryptidae,1.0,1990
Scytalopus simonsi,Rhinocryptidae,1.0,1910
Selenidera spectabilis,Ramphastidae,2.0,1850
Serpophaga griseicapilla,Tyrannidae,0.5,2000
Setopagis heterura,Caprimulgidae,1.5,1910
Setophaga plumbea,Parulidae,1.0,1870
Sheppardia aequatorialis,Muscicapidae,1.0,1900
Sheppardia polioptera,Muscicapidae,1.0,1890
Sibirionetta formosa,Anatidae,2.5,1770
Sicalis lebruni,Thraupidae,1.0,1890
Sicalis olivascens,Thraupidae,1.0,1830
Sicalis raimondii,Thraupidae,1.0,1870
Sicalis taczanowskii,Thraupidae,0.5,1880
Sirystes albocinereus,Tyrannidae,1.5,1880
Sitta cinnamoventris,Sittidae,1.0,1840
Sitta tephronota,Sittidae,1.5,1870
Sittiparus castaneoventris,Paridae,1.0,1860
Somateria spectabilis,Anatidae,3.0,1750
Spatula clypeata,Anatidae,2.5,1750
Spatula cyanoptera,Anatidae,2.5,1810
Spatula discors,Anatidae,2.5,1760
Spatula platalea,Anatidae,2.5,1810
Spatula puna,Anatidae,2.5,1840
Spatula querquedula,Anatidae,2.5,1750
Spatula smithii,Anatidae,2.5,1890
Spatula versicolor,Anatidae,2.5,1810
Spelaeornis caudatus,Timaliidae,1.0,1840
Spilornis holospilus,Accipitridae,2.5,1830
Spilornis rufipectus,Accipitridae,2.5,1850
Spinus barbatus,Fringillidae,1.0,1780
Spinus psaltria,Fringillidae,0.5,1820
Spinus siemiradzkii,Fringillidae,1.0,1880
Spizaetus tyrannus,Accipitridae,3.0,1820
Spizocorys conirostris,Alaudidae,1.0,1850
Spizocorys fremantlii,Alaudidae,1.0,1890
Spizocorys personata,Alaudidae,1.0,1890
Spizocorys starki,Alaudidae,1.0,1900
Sporophila ardesiaca,Thraupidae,1.0,1890
Sporophila funerea,Thraupidae,1.0,1860
Sporophila morelleti,Thraupidae,0.5,1850
Sporophila murallae,Thraupidae,1.0,1910
Sporophila plumbea,Thraupidae,0.5,1830
Sporophila simplex,Thraupidae,1.0,1870
Stachyris thoracica,Timaliidae,1.0,1820
Stactolaema whytii,Lybiidae,1.5,1890
Sterna forsteri,Laridae,2.0,1830
Sterna hirundinacea,Laridae,2.0,1830
Stictonetta naevosa,Anatidae,2.5,1840
Streptopelia vinacea,Columbidae,2.0,1780
Streptoprocne biscutata,Apodidae,1.5,1860
Stresemannia bougainvillei,Meliphagidae,1.0,1930
Strix fulvescens,Strigidae,2.5,1860
Strix hadorami,Strigidae,2.0,2010
Syma megarhyncha,Alcedinidae,1.5,1890
Syma torotoro,Alcedinidae,1.5,1820
Symposiachrus axillaris,Monarchidae,1.0,1870
Symposiachrus mundus,Monarchidae,1.0,1880
Synallaxis albescens,Furnariidae,1.0,1820
Synallaxis cabanisi,Furnariidae,1.0,1890
Synallaxis scutata,Furnariidae,1.0,1850
Synthliboramphus antiquus,Alcidae,2.0,1780
Tadorna ferruginea,Anatidae,3.0,1760
Tadorna tadorna,Anatidae,3.0,1750
Tadorna tadornoides,Anatidae,3.0,1820
Taeniotriccus andrei,Tyrannidae,0.5,1900
Tangara phillipsi,Thraupidae,1.0,1980
Tangara vitriolina,Thraupidae,1.0,1850
Tanygnathus megalorynchos,Psittacidae,2.5,1780
Tanysiptera danae,Alcedinidae,1.5,1880
Tanysiptera galatea,Alcedinidae,1.5,1850
Tanysiptera nigriceps,Alcedinidae,1.5,1870
Tanysiptera sylvia,Alcedinidae,1.5,1850
Tarphonomus certhioides,Furnariidae,1.0,1830
Tarsiger rufilatus,Muscicapidae,1.0,1840
Tauraco schalowi,Musophagidae,2.0,1890
Tauraco schuettii,Musophagidae,2.0,1870
Telacanthura ussheri,Apodidae,1.5,1870
Tephrodornis sylvicola,Vangidae,1.5,1830
Terpsiphone atrochalybeia,Monarchidae,1.0,1840
Terpsiphone batesi,Monarchidae,1.0,1920
Terpsiphone cyanescens,Monarchidae,1.0,1870
Tetrao urogalloides,Phasianidae,3.0,1850
Thalassornis leuconotus,Anatidae,2.5,1830
Thamnomanes saturninus,Thamnophilidae,1.0,1860
Thamnophilus amazonicus,Thamnophilidae,1.0,1850
Thamnophilus divisorius,Thamnophilidae,1.0,2000
Thamnophilus insignis,Thamnophilidae,1.0,1880
Thamnophilus murinus,Thamnophilidae,1.0,1860
Thamnophilus schistaceus,Thamnophilidae,1.0,1830
Thamnophilus zarumae,Thamnophilidae,1.0,1920
Theristicus melanopis,Threskiornithidae,3.0,1780
Thlypopsis pyrrhocoma,Thraupidae,1.0,2010
Thripophaga gutturata,Furnariidae,1.0,1830
Tmetothylacus tenellus,Motacillidae,1.0,1870
Todiramphus diops,Alcedinidae,1.5,1820
Todiramphus leucopygius,Alcedinidae,1.5,1850
Todiramphus sanctus,Alcedinidae,1.5,1820
Todiramphus saurophagus,Alcedinidae,2.0,1840
Toxostoma longirostre,Mimidae,1.5,1830
Treron axillaris,Columbidae,2.0,1850
Trichoglossus capistratus,Psittacidae,2.0,1810
Trichoglossus chlorolepidotus,Psittacidae,1.5,1820
Trichoglossus moluccanus,Psittacidae,2.0,1780
Trichoglossus ornatus,Psittacidae,2.0,1750
Tringa semipalmata,Scolopacidae,2.0,1780
Tringa totanus,Scolopacidae,2.0,1750
Trochalopteron lineatum,Leiotrichidae,1.5,1830
Trochalopteron melanostigma,Leiotrichidae,1.5,1850
Trochalopteron peninsulae,Leiotrichidae,1.5,1880
Troglodytes pacificus,Troglodytidae,0.5,1860
Trogon melanocephalus,Trogonidae,1.5,1830
Trogon mexicanus,Trogonidae,1.5,1820
Trugon terrestris,Columbidae,2.5,1840
Turdus arthuri,Turdidae,1.5,1910
Turdus eunomus,Turdidae,1.5,1830
Turdus falcklandii,Turdidae,1.5,1820
Turdus fulviventris,Turdidae,1.5,1850
Turdus kessleri,Turdidae,1.5,1870
Turdus ludoviciae,Turdidae,1.5,1890
Turdus niveiceps,Turdidae,1.5,1910
Turdus pallidus,Turdidae,1.5,1780
Turdus rufiventris,Turdidae,1.5,1810
Turdus serranus,Turdidae,1.5,1840
Turdus subalaris,Turdidae,1.5,1880
Tychaedon quadrivirgata,Muscicapidae,1.0,1870
Tyrannopsis sulphurea,Tyrannidae,1.5,1820
Upucerthia albigula,Furnariidae,1.5,1930
Uria lomvia,Alcidae,2.5,1750
Urile penicillatus,Phalacrocoracidae,3.0,1830
Uropsalis lyra,Caprimulgidae,1.5,1850
Urotriorchis macrourus,Accipitridae,2.5,1850
Vanellus armatus,Charadriidae,2.0,1820
Vanellus spinosus,Charadriidae,2.0,1750
Vanellus tricolor,Charadriidae,2.0,1810
Vanga curvirostris,Vangidae,1.5,1760
Vireo sclateri,Vireonidae,1.0,1880
Xenocopsychus ansorgei,Muscicapidae,1.5,1900
Xenotriccus callizonus,Tyrannidae,1.0,1920
Xolmis rubetra,Tyrannidae,1.5,1860
Zapornia akool,Rallidae,2.0,1830
Zenaida meloda,Columbidae,2.0,1840
Zentrygon lawrencii,Columbidae,2.0,1870
Zoonavena thomensis,Apodidae,0.5,1900
Zoothera griseiceps,Turdidae,1.5,1930
Zosterops buruensis,Zosteropidae,1.0,1870
Zosterops eurycricotus,Zosteropidae,1.0,1880
Zosterops explorator,Zosteropidae,1.0,1870
Zosterops kirki,Zosteropidae,0.5,1880
Zosterops mayottensis,Zosteropidae,0.5,1860
Zosterops mbuluensis,Zosteropidae,1.0,1930
Zosterops novaeguineae,Zosteropidae,1.0,1870
Zosterops pallidus,Zosteropidae,1.0,1830
Zosterops palpebrosus,Zosteropidae,0.5,1820
Zosterops simplex,Zosteropidae,1.0,1860
Zosterops stalkeri,Zosteropidae,1.0,1910
Zosterops stresemanni,Zosteropidae,1.0,1930
Zosterops superciliosus,Zosteropidae,1.0,1900
Zosterops vaughani,Zosteropidae,1.0,1920
Zosterornis striatus,Zosteropidae,1.0,1890
