species,family,order,mass_g,range_km2,year,attractiveness,article,views_mean_monthly,works_2015_2024
Catamblyrhynchus diadema,Thraupidae,Passeriformes,14.13,358573.96,1842,6.2472,,,13
Catamenia analis,Thraupidae,Passeriformes,12.0,1027720.64,1837,5.8615,Band-tailed seedeater,37.7,35
Catamenia homochroa,Thraupidae,Passeriformes,12.2,283918.4,1859,5.7918,Paramo seedeater,31.18,21
Catamenia inornata,Thraupidae,Passeriformes,13.4,801552.0,1847,5.7149,Plain-colored seedeater,25.32,37
Cataponera turdoides,Turdidae,Passeriformes,89.65,23212.79,1896,5.2869,Sulawesi thrush,54.33,16
Catharacta antarctica,Stercorariidae,Charadriiformes,1650.0,87990607.82,1831,5.4116,Brown skua,831.98,34
Catharacta chilensis,Stercorariidae,Charadriiformes,1367.77,274591.67,1857,4.8571,Chilean skua,170.8,6
Catharacta maccormicki,Stercorariidae,Charadriiformes,1347.07,109012.82,1893,4.9706,South polar skua,2462.68,60
Catharacta skua,Stercorariidae,Charadriiformes,1338.22,16138.54,1764,5.2335,Great skua,3185.5,19
Catharopeza bishopi,Parulidae,Passeriformes,15.1,83.11,1878,5.4328,Whistling warbler,69.92,22
Cathartes aura,Cathartidae,Cathartiformes,1518.24,28126442.74,1758,4.914,Turkey vulture,27825.36,398
Cathartes burrovianus,Cathartidae,Cathartiformes,935.0,7839868.54,1845,5.4766,Lesser yellow-headed vulture,1092.02,46
Cathartes melambrotus,Cathartidae,Cathartiformes,1373.0,6652618.68,1964,5.5553,Greater yellow-headed vulture,1009.13,40
Catharus aurantiirostris,Turdidae,Passeriformes,29.8,674006.88,1850,5.8637,Orange-billed nightingale-thrush,158.39,34
Catharus bicknelli,Turdidae,Passeriformes,27.79,38746.86,1882,4.969,Bicknell's thrush,644.75,92
Catharus frantzii,Turdidae,Passeriformes,28.9,282213.59,1861,5.7318,Ruddy-capped nightingale-thrush,77.02,30
Catharus fuscater,Turdidae,Passeriformes,33.7,313318.36,1845,5.5285,Slaty-backed nightingale-thrush,60.77,32
Catharus fuscescens,Turdidae,Passeriformes,31.9,3681872.46,1817,5.3266,,,136
Catharus gracilirostris,Turdidae,Passeriformes,21.0,3827.25,1865,6.0137,Black-billed nightingale-thrush,78.7,20
Catharus guttatus,Turdidae,Passeriformes,30.1,8383811.92,1811,5.2423,Hermit thrush,3075.79,129
Catharus mexicanus,Turdidae,Passeriformes,33.0,143279.41,1856,6.0728,Black-headed nightingale-thrush,258.9,27
Catharus minimus,Turdidae,Passeriformes,31.58,5090368.26,1848,5.0383,Gray-cheeked thrush,407.07,83
Catharus occidentalis,Turdidae,Passeriformes,26.2,417881.84,1859,4.9237,Russet nightingale-thrush,67.62,48
Catherpes mexicanus,Troglodytidae,Passeriformes,11.97,4298192.46,1829,6.2,Canyon wren,579.66,68
Catreus wallichii,Phasianidae,Galliformes,1436.88,148666.55,1827,5.8371,Cheer pheasant,833.29,68
Ceblepyris caesius,Campephagidae,Passeriformes,47.29,905645.62,1823,5.9725,Grey cuckooshrike,100.47,5
Ceblepyris cinereus,Campephagidae,Passeriformes,47.2,415959.23,1776,5.6371,Madagascar cuckooshrike,22.45,2
Ceblepyris cucullatus,Campephagidae,Passeriformes,47.2,1245.0,1885,5.3488,Comoro cuckooshrike,19.73,5
Ceblepyris pectoralis,Campephagidae,Passeriformes,54.4,6110219.71,1828,5.3776,White-breasted cuckooshrike,87.75,6
Cecropis abyssinica,Hirundinidae,Passeriformes,13.46,13676430.32,1843,5.6615,Lesser striped swallow,319.07,18
Cecropis cucullata,Hirundinidae,Passeriformes,27.1,1981804.12,1783,6.3013,Greater striped swallow,240.26,13
Cecropis hyperythra,Hirundinidae,Passeriformes,22.2,65837.4,1849,6.1528,Sri Lanka swallow,97.52,8
Cecropis semirufa,Hirundinidae,Passeriformes,30.1,8911972.36,1850,6.1274,Red-breasted swallow,220.39,12
Cecropis senegalensis,Hirundinidae,Passeriformes,45.35,12912848.81,1766,6.5719,Mosque swallow,147.2,7
Celebesica abbotti,Campephagidae,Passeriformes,67.96,28181.39,1918,5.921,Pygmy cuckooshrike,28.57,3
Celeus castaneus,Picidae,Piciformes,85.59,396905.38,1829,6.1033,Chestnut-colored woodpecker,102.88,16
Celeus elegans,Picidae,Piciformes,134.97,6510380.16,1776,6.5333,Chestnut woodpecker,73.38,22
Celeus flavescens,Picidae,Piciformes,139.0,2619318.97,1788,6.8837,Blond-crested woodpecker,127.26,29
Celeus flavus,Picidae,Piciformes,147.33,6163251.01,1776,6.9508,Cream-colored woodpecker,187.0,33
Celeus galeatus,Picidae,Piciformes,124.0,183768.38,1822,6.713,Helmeted woodpecker,115.51,31
Celeus loricatus,Picidae,Piciformes,76.6,297945.59,1854,6.0283,Cinnamon woodpecker,64.9,13
Celeus lugubris,Picidae,Piciformes,137.0,841523.9,1851,6.3135,Pale-crested woodpecker,48.64,20
Celeus obrieni,Picidae,Piciformes,114.0,805871.75,1973,7.0394,Kaempfer's woodpecker,118.13,65
Celeus ochraceus,Picidae,Piciformes,139.0,1498746.05,1824,6.5899,Ochre-backed woodpecker,41.43,16
Celeus spectabilis,Picidae,Piciformes,114.0,528390.73,1880,6.5476,Rufous-headed woodpecker,55.58,16
Centrocercus minimus,Phasianidae,Galliformes,1902.46,9683.32,2000,4.6542,Gunnison sage-grouse,288.6,50
Centrocercus urophasianus,Phasianidae,Galliformes,1902.46,1315889.14,1827,5.7697,Greater sage-grouse,4464.05,563
Centropus andamanensis,Cuculidae,Cuculiformes,164.0,6771.83,1867,5.2307,Andaman coucal,117.1,8
Centropus anselli,Cuculidae,Cuculiformes,210.0,1058987.75,1874,5.8931,Gabon coucal,76.0,12
Centropus ateralbus,Cuculidae,Cuculiformes,339.0,40984.98,1826,5.4048,White-necked coucal,54.66,11
Centropus bengalensis,Cuculidae,Cuculiformes,148.91,6030216.39,1788,6.0246,Lesser coucal,527.62,43
Centropus bernsteini,Cuculidae,Cuculiformes,162.11,516862.9,1866,5.408,Black-billed coucal,43.51,11
Centropus celebensis,Cuculidae,Cuculiformes,244.36,134955.48,1830,4.9555,Bay coucal,54.75,13
Centropus chalybeus,Cuculidae,Cuculiformes,244.36,2526.51,1876,5.3676,Biak coucal,53.11,13
Centropus chlororhynchos,Cuculidae,Cuculiformes,244.36,12120.28,1849,5.2609,Green-billed coucal,236.4,15
Centropus cupreicaudus,Cuculidae,Cuculiformes,285.18,1750330.64,1896,5.8809,Coppery-tailed coucal,120.28,13
Centropus goliath,Cuculidae,Cuculiformes,499.42,25406.99,1850,5.4266,Goliath coucal,79.88,13
Centropus grillii,Cuculidae,Cuculiformes,122.88,8530549.35,1861,5.6696,Black coucal,187.09,24
Centropus leucogaster,Cuculidae,Cuculiformes,307.81,1335483.71,1814,5.3332,Black-throated coucal,76.37,11
Centropus melanops,Cuculidae,Cuculiformes,221.2,106106.0,1830,5.8433,Black-faced coucal,69.6,12
Centropus menbeki,Cuculidae,Cuculiformes,519.0,645860.01,1828,5.0766,Ivory-billed coucal,55.88,11
Centropus milo,Cuculidae,Cuculiformes,769.0,11026.51,1856,5.6666,Buff-headed coucal,71.0,10
Centropus monachus,Cuculidae,Cuculiformes,201.31,2920157.62,1837,6.1285,Blue-headed coucal,111.12,18
Centropus nigrorufus,Cuculidae,Cuculiformes,244.36,28067.43,1816,5.2012,Sunda coucal,83.72,17
Centropus rectunguis,Cuculidae,Cuculiformes,238.0,1104920.96,1847,5.7511,Short-toed coucal,63.78,22
Centropus senegalensis,Cuculidae,Cuculiformes,169.0,9875812.37,1766,5.9194,Senegal coucal,277.32,26
Centropus sinensis,Cuculidae,Cuculiformes,280.7,7931391.58,1815,5.8578,Greater coucal,6570.79,73
Centropus steerii,Cuculidae,Cuculiformes,198.43,699.12,1894,4.8957,Black-hooded coucal,122.3,16
Centropus superciliosus,Cuculidae,Cuculiformes,148.45,7292900.16,1829,6.3511,White-browed coucal,356.89,29
Centropus toulou,Cuculidae,Cuculiformes,166.35,590995.81,1776,5.4574,Malagasy coucal,185.84,16
Centropus unirufus,Cuculidae,Cuculiformes,183.76,80442.96,1863,5.2403,Rufous coucal,73.74,10
Centropus violaceus,Cuculidae,Cuculiformes,499.99,38717.48,1830,5.3575,Violaceous coucal,48.55,12
Centropus viridis,Cuculidae,Cuculiformes,142.0,273885.38,1786,5.4822,Philippine coucal,216.47,11
Cephalopterus glabricollis,Cotingidae,Passeriformes,379.47,14362.87,1851,6.7046,Bare-necked umbrellabird,333.02,36
Cephalopterus ornatus,Cotingidae,Passeriformes,380.0,5506150.67,1809,5.9597,Amazonian umbrellabird,325.68,22
Cephalopterus penduliger,Cotingidae,Passeriformes,338.0,69374.2,1859,6.2483,Long-wattled umbrellabird,1258.72,42
Cephalopyrus flammiceps,Paridae,Passeriformes,7.0,273151.17,1836,6.254,Fire-capped tit,211.94,13
Cepphus carbo,Alcidae,Charadriiformes,490.0,1737267.71,1811,6.7075,Spectacled guillemot,205.38,15
Cepphus columba,Alcidae,Charadriiformes,530.0,1700815.29,1811,5.9852,Pigeon guillemot,1273.91,72
Cepphus grylle,Alcidae,Charadriiformes,378.0,2115522.94,1758,5.9893,Black guillemot,1697.38,141
Ceratogymna atrata,Bucerotidae,Bucerotiformes,1194.79,2282542.36,1835,5.9684,Black-casqued hornbill,288.53,25
Ceratogymna elata,Bucerotidae,Bucerotiformes,1917.02,495247.1,1831,5.8521,Yellow-casqued hornbill,140.83,21
Ceratopipra chloromeros,Pipridae,Passeriformes,16.5,472743.22,1844,6.6724,Round-tailed manakin,39.9,15
Ceratopipra cornuta,Pipridae,Passeriformes,25.3,345161.44,1825,6.7083,Scarlet-horned manakin,43.94,9
Ceratopipra erythrocephala,Pipridae,Passeriformes,13.43,3456038.86,1758,7.2003,Golden-headed manakin,154.32,19
Ceratopipra mentalis,Pipridae,Passeriformes,15.0,558740.47,1857,6.7435,Red-capped manakin,511.2,19
Ceratopipra rubrocapilla,Pipridae,Passeriformes,12.0,3391760.24,1821,6.5407,Red-headed manakin,64.48,26
Cercibis oxycerca,Threskiornithidae,Pelecaniformes,1819.0,395881.11,1825,5.0957,Sharp-tailed ibis,144.19,14
Cercococcyx montanus,Cuculidae,Cuculiformes,58.2,733955.71,1928,5.2078,Barred long-tailed cuckoo,64.5,15
Cercococcyx olivinus,Cuculidae,Cuculiformes,65.9,1841106.0,1912,5.4888,Olive long-tailed cuckoo,62.6,9
Cercomacra brasiliana,Thamnophilidae,Passeriformes,12.0,129178.51,1905,5.9303,Rio de Janeiro antbird,22.79,19
Cercomacra carbonaria,Thamnophilidae,Passeriformes,14.5,17194.19,1873,5.7678,Rio Branco antbird,44.1,23
Cercomacra cinerascens,Thamnophilidae,Passeriformes,14.3,6701397.0,1857,5.2092,Grey antbird,21.83,21
Cercomacra ferdinandi,Thamnophilidae,Passeriformes,15.0,31828.1,1928,5.6669,Bananal antbird,35.74,44
Cercomacra manu,Thamnophilidae,Passeriformes,18.08,484743.72,1990,5.107,Manu antbird,25.44,15
Cercomacra melanaria,Thamnophilidae,Passeriformes,19.0,442324.16,1835,5.7956,Mato Grosso antbird,23.49,17
Cercomacra nigricans,Thamnophilidae,Passeriformes,16.56,546994.42,1858,5.5171,Jet antbird,35.13,16
Cercomacroides fuscicauda,Thamnophilidae,Passeriformes,16.5,1072999.68,1931,5.392,Riparian antbird,28.09,9
Cercomacroides laeta,Thamnophilidae,Passeriformes,15.96,393677.48,1920,5.8029,Willis's antbird,23.03,16
Cercomacroides nigrescens,Thamnophilidae,Passeriformes,16.5,2801934.84,1860,5.4269,Blackish antbird,27.93,18
Cercomacroides parkeri,Thamnophilidae,Passeriformes,17.2,60670.31,1997,5.4755,Parker's antbird,35.66,14
Cercomacroides serva,Thamnophilidae,Passeriformes,17.0,1344617.26,1858,4.8707,Black antbird,28.41,8
Cercomacroides tyrannina,Thamnophilidae,Passeriformes,16.3,3170819.2,1855,5.5159,Dusky antbird,51.58,15
Cercotrichas galactotes,Muscicapidae,Passeriformes,20.3,9230677.97,1820,5.7847,Rufous-tailed scrub robin,342.51,42
Cercotrichas hartlaubi,Muscicapidae,Passeriformes,19.2,612316.42,1891,5.613,Brown-backed scrub robin,29.21,7
Cercotrichas leucophrys,Muscicapidae,Passeriformes,16.49,8126492.58,1817,5.8844,White-browed scrub robin,170.18,12
Cercotrichas paena,Muscicapidae,Passeriformes,19.7,1909273.6,1836,6.0299,Kalahari scrub robin,62.52,7
Cercotrichas podobe,Muscicapidae,Passeriformes,23.91,3790267.02,1776,6.324,Black scrub robin,79.48,18
Cereopsis novaehollandiae,Anatidae,Anseriformes,3559.99,557996.61,1801,5.5537,Cape Barren goose,1990.87,42
Cerorhinca monocerata,Alcidae,Charadriiformes,482.24,316387.33,1811,4.7001,Rhinoceros auklet,1127.85,126
Certhia americana,Certhiidae,Passeriformes,8.1,6543644.5,1838,5.5767,Brown creeper,2498.77,103
Certhia brachydactyla,Certhiidae,Passeriformes,8.2,3199552.33,1820,6.3091,Short-toed treecreeper,1066.65,108
Certhia discolor,Certhiidae,Passeriformes,10.4,112131.14,1845,5.5811,Sikkim treecreeper,76.65,16
Certhia familiaris,Certhiidae,Passeriformes,9.0,15914424.48,1758,5.8252,Eurasian treecreeper,2224.48,119
Certhia himalayana,Certhiidae,Passeriformes,8.8,690802.93,1832,5.6139,Bar-tailed treecreeper,97.19,20
Certhia hodgsoni,Certhiidae,Passeriformes,9.0,539884.48,1871,5.992,Hodgson's treecreeper,86.01,15
Certhia manipurensis,Certhiidae,Passeriformes,10.4,121319.92,1881,5.1316,Hume's treecreeper,66.38,11
Certhia nipalensis,Certhiidae,Passeriformes,11.1,88988.34,1845,6.0722,Rusty-flanked treecreeper,61.51,13
Certhia tianquanensis,Certhiidae,Passeriformes,9.0,38536.44,1995,5.6508,Sichuan treecreeper,54.52,26
Certhiasomus stictolaemus,Furnariidae,Passeriformes,18.5,3212301.46,1868,5.1525,Spot-throated woodcreeper,27.52,13
Certhiaxis cinnamomeus,Furnariidae,Passeriformes,15.2,8364757.31,1788,5.2742,Yellow-chinned spinetail,44.34,35
Certhiaxis mustelinus,Furnariidae,Passeriformes,14.96,693874.13,1874,6.5055,Red-and-white spinetail,22.41,11
Certhidea fusca,Thraupidae,Passeriformes,8.0,1039.43,1870,5.8341,Grey warbler-finch,184.49,14
Certhidea olivacea,Thraupidae,Passeriformes,9.5,6997.83,1837,5.2289,Green warbler-finch,410.99,31
Certhilauda chuana,Alaudidae,Passeriformes,44.1,127491.6,1836,5.1431,Short-clawed lark,42.62,16
Certhilauda semitorquata,Alaudidae,Passeriformes,40.41,468995.29,1836,4.927,Eastern long-billed lark,37.48,10
Certhionyx variegatus,Meliphagidae,Passeriformes,26.27,5122091.98,1830,5.4762,Pied honeyeater,85.85,16
Ceryle rudis,Alcedinidae,Coraciiformes,84.37,23875911.23,1758,6.929,Pied kingfisher,1872.97,75
Cettia brunnifrons,Scotocercidae,Passeriformes,7.34,1343501.57,1845,5.8379,Grey-sided bush warbler,44.16,14
Cettia castaneocoronata,Scotocercidae,Passeriformes,8.94,1980546.83,1836,6.8779,Chestnut-headed tesia,90.46,11
Cettia cetti,Scotocercidae,Passeriformes,13.22,5290133.33,1820,5.4893,Cetti's warbler,1079.47,113
Cettia major,Scotocercidae,Passeriformes,9.7,1701566.02,1854,5.8133,Chestnut-crowned bush warbler,44.52,10
Ceuthmochares aereus,Cuculidae,Cuculiformes,65.8,4005421.1,1817,5.9162,Blue malkoha,93.19,14
Ceuthmochares australis,Cuculidae,Cuculiformes,65.8,1160496.4,1873,5.8908,Green malkoha,90.51,12
Ceyx argentatus,Alcedinidae,Coraciiformes,17.84,96693.82,1877,6.6323,Southern silvery kingfisher,123.71,15
Ceyx azureus,Alcedinidae,Coraciiformes,34.9,3398489.47,1801,7.7918,Azure kingfisher,816.57,7
Ceyx cajeli,Alcedinidae,Coraciiformes,21.32,8554.31,1863,7.0001,Buru dwarf kingfisher,44.98,7
Ceyx collectoris,Alcedinidae,Coraciiformes,21.32,4988.07,1901,7.26,New Georgia dwarf kingfisher,37.5,4
Ceyx flumenicola,Alcedinidae,Coraciiformes,17.84,23319.06,1890,7.097,Northern silvery kingfisher,78.66,6
Ceyx gentianus,Alcedinidae,Coraciiformes,21.32,3331.79,1879,7.2058,Makira dwarf kingfisher,45.58,6
Ceyx margarethae,Alcedinidae,Coraciiformes,21.32,116128.28,1890,7.5225,Dimorphic dwarf kingfisher,69.58,12
Ceyx pusillus,Alcedinidae,Coraciiformes,13.3,910124.54,1836,7.6993,Little kingfisher,210.62,4
Ceyx sacerdotis,Alcedinidae,Coraciiformes,21.32,36285.3,1882,6.6546,New Britain dwarf kingfisher,36.69,6
Ceyx solitarius,Alcedinidae,Coraciiformes,21.32,687104.79,1836,7.7076,Papuan dwarf kingfisher,52.82,7
Ceyx wallacii,Alcedinidae,Coraciiformes,21.32,4678.51,1868,7.5322,Sula dwarf kingfisher,48.39,7
Ceyx websteri,Alcedinidae,Coraciiformes,60.97,13725.07,1898,6.0333,Bismarck kingfisher,75.03,12
Chaetocercus astreans,Trochilidae,Caprimulgiformes,2.0,6505.06,1899,6.885,Santa Marta woodstar,45.78,17
Chaetocercus berlepschi,Trochilidae,Caprimulgiformes,2.0,4383.38,1889,6.9287,Esmeraldas woodstar,89.77,69
Chaetocercus bombus,Trochilidae,Caprimulgiformes,6.5,174135.57,1871,7.1633,Little woodstar,95.56,38
Chaetocercus heliodor,Trochilidae,Caprimulgiformes,2.0,113213.81,1840,7.5657,Gorgeted woodstar,69.08,12
Chaetocercus jourdanii,Trochilidae,Caprimulgiformes,3.26,46450.27,1839,6.9149,Rufous-shafted woodstar,57.19,18
Chaetocercus mulsant,Trochilidae,Caprimulgiformes,3.9,263636.46,1843,6.7744,White-bellied woodstar,75.7,23
Chaetops aurantius,Chaetopidae,Passeriformes,54.1,103523.76,1867,6.4856,Drakensberg rockjumper,95.58,9
Chaetops frenatus,Chaetopidae,Passeriformes,54.99,66553.02,1826,6.0021,Cape rockjumper,129.97,35
Chaetorhynchus papuensis,Lamproliidae,Passeriformes,37.22,305618.38,1874,6.32,Drongo fantail,60.07,10
Chaetura brachyura,Apodidae,Caprimulgiformes,18.3,7468188.25,1846,5.0305,Short-tailed swift,109.33,16
Chaetura chapmani,Apodidae,Caprimulgiformes,23.83,4701276.36,1907,4.5525,Chapman's swift,104.37,17
Chaetura cinereiventris,Apodidae,Caprimulgiformes,13.9,6102705.51,1862,5.093,Grey-rumped swift,43.38,27
Chaetura egregia,Apodidae,Caprimulgiformes,23.4,1756675.46,1916,5.0831,Pale-rumped swift,32.44,16
Chaetura fumosa,Apodidae,Caprimulgiformes,15.69,13071.58,1870,4.9762,Costa Rican swift,46.91,9
Chaetura martinica,Apodidae,Caprimulgiformes,12.5,4342.26,1783,4.9282,Lesser Antillean swift,47.58,7
Chaetura meridionalis,Apodidae,Caprimulgiformes,22.2,4926891.32,1907,5.3908,Sick's swift,70.2,31
Chaetura pelagica,Apodidae,Caprimulgiformes,23.6,5841319.17,1758,5.7089,Chimney swift,5384.47,134
Chaetura spinicaudus,Apodidae,Caprimulgiformes,15.69,3138608.09,1839,5.4714,Band-rumped swift,54.61,17
Chaetura vauxi,Apodidae,Caprimulgiformes,17.1,2280008.55,1839,5.4544,Vaux's swift,904.11,57
Chalcites basalis,Cuculidae,Cuculiformes,23.12,7686831.12,1821,4.9974,Horsfield's bronze cuckoo,309.61,15
Chalcites lucidus,Cuculidae,Cuculiformes,24.44,2736789.25,1788,5.4824,Shining bronze cuckoo,443.92,20
Chalcites megarhynchus,Cuculidae,Cuculiformes,31.5,152360.64,1858,5.0089,Long-billed cuckoo,46.48,5
Chalcites meyerii,Cuculidae,Cuculiformes,19.42,513273.66,1874,5.7711,White-eared bronze cuckoo,29.86,6
Chalcites osculans,Cuculidae,Cuculiformes,30.9,7041722.87,1847,5.2399,Black-eared cuckoo,94.99,7
Chalcites ruficollis,Cuculidae,Cuculiformes,21.0,156338.37,1875,6.5283,Rufous-throated bronze cuckoo,28.11,6
Chalcomitra adelberti,Nectariniidae,Passeriformes,9.8,915043.57,1834,5.0548,Buff-throated sunbird,46.62,11
Chalcomitra amethystina,Nectariniidae,Passeriformes,13.66,3590561.92,1812,5.7861,Amethyst sunbird,259.08,13
Chalcomitra balfouri,Nectariniidae,Passeriformes,10.95,3622.4,1881,5.351,Socotra sunbird,247.68,11
Chalcomitra fuliginosa,Nectariniidae,Passeriformes,11.9,263939.43,1811,5.7471,Carmelite sunbird,40.91,9
Chalcomitra hunteri,Nectariniidae,Passeriformes,11.8,1422643.43,1889,5.6939,Hunter's sunbird,52.98,10
Chalcomitra rubescens,Nectariniidae,Passeriformes,10.3,2910535.16,1819,6.1443,Green-throated sunbird,48.39,6
Chalcomitra senegalensis,Nectariniidae,Passeriformes,12.24,9424883.18,1766,6.202,Scarlet-chested sunbird,329.8,24
Chalcoparia singalensis,Nectariniidae,Passeriformes,8.2,2829894.28,1789,6.291,Ruby-cheeked sunbird,164.32,13
Chalcophaps indica,Columbidae,Columbiformes,136.54,4704607.55,1758,6.2217,Common emerald dove,2101.24,59
Chalcophaps longirostris,Columbidae,Columbiformes,136.54,639179.72,1848,5.8618,Pacific emerald dove,320.07,8
Chalcophaps stephani,Columbidae,Columbiformes,128.98,866814.34,1851,5.5787,Stephan's emerald dove,83.5,10
Chalcopsitta atra,Psittacidae,Psittaciformes,195.0,77414.23,1786,5.725,Black lory,485.22,25
Chalcopsitta cardinalis,Psittacidae,Psittaciformes,183.0,35346.62,1849,6.9814,Cardinal lory,182.85,19
Chalcopsitta duivenbodei,Psittacidae,Psittaciformes,218.0,63546.37,1884,5.3761,Brown lory,180.54,15
Chalcopsitta scintillata,Psittacidae,Psittaciformes,190.0,311563.34,1835,6.0708,Yellow-streaked lory,73.25,8
Chalcostigma herrani,Trochilidae,Caprimulgiformes,5.8,75956.84,1846,6.7181,Rainbow-bearded thornbill,96.74,22
Chalcostigma heteropogon,Trochilidae,Caprimulgiformes,6.1,29042.28,1840,6.8025,Bronze-tailed thornbill,46.45,22
Chalcostigma olivaceum,Trochilidae,Caprimulgiformes,8.2,65218.73,1864,5.6607,Olivaceous thornbill,40.38,9
Chalcostigma ruficeps,Trochilidae,Caprimulgiformes,3.4,123503.39,1846,6.5986,Rufous-capped thornbill,47.77,8
Chalcostigma stanleyi,Trochilidae,Caprimulgiformes,5.8,120440.27,1851,6.2268,Blue-mantled thornbill,59.81,23
Chamaea fasciata,Sylviidae,Passeriformes,14.73,246063.25,1845,5.7734,,,70
Chamaepetes goudotii,Cracidae,Galliformes,727.67,316282.38,1828,5.7821,Sickle-winged guan,116.43,31
Chamaepetes unicolor,Cracidae,Galliformes,1135.0,15572.6,1867,5.759,Black guan,238.12,30
Chamaetylas choloensis,Muscicapidae,Passeriformes,41.3,4661.03,1927,5.9121,Thyolo alethe,64.37,19
Chamaetylas fuelleborni,Muscicapidae,Passeriformes,52.0,189262.11,1900,5.965,White-chested alethe,32.14,9
Chamaetylas poliocephala,Muscicapidae,Passeriformes,32.37,1599692.41,1850,5.4386,Brown-chested alethe,40.75,11
Chamaetylas poliophrys,Muscicapidae,Passeriformes,35.2,76094.57,1902,5.4613,Red-throated alethe,34.6,8
Chamaeza campanisona,Formicariidae,Passeriformes,90.58,1801868.24,1823,5.6402,Short-tailed antthrush,39.33,37
Chamaeza meruloides,Formicariidae,Passeriformes,69.0,103365.42,1825,5.3367,Cryptic antthrush,29.27,22
Chamaeza mollissima,Formicariidae,Passeriformes,72.0,103368.73,1855,4.8592,Barred antthrush,25.42,14
Chamaeza nobilis,Formicariidae,Passeriformes,123.0,2594439.36,1855,5.0707,Striated antthrush,34.32,20
Chamaeza ruficauda,Formicariidae,Passeriformes,71.2,371454.37,1859,5.1193,Rufous-tailed antthrush,40.82,22
Chamaeza turdina,Formicariidae,Passeriformes,68.3,14682.69,1859,5.2262,Schwartz's antthrush,23.68,11
Charadrius alexandrinus,Charadriidae,Charadriiformes,42.3,13539453.43,1758,6.0638,Kentish plover,1115.32,304
Charadrius alticola,Charadriidae,Charadriiformes,44.9,605273.3,1902,5.5312,Puna plover,72.36,18
Charadrius asiaticus,Charadriidae,Charadriiformes,77.09,2844122.74,1773,5.8613,Caspian plover,285.07,37
Charadrius bicinctus,Charadriidae,Charadriiformes,59.4,270351.2,1827,5.2546,Double-banded plover,275.54,23
Charadrius collaris,Charadriidae,Charadriiformes,28.3,15045745.17,1818,6.6832,Collared plover,178.66,52
Charadrius dubius,Charadriidae,Charadriiformes,38.7,33641119.87,1786,6.267,Little ringed plover,1211.92,164
Charadrius falklandicus,Charadriidae,Charadriiformes,65.0,802047.01,1790,6.0285,Two-banded plover,93.22,38
Charadrius forbesi,Charadriidae,Charadriiformes,31.2,6268147.12,1883,5.8493,Forbes's plover,82.92,5
Charadrius hiaticula,Charadriidae,Charadriiformes,64.04,4520829.19,1758,5.462,Common ringed plover,1368.28,141
Charadrius javanicus,Charadriidae,Charadriiformes,42.3,109967.51,1938,5.9302,Javan plover,88.72,18
Charadrius leschenaultii,Charadriidae,Charadriiformes,74.8,5473335.58,1826,6.247,Greater sand plover,437.33,84
Charadrius marginatus,Charadriidae,Charadriiformes,48.3,4442943.8,1818,5.407,White-fronted plover,214.44,20
Charadrius melodus,Charadriidae,Charadriiformes,54.39,501145.23,1824,6.6023,Piping plover,5001.64,319
Charadrius modestus,Charadriidae,Charadriiformes,78.0,256974.73,1823,6.834,Rufous-chested dotterel,37.33,26
Charadrius mongolus,Charadriidae,Charadriiformes,64.0,4714238.7,1776,5.7746,Siberian sand plover,476.43,83
Charadrius montanus,Charadriidae,Charadriiformes,95.74,759250.62,1837,5.7244,Mountain plover,660.62,106
Charadrius nivosus,Charadriidae,Charadriiformes,42.3,1602228.88,1858,6.7942,Snowy plover,2031.91,178
Charadrius pallidus,Charadriidae,Charadriiformes,34.8,480800.22,1853,6.1793,Chestnut-banded plover,113.72,29
Charadrius pecuarius,Charadriidae,Charadriiformes,34.0,16351827.57,1823,5.5902,Kittlitz's plover,255.59,22
Charadrius peronii,Charadriidae,Charadriiformes,42.0,1266391.62,1865,5.8641,Malaysian plover,154.81,23
Charadrius placidus,Charadriidae,Charadriiformes,62.7,2370427.23,1863,5.6044,Long-billed plover,173.82,34
Charadrius ruficapillus,Charadriidae,Charadriiformes,37.4,4811331.66,1821,6.2786,Red-capped plover,229.32,36
Charadrius sanctaehelenae,Charadriidae,Charadriiformes,48.7,43.62,1873,5.8394,Saint Helena plover,438.51,14
Charadrius semipalmatus,Charadriidae,Charadriiformes,46.74,4938225.48,1825,6.0771,Semipalmated plover,961.46,129
Charadrius thoracicus,Charadriidae,Charadriiformes,11.5,14469.49,1896,6.0674,Madagascar plover,54.74,13
Charadrius veredus,Charadriidae,Charadriiformes,95.0,1531695.94,1848,6.2383,Oriental plover,194.57,44
Charadrius vociferus,Charadriidae,Charadriiformes,96.44,14759088.1,1758,5.9791,,,169
Charadrius wilsonia,Charadriidae,Charadriiformes,55.1,867940.44,1814,5.8403,Wilson's plover,654.83,107
Charitospiza eucosma,Thraupidae,Passeriformes,10.5,2869464.19,1905,6.2735,Coal-crested finch,53.67,17
Charmosyna josefinae,Psittacidae,Psittaciformes,74.0,159632.98,1873,6.4551,Josephine's lorikeet,90.85,4
Charmosyna margarethae,Psittacidae,Psittaciformes,49.39,27078.0,1879,6.8131,Duchess lorikeet,101.97,13
Charmosyna meeki,Psittacidae,Psittaciformes,23.8,6507.88,1901,6.8226,Meek's lorikeet,87.71,13
Charmosyna palmarum,Psittacidae,Psittaciformes,36.98,11109.69,1788,5.84,Palm lorikeet,104.22,12
