sta,plate,lat,lon,dist_km,residual_mm_yr,kept
1LSU,NA,30.4074,-91.1803,1596.8,0.783,1
1NSU,NA,31.7508,-93.0976,1749.3,1.401,1
1ULM,NA,32.5290,-92.0759,1835.5,0.696,1
34A1,NA,41.8387,-119.6540,433.7,4.917,0
34A4,NA,41.8666,-119.4948,447.2,3.876,0
34NO,NA,41.9291,-119.7086,433.4,4.425,0
34SO,NA,41.8059,-119.7068,428.3,4.737,0
3RIV,NA,46.3148,-72.5761,2741.0,0.856,1
59WE,NA,33.4311,-112.1831,285.4,1.505,0
7OAK,NA,37.5950,-114.7591,430.6,2.400,0
AA01,NA,43.6728,-71.4863,2596.7,0.098,1
AAM1,NA,39.9969,-76.0899,2207.9,0.125,1
AASI,NA,68.7193,-52.7933,1398.8,2.387,0
AB02,NA,52.9706,-168.8547,122.7,5.085,0
AB04,NA,63.6569,-170.5674,973.1,4.162,0
AB06,NA,54.8853,-163.4235,181.2,3.172,0
AB07,NA,55.3493,-160.4768,180.3,7.356,0
AB09,NA,65.6150,-168.0621,1123.8,4.421,0
AB11,NA,64.5645,-165.3735,1176.4,5.437,0
AB14,NA,59.1082,-159.0915,522.6,3.041,0
AB15,NA,61.0398,-159.8784,708.9,5.945,0
AB17,NA,63.8864,-160.6947,938.9,6.007,0
AB18,NA,66.8584,-162.6135,1186.3,5.568,0
AB22,NA,59.8993,-154.6983,448.4,9.599,0
AB25,NA,62.9293,-156.0234,684.0,7.359,0
AB27,NA,67.0559,-156.9049,1006.3,4.727,0
AB28,NA,62.0938,-152.8149,495.6,9.142,0
AB33,NA,67.2510,-150.1725,843.6,5.232,0
AB37,NA,62.9673,-145.4519,321.2,15.854,0
AB39,NA,66.5593,-145.2126,691.6,3.906,0
AB41,NA,64.7773,-141.1581,483.7,2.487,0
AB45,NA,68.7605,-148.8712,971.3,4.478,0
AB46,NA,68.1207,-145.5679,864.6,3.865,0
ABAB,NA,54.3344,-114.7742,1035.7,2.338,0
ABAD,NA,51.2867,-113.9982,969.3,1.541,1
ABAZ,NA,56.4671,-111.1935,1341.5,1.646,1
ABBR,NA,53.2497,-114.9795,980.1,1.147,1
ABBY,NA,49.0721,-122.1978,337.6,7.455,0
ABCA,NA,50.9638,-114.0042,958.8,1.685,1
ABCH,NA,50.0155,-113.5733,963.8,1.417,1
ABCL,NA,53.2648,-113.8048,1055.3,1.239,1
ABCM,NA,51.0886,-115.3629,872.0,1.373,1
ABCN,NA,51.1910,-114.4714,934.7,1.190,1
ABCR,NA,53.0232,-112.8224,1110.3,1.385,1
ABEN,NA,53.5670,-113.6062,1077.5,1.694,1
ABGR,NA,55.2172,-118.7976,860.8,1.297,1
ABHV,NA,50.5823,-113.8738,957.5,1.336,1
ABL1,NA,32.4537,-99.7304,1243.1,0.703,1
ABL2,NA,54.7626,-111.9459,1222.7,1.555,1
ABLR,NA,49.7062,-112.8353,1008.7,1.737,1
ABMD,NA,50.0219,-110.6974,1165.7,1.272,1
ABMN,NA,51.6631,-112.7680,1063.0,1.739,1
ABMO,NA,53.8014,-113.6484,1082.8,2.031,0
ABNA,NA,53.5695,-113.5016,1084.2,1.644,1
ABNC,NA,51.0641,-114.0870,956.2,1.424,1
ABOL,NA,51.7917,-114.1058,980.5,1.384,1
ABOT,NA,49.0294,-122.2666,331.3,4.419,0
ABOW,NA,53.7031,-114.1953,1045.3,1.336,1
ABPE,NA,53.6680,-115.9910,933.4,1.467,1
ABQ5,NA,34.9574,-106.4945,814.5,0.356,1
ABQ6,NA,34.9571,-106.4945,814.5,0.744,1
ABR1,NA,50.7458,-103.4187,1687.3,1.822,1
ABRE,NA,52.2712,-113.8171,1017.0,2.239,0
ABRH,NA,52.3719,-114.9099,952.4,1.463,1
ABRN,NA,42.7607,-120.1003,418.1,3.730,0
ABRO,NA,52.3707,-114.9074,952.5,0.647,1
ABSE,NA,51.0431,-113.3954,1002.2,1.276,1
ABSL,NA,52.3275,-112.7134,1089.7,1.442,1
ABST,NA,52.3254,-112.7266,1088.8,0.782,1
ABVI,NA,18.7297,-64.3325,116.7,18.398,0
ABWG,NA,53.1873,-114.3204,1020.0,1.668,1
AC03,NA,59.7706,-151.8645,331.6,7.796,0
AC06,NA,59.7636,-150.8906,283.1,4.353,0
AC07,NA,65.9613,-161.2866,1082.6,5.203,0
AC08,NA,58.9288,-153.6447,325.1,4.458,0
AC10,NA,54.5226,-164.8867,181.8,5.995,0
AC11,NA,61.8071,-148.3317,302.2,15.976,0
AC12,NA,54.8310,-159.5896,109.6,10.317,0
AC13,NA,55.8219,-155.6224,112.6,36.151,0
AC14,NA,60.8487,-147.9996,214.9,38.916,0
AC15,NA,60.4813,-149.7240,258.9,17.902,0
AC17,NA,60.6639,-152.4038,400.6,10.670,0
AC18,NA,58.9260,-152.2495,285.4,5.404,0
AC19,NA,62.5192,-153.6073,556.6,6.886,0
AC20,NA,60.9292,-149.3525,271.3,17.113,0
AC23,NA,60.4751,-150.8780,315.4,3.851,0
AC24,NA,58.6816,-156.6528,394.2,2.907,0
AC25,NA,55.0890,-162.3141,182.0,4.261,0
AC26,NA,58.2146,-154.1503,266.3,0.904,0
AC27,NA,59.2525,-154.1629,370.9,8.950,0
AC28,NA,55.0785,-160.0492,143.4,7.880,0
AC31,NA,64.6380,-162.2391,1043.1,5.748,0
AC32,NA,61.4731,-150.7369,367.0,3.523,0
AC33,NA,62.6712,-150.6851,457.3,8.273,0
AC35,NA,59.3758,-150.7932,258.3,10.007,0
AC37,NA,60.4397,-153.8654,463.7,10.433,0
AC38,NA,57.7537,-153.3419,200.3,7.891,0
AC39,NA,58.6097,-152.3941,259.2,4.534,0
AC40,NA,56.9304,-158.6186,306.4,5.868,0
AC42,NA,54.4718,-162.7837,125.2,4.175,0
AC43,NA,59.5213,-149.6287,207.2,35.646,0
AC44,NA,61.2422,-149.5671,303.4,14.496,0
AC46,NA,61.9863,-151.5240,435.5,7.903,0
AC50,NA,65.5538,-164.5666,1186.6,5.119,0
AC51,NA,61.4981,-151.8353,415.4,8.123,0
AC52,NA,57.5672,-157.5742,333.3,5.454,0
AC53,NA,61.7690,-150.0690,364.1,5.205,0
AC59,NA,59.5672,-153.5852,385.1,11.495,0
AC60,NA,52.7146,174.0763,137.4,25.885,0
AC61,NA,64.0293,-142.0758,396.7,3.960,0
AC62,NA,63.0836,-146.3127,356.3,14.135,0
AC63,NA,63.5024,-145.8472,382.5,3.043,0
AC64,NA,62.7140,-144.3040,269.5,17.967,0
AC65,NA,62.8315,-143.7042,271.9,16.956,0
AC70,NA,63.3047,-148.1883,428.4,8.395,0
AC71,NA,64.0493,-145.7136,433.7,5.283,0
AC72,NA,63.6951,-145.8877,402.2,5.068,0
AC74,NA,63.4644,-148.8073,459.7,4.189,0
AC75,NA,62.9993,-149.6088,442.9,6.549,0
AC76,NA,63.0400,-143.2588,289.8,6.207,0
AC77,NA,62.6880,-145.4263,294.3,14.779,0
AC78,NA,63.1135,-142.0279,295.2,4.099,0
AC80,NA,62.3941,-151.7650,475.5,6.726,0
ACHT,NA,45.5128,-61.0266,2033.0,0.766,1
ACSO,NA,40.2324,-82.9815,2346.9,0.420,1
ACTO,NA,43.6087,-80.0624,2662.3,0.120,1
ACU5,NA,41.7436,-70.8870,2384.9,0.425,1
ACU6,NA,41.7433,-70.8866,2384.8,0.237,1
ADA1,NA,47.3067,-96.5155,2215.1,0.685,1
ADKS,NA,29.7910,-95.5864,1437.4,1.306,1
ADLL,NA,42.1964,-120.0067,424.0,4.370,0
ADOB,NA,33.6893,-111.9180,322.6,1.581,0
ADRI,NA,41.9190,-84.0243,2549.9,0.126,1
ADVT,NA,45.3409,-64.7877,2288.0,0.491,1
AGNS,NA,42.5528,-124.0591,93.6,10.442,0
AGPR,NA,18.4675,-67.1112,143.3,17.474,0
AGUA,NA,34.2479,-112.0585,345.9,1.152,0
AHID,NA,42.7731,-111.0637,1085.7,0.792,1
AIR2,NA,51.2935,-113.9983,969.5,1.368,1
AKGG,NA,54.1982,-165.9937,176.8,4.318,0
AKLV,NA,54.1627,-165.9558,172.2,2.649,0
AKMO,NA,54.0903,-166.0123,166.0,5.587,0
AKRB,NA,54.1292,-166.0711,171.2,5.410,0
AKRD,NA,68.0661,-162.8830,1271.2,4.029,0
AKUR,NA,65.6854,-18.1225,57.8,4.892,0
AL10,NA,34.4350,-86.2682,1787.9,0.343,1
AL13,NA,34.6035,-85.9308,1798.0,0.258,1
AL15,NA,33.9903,-86.0796,1735.6,0.532,1
AL20,NA,34.7103,-87.6627,1855.9,0.647,1
AL23,NA,34.1486,-87.9536,1806.9,0.415,1
AL2H,NA,48.3898,-123.4875,225.6,7.456,0
AL30,NA,33.5324,-86.8534,1707.8,0.448,1
AL35,NA,33.1651,-86.7568,1666.2,1.005,1
AL40,NA,32.9627,-86.0063,1623.8,0.268,1
AL46,NA,32.3257,-85.1606,1535.0,0.455,1
AL4A,NA,32.9621,-86.0068,1623.8,0.115,1
AL50,NA,33.1680,-87.5015,1690.1,0.610,1
AL55,NA,32.7115,-87.6156,1646.9,0.266,1
AL60,NA,32.4114,-86.2705,1572.4,0.585,1
AL62,NA,32.1482,-85.6868,1528.5,0.448,1
AL70,NA,31.7827,-85.9652,1497.1,0.537,1
AL76,NA,31.8750,-85.2257,1487.8,0.301,1
AL81,NA,32.5757,-88.1818,1654.0,0.672,1
AL82,NA,32.2574,-87.6258,1600.6,0.488,1
AL83,NA,31.9946,-87.3333,1563.0,0.056,1
AL84,NA,31.7004,-87.7892,1550.0,0.558,1
AL90,NA,30.6908,-88.0317,1458.9,0.618,1
AL92,NA,30.9164,-87.7757,1470.5,0.591,1
ALA1,NA,32.5989,-85.5039,1572.3,0.493,1
ALAM,NA,37.3580,-115.1585,392.8,2.655,0
ALAN,NA,31.3074,-86.4840,1462.7,0.308,1
ALAS,NA,33.6670,-85.8307,1694.9,0.651,1
ALB4,NA,48.3897,-123.4877,225.6,7.569,0
ALBE,NA,34.4754,-87.8646,1837.8,0.711,1
ALBH,NA,48.3898,-123.4875,225.6,7.415,0
ALBU,NA,32.0816,-88.2332,1606.1,0.399,1
ALC1,NA,33.2623,-88.0954,1720.6,0.338,1
ALCE,NA,32.9460,-87.1506,1655.4,0.441,1
ALCH,NA,31.4510,-88.1959,1541.5,0.675,1
ALCL,NA,32.8399,-86.6298,1628.1,0.353,1
ALCN,NA,34.1630,-85.6586,1744.4,0.373,1
ALCU,NA,34.1799,-86.8449,1775.9,0.625,1
ALD1,NA,50.7793,-113.9411,957.9,1.276,1
ALDI,NA,30.2492,-88.0780,1417.5,0.527,1
ALDO,NA,31.2395,-85.4402,1424.9,0.482,1
ALDS,NA,34.1482,-87.4049,1789.1,0.440,1
ALEB,NA,31.0915,-87.0556,1460.2,0.687,1
ALEF,NA,29.6918,-95.6351,1427.1,0.867,1
ALFA,NA,33.6852,-87.8293,1754.7,0.303,1
ALFL,NA,34.8975,-87.7972,1879.7,0.515,1
ALFO,NA,30.4170,-87.6751,1416.4,0.389,1
ALG2,NA,45.9552,-78.0709,2887.6,1.088,1
ALG3,NA,45.9548,-78.0727,2887.6,1.001,1
ALGO,NA,45.9558,-78.0714,2887.7,0.960,1
ALGR,NA,31.8290,-86.6174,1521.6,0.552,1
ALHC,NA,33.5237,-85.6349,1674.9,0.162,1
ALHL,NA,33.8876,-86.3980,1732.7,0.433,1
ALHV,NA,63.4550,-18.3077,64.5,17.894,0
ALJA,NA,33.8319,-87.2776,1752.1,0.463,1
ALLA,NA,32.9174,-85.4005,1604.2,0.707,1
ALLG,NA,39.6539,-78.7307,2210.6,0.460,1
ALM2,NA,48.5570,-71.6382,2555.6,1.055,1
ALMJ,NA,31.0290,-88.2297,1501.0,0.544,1
ALNB,NA,31.3775,-85.9160,1452.7,0.200,1
ALNC,NA,34.6813,-87.3095,1842.2,0.419,1
ALRE,NA,31.4113,-87.2342,1499.5,0.806,1
ALRT,NA,82.4943,-62.3405,752.4,3.505,0
ALSE,NA,32.4474,-87.0118,1598.9,0.607,1
ALSP,NA,34.4181,-87.1720,1810.5,0.155,1
ALTA,NA,33.4235,-86.1212,1676.0,0.618,1
ALTU,NA,31.8002,-85.9543,1498.6,0.596,1
ALUT,NA,40.5839,-111.6202,852.7,0.176,1
ALV1,NA,52.5186,-106.0198,1533.2,1.733,1
ALV2,NA,42.8194,-81.8692,2606.1,0.244,1
ALWB,NA,30.4157,-87.8265,1422.8,0.593,1
AMBI,NA,25.9809,-97.4827,1060.7,0.543,1
AMC2,NA,38.8031,-104.5246,1171.1,0.274,1
AMC4,NA,38.8031,-104.5246,1171.1,0.307,1
AME5,NA,29.4496,-91.3381,1507.8,1.327,1
AMHT,NA,45.8319,-64.1881,2218.9,0.289,1
AMOS,NA,48.5629,-78.1115,2974.3,1.059,1
AMS3,NA,48.5647,-78.1123,2974.3,1.184,1
ANAD,NA,64.7354,177.5100,475.0,5.606,0
ANAT,NA,46.1329,-117.1354,653.5,1.202,1
ANC2,NA,61.1752,-149.9834,314.9,9.512,0
ANDS,NA,41.5962,-87.1317,2577.9,0.411,1
ANG5,NA,29.3015,-95.4851,1414.6,0.258,1
ANG6,NA,29.3016,-95.4849,1414.6,0.688,1
ANG7,NA,46.9186,-71.0931,2609.3,0.405,1
ANGO,NA,45.1138,-89.1630,2615.9,1.147,1
ANIG,NA,21.0538,-104.5207,194.6,2.933,0
ANN1,NA,49.1282,-66.4946,2192.7,0.939,1
ANP5,NA,39.0103,-76.6092,2106.3,0.230,1
ANP6,NA,39.0105,-76.6091,2106.4,0.382,1
ANT4,NA,45.6141,-61.9705,2089.1,1.462,1
ANTB,NA,39.8479,-117.3709,490.4,3.253,0
ANTE,NA,40.1459,-118.1673,465.7,5.091,0
ANTG,NA,45.6172,-62.0106,2091.6,0.488,1
AOML,NA,25.7347,-80.1622,716.3,1.386,1
AOPR,NA,18.3465,-66.7541,159.4,17.827,0
APEX,NA,36.3191,-114.9318,297.9,2.569,0
APTN,NA,44.2831,-88.4597,2636.9,0.677,1
ARB2,NA,50.9024,-97.2012,2124.3,1.269,1
ARBA,NA,35.7720,-91.6497,2069.5,0.819,1
ARBK,NA,34.8869,-91.1962,2010.1,0.627,1
ARBT,NA,35.7099,-91.6285,2067.9,0.618,1
ARBY,NA,36.3560,-93.5804,1942.7,0.441,1
ARCC,NA,73.0041,-85.0261,1884.1,2.062,0
ARCH,NA,38.8804,-109.7570,810.0,0.377,1
ARCL,NA,35.4695,-93.4796,1909.0,0.563,1
ARCM,NA,33.5424,-92.8827,1853.0,0.610,1
ARCT,NA,36.3639,-94.3114,1884.3,0.179,1
ARCW,NA,35.1136,-92.5057,1966.6,0.557,1
ARDH,NA,45.1075,-93.1799,2326.5,0.229,1
ARDQ,NA,34.0801,-94.3237,1765.7,0.349,1
ARED,NA,33.2071,-92.6686,1853.5,0.507,1
ARFY,NA,36.1158,-94.1800,1882.7,0.276,1
ARGS,NA,34.0682,-93.1162,1862.4,0.738,1
ARHP,NA,33.6961,-93.6006,1803.0,0.730,1
ARHR,NA,36.1842,-93.0302,1979.6,0.876,1
ARIA,NA,44.2401,-91.5113,2407.5,1.576,1
ARJB,NA,35.8479,-90.7472,2084.3,0.654,1
ARJO,NA,35.8393,-90.7043,2081.7,0.728,1
ARLI,NA,48.1741,-122.1419,308.6,5.154,0
ARLN,NA,45.7082,-120.1833,415.4,2.420,0
ARLR,NA,34.6726,-92.3826,1954.1,0.501,1
ARM3,NA,36.3692,-92.3731,2041.8,1.124,1
ARMA,NA,35.9064,-92.6335,1999.5,0.470,1
ARML,NA,35.9173,-89.8029,2053.8,0.415,1
ARMO,NA,33.5946,-91.8132,1918.1,0.317,1
ARNG,NA,43.6670,-112.6226,1021.2,1.824,1
ARNP,NA,45.4353,-76.3565,2810.5,0.879,1
ARP7,NA,27.8384,-97.0590,1197.3,1.495,1
ARP8,NA,27.8384,-97.0592,1197.3,0.905,1
ARPB,NA,34.1936,-91.9142,1965.9,1.311,1
ARPG,NA,36.0591,-90.5188,2095.9,0.545,1
ARRV,NA,35.3063,-93.1309,1927.2,0.379,1
ARSG,NA,36.1728,-94.1166,1890.6,0.281,1
ARSM,NA,35.3635,-94.3692,1832.2,0.271,1
ARSS,NA,36.1910,-94.5624,1855.6,0.352,1
ARTE,NA,38.9999,-119.4089,302.4,8.770,0
ARVA,NA,39.8032,-105.0878,1187.3,0.394,1
ARVC,NA,61.0980,-94.0715,2383.1,3.650,0
ARWY,NA,35.2532,-90.8014,2028.1,0.703,1
ASBU,NA,43.8206,-121.3685,320.9,3.751,0
ASCS,NA,42.2553,-77.7970,2479.4,0.520,1
ASHL,NA,42.1807,-122.6702,209.8,6.933,0
ASHM,NA,36.3459,-116.1394,254.3,2.758,0
ASHV,NA,35.5995,-82.5462,1836.4,0.324,1
ASHW,NA,44.4792,-88.0760,2672.8,0.739,1
ASKY,NA,75.7261,-58.2574,1248.0,3.122,0
ASND,NA,46.5521,-90.9140,2554.8,0.815,1
ASSI,NA,49.6415,-106.0136,1496.1,1.232,1
AST1,NA,39.3903,-117.3084,460.4,3.735,0
AST2,NA,39.3904,-117.3086,460.4,3.644,0
ASUB,NA,36.2141,-81.6819,1885.9,0.470,1
ATHX,NA,54.6026,-113.6444,1114.6,1.338,1
ATLI,NA,59.5895,-133.7145,232.6,4.596,0
ATMA,NA,44.1314,-79.3218,2710.0,2.399,0
ATQK,NA,70.4720,-157.4079,1302.7,3.989,0
ATR1,NA,46.8477,-71.2615,2624.4,0.843,1
ATW1,NA,50.8419,-102.2158,1772.4,1.777,1
ATW2,NA,61.5978,-149.1323,317.9,13.759,0
AUBN,NA,41.3660,-85.0544,2510.2,0.285,1
AUBR,NA,35.9372,-112.9723,379.3,1.967,0
AULT,NA,29.9978,-95.7447,1437.6,1.146,1
AURO,NA,43.9919,-79.4551,2696.5,0.836,1
AUT0,NA,30.3955,-97.7352,1285.2,0.869,1
AV01,NA,59.3585,-153.4608,361.4,10.998,0
AV02,NA,59.3330,-153.4284,358.0,11.339,0
AV06,NA,54.1472,-165.7657,164.7,2.650,0
AV08,NA,54.1363,-166.0283,171.2,4.975,0
AV09,NA,53.8756,-166.5418,156.9,3.350,0
AV10,NA,54.0976,-165.9338,165.2,5.538,0
AV11,NA,59.3706,-153.3547,359.6,10.727,0
AV12,NA,54.2108,-165.8975,175.0,1.708,0
AV14,NA,54.1189,-165.8416,164.2,3.186,0
AV15,NA,54.1002,-165.7101,158.4,3.393,0
AV16,NA,59.3859,-153.5350,366.1,10.834,0
AV17,NA,59.4039,-153.4514,365.5,10.356,0
AV18,NA,59.3804,-153.4368,362.9,12.603,0
AV19,NA,59.3549,-153.4143,359.8,12.593,0
AV20,NA,59.3474,-153.4282,359.4,10.680,0
AV24,NA,54.5900,-164.7548,186.1,6.004,0
AV25,NA,54.5300,-164.7795,180.3,8.557,0
AV34,NA,54.7249,-163.7129,173.2,4.296,0
AV40,NA,54.6445,-163.7430,166.5,4.419,0
AVCA,NA,43.0609,-82.6877,2646.7,0.255,1
AVO6,NA,27.5952,-81.5250,945.6,0.328,1
AWES,NA,30.1003,-90.9830,1558.3,1.107,1
AZ36,NA,32.4772,-111.2053,301.9,1.612,0
AZ3P,NA,32.0855,-111.2923,279.3,1.327,0
AZAJ,NA,33.4146,-111.5567,329.2,1.866,0
AZAM,NA,31.7300,-111.0714,291.7,1.232,0
AZBC,NA,34.0569,-112.1541,331.4,1.370,0
AZBE,NA,31.9453,-110.3347,364.0,1.422,0
AZBH,NA,35.1075,-114.6050,209.1,2.272,0
AZBK,NA,33.3695,-112.6201,250.5,1.712,0
AZBR,NA,32.2590,-110.8014,329.1,1.335,0
AZCA,NA,32.5014,-110.9268,327.0,1.303,0
AZCG,NA,32.8799,-111.7280,281.7,1.190,0
AZCK,NA,33.8324,-111.9438,331.4,1.772,0
AZCL,NA,32.9837,-111.5154,304.6,0.952,0
AZCN,NA,36.8398,-107.9110,805.9,1.378,1
AZCO,NA,31.3911,-109.9291,389.1,0.933,0
AZCS,NA,33.6600,-111.8936,322.3,0.961,0
AZDG,NA,31.3453,-109.5534,422.0,1.175,0
AZDS,NA,35.5331,-114.3592,258.9,2.481,0
AZDT,NA,31.9604,-110.7712,323.8,1.391,0
AZFL,NA,35.1773,-111.6570,421.6,1.378,0
AZGA,NA,32.9473,-112.7148,213.3,1.084,0
AZGB,NA,33.3954,-110.7715,387.5,1.480,0
AZGE,NA,33.4535,-112.3544,274.9,2.423,0
AZGI,NA,33.3129,-111.7267,309.8,1.535,0
AZGL,NA,33.4431,-110.8331,385.9,1.449,0
AZGV,NA,35.2544,-114.2543,243.5,2.738,0
AZKG,NA,35.1903,-114.0525,252.3,2.001,0
AZKR,NA,33.0590,-110.9103,356.3,0.827,0
AZM1,NA,33.0284,-112.0555,266.3,1.845,0
AZMA,NA,32.5683,-111.3437,294.4,1.199,0
AZPA,NA,33.6927,-112.2779,298.3,1.613,0
AZPE,NA,33.5749,-112.2556,290.8,1.859,0
AZPG,NA,36.9087,-111.4627,551.1,1.386,1
AZPR,NA,34.5477,-112.4584,324.2,1.918,0
AZPS,NA,34.6086,-112.4607,327.0,1.780,0
AZPX,NA,33.4991,-112.0473,299.9,2.016,0
AZRV,NA,34.1319,-109.2810,547.6,1.439,1
AZS1,NA,33.6299,-112.3690,287.4,2.902,0
AZSA,NA,32.8021,-109.7110,445.2,1.371,0
AZSF,NA,32.8020,-109.7119,445.1,1.076,0
AZSG,NA,35.3292,-112.8857,339.4,1.803,0
AZSM,NA,32.5960,-110.6245,357.2,1.270,0
AZST,NA,33.1678,-111.6353,307.3,1.343,0
AZSV,NA,34.2650,-111.2405,411.7,1.373,0
AZTC,NA,36.1285,-111.2392,511.9,1.458,1
AZTH,NA,33.4916,-112.8737,242.8,2.010,0
AZTN,NA,32.1901,-110.9636,312.3,1.000,0
AZTP,NA,33.4457,-111.9376,304.0,1.247,0
AZUP,NA,33.4809,-111.6200,329.1,1.557,0
AZVA,NA,31.9541,-110.7703,323.8,1.267,0
AZWA,NA,33.8593,-112.6622,280.5,1.756,0
AZWB,NA,33.9700,-112.7329,277.4,1.709,0
AZWE,NA,33.8218,-113.5420,201.2,6.521,0
AZWL,NA,32.2563,-109.8310,417.3,1.941,0
AZYC,NA,34.8793,-114.1470,220.6,2.191,0
B401,NA,49.8650,-99.3482,1974.8,1.334,1
BA00,NA,43.5804,-65.6154,2454.6,0.207,1
BA01,NA,44.3360,-79.6699,2736.9,0.743,1
BACO,NA,39.3995,-76.6068,2149.0,0.164,1
BAI3,NA,48.3277,-70.9019,2520.0,1.052,1
BAIE,NA,49.1868,-68.2633,2304.4,0.895,1
BAKE,NA,64.3178,-96.0023,2240.0,1.423,1
BALD,NA,37.7834,-118.9014,239.2,10.913,0
BAMF,NA,48.8353,-125.1351,132.2,11.420,0
BAMO,NA,40.4128,-117.2046,545.5,3.078,0
BARA,NA,18.2087,-71.0982,205.5,16.842,0
BARH,NA,44.3950,-68.2217,2570.5,0.093,1
BARN,NA,44.0991,-71.1596,2645.1,0.572,1
BARO,NA,71.3250,-156.6677,1362.3,3.818,0
BARR,NA,44.3273,-79.6867,2736.2,1.113,1
BAS1,NA,45.4150,-63.7814,2218.3,0.288,1
BASA,NA,40.8420,-79.9164,2357.7,0.616,1
BASQ,NA,42.4116,-117.8630,594.5,2.555,0
BAST,NA,39.6439,-74.6468,2156.1,0.287,1
BAT4,NA,52.7523,-108.2656,1391.4,1.552,1
BATH,NA,47.6491,-65.6932,2213.8,1.014,1
BATT,NA,40.5159,-117.2089,553.8,2.831,0
BAUD,NA,48.7125,-94.5907,2330.1,1.322,1
BAYR,NA,43.4462,-83.8917,2711.8,0.233,1
BBAY,NA,48.8991,-122.7695,291.9,5.520,0
BBID,NA,44.1850,-111.5261,1099.8,2.551,0
BCAB,NA,49.0522,-122.3295,327.8,4.919,0
BCBU,NA,49.2514,-123.0002,291.7,5.414,0
BCC1,NA,38.8589,-77.3820,2102.5,0.255,1
BCC2,NA,39.1659,-78.1739,2150.3,0.330,1
BCCG,NA,49.3119,-117.6530,660.0,1.535,1
BCCH,NA,49.1466,-122.0026,353.8,3.068,0
BCCQ,NA,49.2786,-122.7911,306.7,5.542,0
BCCR,NA,50.0244,-125.2440,196.5,6.030,0
BCCY,NA,49.7001,-124.9837,194.5,7.370,0
BCDL,NA,58.4256,-130.0257,392.3,1.353,0
BCDT,NA,49.0322,-123.0693,276.8,5.813,0
BCES,NA,48.4293,-123.4287,231.2,7.200,0
BCFJ,NA,56.2462,-120.7494,830.6,1.286,1
BCFN,NA,58.8403,-122.5849,824.2,1.474,1
BCHO,NA,49.3787,-121.4407,400.9,3.422,0
BCIN,NA,50.5092,-116.0286,808.0,2.212,0
BCKL,NA,50.6731,-120.3788,529.7,1.663,1
BCKW,NA,49.8848,-119.4954,551.8,1.563,1
BCLC,NA,49.1038,-122.6574,307.5,4.341,0
BCLI,NA,49.1151,-123.1471,275.4,6.268,0
BCMR,NA,49.2212,-122.5385,320.6,4.314,0
BCNN,NA,49.1839,-123.9532,226.7,6.998,0
BCNS,NA,48.6485,-123.4510,235.8,7.313,0
BCOV,NA,50.5443,-126.8426,119.7,4.195,0
BCPG,NA,53.9081,-122.7962,568.5,0.440,1
BCPH,NA,50.6856,-127.3754,99.4,3.139,0
BCPI,NA,49.4993,-119.5922,532.2,1.923,0
BCPN,NA,53.9081,-122.7962,568.5,0.718,1
BCPT,NA,54.3127,-130.3256,201.4,1.784,0
BCRK,NA,62.4143,-140.8604,227.3,2.752,0
BCSA,NA,50.7003,-119.2795,600.9,0.978,1
BCSC,NA,49.4722,-123.7631,253.8,6.552,0
BCSF,NA,49.1921,-122.8601,298.0,5.326,0
BCSL,NA,49.5654,-119.6442,530.6,1.954,0
BCSM,NA,48.5595,-123.7995,208.4,8.403,0
BCSQ,NA,49.6992,-123.1540,304.4,4.862,0
BCSW,NA,49.7333,-114.8859,865.0,1.675,1
BCTE,NA,54.5148,-128.6266,308.9,1.205,0
BCTS,NA,49.0060,-123.0828,274.7,6.301,0
BCVC,NA,49.2758,-123.0893,287.3,5.554,0
BCVI,NA,48.4807,-123.3916,235.4,7.433,0
BCVR,NA,50.2413,-119.2312,583.7,2.275,0
BCWA,NA,52.1874,-122.0644,495.6,0.528,0
BCWS,NA,50.1313,-122.9546,342.0,4.016,0
BCYI,NA,44.3156,-113.4058,949.4,0.811,1
BDCK,NA,46.1135,-60.7754,1981.2,0.935,1
BDFD,NA,45.1259,-72.9837,2757.7,1.101,1
BDFV,NA,46.1376,-72.7215,2760.7,0.891,1
BDRY,NA,48.9867,-117.3499,672.4,1.361,1
BDSP,NA,37.5182,-114.0804,451.1,2.099,0
BEA2,NA,62.4078,-140.8625,226.6,5.082,0
BEAT,NA,37.0399,-116.6211,304.8,3.180,0
BEC2,NA,46.3945,-72.2640,2715.9,0.925,1
BEC4,NA,40.2460,-79.5511,2286.8,0.333,1
BECA,NA,46.3479,-72.4346,2729.8,0.974,1
BEDA,NA,43.4436,-88.8458,2579.0,0.146,1
BEES,NA,39.2672,-117.7095,425.3,3.889,0
BEL1,NA,42.5003,-88.9978,2538.0,0.102,1
BEL6,NA,44.1545,-77.4305,2681.7,0.401,1
BELI,NA,48.7553,-122.4790,307.7,5.099,0
BEND,NA,44.0572,-121.3152,323.3,3.519,0
BERT,NA,40.7567,-85.1407,2446.1,0.400,1
BFIR,NA,47.6174,-122.1255,299.0,5.577,0
BFLO,NA,40.7288,-119.8287,374.1,6.376,0
BFNY,NA,42.8776,-78.8904,2566.3,0.526,1
BFRK,NA,47.7346,-93.6504,2417.0,1.097,1
BFSE,NA,40.4176,-86.8948,2446.0,1.448,1
BGGR,NA,51.9473,-107.9679,1390.8,1.436,1
