sta,plate,lat,lon,dist_km,residual_mm_yr,kept
0HLO,EU,59.0228,17.5438,1626.1,0.455,1
0HMS,EU,57.2397,18.3823,1830.0,0.518,1
0HNA,EU,60.5349,17.8800,1470.9,0.693,1
0HOA,EU,57.9677,12.6935,1659.5,0.598,1
0HOB,EU,56.9217,18.1511,1860.0,0.667,1
0HOJ,EU,56.4441,15.6552,1870.9,0.670,1
0HOO,EU,55.9326,13.5427,1881.4,0.460,1
0HOR,EU,60.2904,16.4033,1472.2,0.250,1
0HOS,EU,63.6728,20.3887,1184.0,0.439,1
0HOT,EU,63.9739,14.1668,1047.4,1.077,1
0HRN,EU,63.6211,19.9098,1181.2,0.275,1
0HRO,EU,58.7490,13.9377,1596.0,0.766,1
0HSA,EU,62.1082,16.7117,1285.3,0.516,1
0HST,EU,58.3502,11.8402,1605.0,0.852,1
0HSU,EU,60.3942,17.0104,1471.6,0.766,1
0HUD,EU,61.7252,17.1397,1332.8,0.363,1
0HVI,EU,57.7029,11.7374,1672.4,0.535,1
0HYB,EU,61.7954,16.2089,1310.1,0.642,1
0IDR,EU,61.8578,12.7133,1246.8,1.057,1
0JAK,EU,66.3875,16.9659,844.7,0.989,1
0JAM,EU,56.1884,15.8278,1898.9,0.564,1
0JAR,EU,63.3528,13.4491,1100.1,1.177,1
0JAT,EU,61.9745,17.2570,1308.5,0.308,1
0JAV,EU,65.1560,21.4861,1052.4,0.314,1
0JFA,EU,59.4242,17.8344,1588.3,0.733,1
0JNA,EU,58.7432,16.7349,1642.0,0.842,1
0JOK,EU,66.6050,19.8324,874.7,0.640,1
0JON,EU,57.7455,14.0596,1704.9,0.626,1
0JOR,EU,65.0557,20.0433,1035.0,0.281,1
0JTP,EU,56.2297,12.6762,1845.5,0.615,1
0JUN,EU,63.6947,16.8880,1122.1,0.730,1
0JUO,EU,67.4305,22.5008,847.3,0.386,1
0KAB,EU,66.1488,19.9892,923.2,0.568,1
0KAL,EU,58.6636,13.1925,1592.7,0.425,1
0KAR,EU,59.4440,13.5056,1514.8,0.642,1
0KAS,EU,63.7013,12.9589,1055.6,2.848,0
0KAT,EU,57.4265,18.8377,1817.8,0.764,1
0KBO,EU,58.5306,14.5113,1629.0,0.683,1
0KEB,EU,67.8680,18.6227,726.3,0.720,1
0KER,EU,65.8519,23.8896,1030.4,0.996,1
0KIC,EU,67.8599,20.2350,758.3,3.006,0
0KIE,EU,67.8471,20.3802,762.4,0.722,1
0KIR,EU,67.8776,21.0602,773.5,0.634,1
0KIV,EU,67.7942,20.2292,764.6,1.283,1
0KLI,EU,57.3864,18.2119,1811.5,0.553,1
0KNA,EU,56.5216,13.3184,1824.6,0.576,1
0KOB,EU,60.4096,18.2302,1490.1,0.832,1
0KOL,EU,59.5942,15.8541,1537.0,0.558,1
0KOP,EU,59.7165,12.1611,1463.9,1.022,1
0KOR,EU,66.8479,23.0555,915.3,0.300,1
0KOT,EU,57.7622,12.0377,1671.1,0.713,1
0KOV,EU,56.8810,16.7245,1841.3,0.777,1
