sta,lat,lon,ve,vn,sve,svn,dur_yr,ngl_plate
00NA,-12.466639,130.843988,0.036184,0.058504,0.000234,0.000267,10.4969,AU
01NA,-12.478223,130.982047,0.036048,0.058922,0.000239,0.000266,11.4743,AU
02NA,-12.355923,130.881729,0.036270,0.059634,0.000207,0.000269,8.2738,AU
0ABI,68.354344,18.816444,0.015259,0.014863,0.000155,0.000156,17.1965,EU
0ABN,65.033682,21.332862,0.015350,0.016483,0.000340,0.000320,3.3813,EU
0ABY,58.658908,16.179643,0.018596,0.013831,0.000155,0.000136,11.3676,EU
0AKE,59.481449,18.301951,0.018741,0.013986,0.000113,0.000121,15.9918,EU
0ALE,62.780455,16.013703,0.016873,0.014621,0.000207,0.000205,10.6886,EU
0ALF,61.344518,16.064898,0.016862,0.014699,0.000115,0.000110,20.7502,EU
0ALI,57.929536,12.527833,0.017423,0.014502,0.000132,0.000119,15.5291,EU
0ALM,59.866297,18.070799,0.018339,0.013838,0.000094,0.000093,24.3395,EU
0ALN,65.132101,21.020641,0.016830,0.013618,0.000292,0.000463,3.3813,EU
0ALS,56.946616,15.907185,0.018680,0.014315,0.000165,0.000176,7.8412,EU
0ALV,61.230957,14.037074,0.016373,0.014896,0.000148,0.000140,18.4038,EU
0AMB,60.510247,13.151182,0.016734,0.014991,0.000197,0.000181,11.2882,EU
0AME,58.870272,15.000187,0.017991,0.014293,0.000107,0.000108,17.1006,EU
0AMM,65.958197,16.205719,0.015205,0.015020,0.000136,0.000150,18.5572,EU
0AMS,64.532527,19.3499,0.016960,0.014157,0.000160,0.000150,10.2971,EU
0ANA,62.642586,14.371668,0.015960,0.015368,0.000118,0.000118,18.9596,EU
0ANE,57.834273,14.814634,0.017851,0.014233,0.000162,0.000130,12.6133,
0ANG,62.525367,15.659631,0.016484,0.014701,0.000115,0.000126,18.2094,EU
0ANS,64.275929,21.042974,0.017923,0.014098,0.000160,0.000153,11.3347,EU
0ARA,59.659371,12.600001,0.016670,0.014896,0.000157,0.000146,9.5305,EU
0ARB,59.396965,15.834571,0.017791,0.014185,0.000130,0.000127,15.1841,EU
0ARD,58.360821,13.336821,0.017401,0.014745,0.000119,0.000121,14.3491,EU
0ARH,59.860916,19.125738,0.018873,0.013597,0.000309,0.000237,4.3532,EU
0ARJ,66.318019,18.124867,0.015678,0.015021,0.000105,0.000109,32.5777,EU
0ART,66.04936,17.841615,0.015536,0.014840,0.000120,0.000138,19.2307,EU
0ARV,65.593302,19.172467,0.016262,0.014581,0.000114,0.000119,19.2307,EU
0ASA,58.241714,12.423081,0.017001,0.014682,0.000141,0.000128,17.8973,
0ASD,57.171198,15.350216,0.018430,0.014360,0.000242,0.000132,13.3251,EU
0ASE,64.160768,17.356362,0.016165,0.014686,0.000114,0.000129,18.9843,EU
0AST,56.137284,12.95134,0.018257,0.014905,0.000184,0.000181,8.4654,EU
0ATR,57.120455,12.949348,0.017421,0.014697,0.000136,0.000115,23.9507,EU
0ATT,57.858194,14.122244,0.017895,0.014807,0.000262,0.000302,7.3265,EU
0ATV,58.198895,16.002509,0.018148,0.014081,0.000147,0.000131,11.3292,EU
0AVI,65.545275,21.804594,0.017244,0.013865,0.000327,0.000349,3.4004,EU
0AZ1,57.773202,12.779837,0.017536,0.014616,0.000184,0.000168,7.6906,EU
0BAG,57.720923,12.018752,0.016985,0.014585,0.000335,0.000363,3.1759,
0BAS,64.792697,20.036675,0.016994,0.014170,0.000162,0.000118,20.1670,EU
0BEB,64.720652,21.083996,0.017783,0.014296,0.000207,0.000209,7.0007,EU
0BEF,59.044663,12.22833,0.016872,0.014733,0.000150,0.000147,12.4299,EU
0BEN,65.571084,22.09088,0.016955,0.013112,0.000292,0.000360,3.5510,EU
0BER,62.414164,17.229675,0.017391,0.014475,0.000209,0.000238,7.7426,EU
0BIE,59.087755,16.211649,0.018070,0.014479,0.000110,0.000109,24.3395,EU
0BIP,63.027252,16.625208,0.016688,0.014585,0.000146,0.000149,11.5647,EU
0BIS,57.725054,11.89192,0.017319,0.014961,0.000124,0.000157,15.6852,EU
0BJA,56.295968,13.705403,0.018019,0.014815,0.000202,0.000161,9.6536,EU
0BJO,59.240293,14.259871,0.017340,0.014513,0.000097,0.000101,24.3395,EU
0BJU,64.480589,21.574924,0.017720,0.013925,0.000154,0.000129,20.1287,EU
0BKI,58.242983,15.66583,0.018051,0.014323,0.000136,0.000149,12.7365,EU
0BLA,57.58037,16.515221,0.018698,0.014008,0.000104,0.000098,21.8946,EU
0BLG,67.180383,20.594195,0.018693,0.014988,0.000827,0.000806,1.9083,EU
0BLI,59.626716,18.900368,0.018798,0.013760,0.000122,0.000127,13.4757,EU
0BMO,63.922096,16.33501,0.015846,0.014996,0.000326,0.000257,5.1225,EU
0BOD,57.246952,17.058656,0.018602,0.014356,0.000125,0.000128,16.3696,EU
0BOR,57.71496,12.891353,0.017553,0.014686,0.000118,0.000111,23.0143,
0BOS,64.26704,20.227321,0.017695,0.013855,0.000331,0.000330,5.6482,EU
0BOT,63.135296,17.716978,0.017018,0.016078,0.000478,0.000645,1.5852,EU
0BRA,64.34834,20.97849,0.017615,0.013156,0.000236,0.000288,7.1403,EU
0BRO,59.513454,17.634098,0.018802,0.013819,0.000158,0.000143,8.7064,EU
0BRU,57.729983,11.972137,0.017487,0.014576,0.000180,0.000172,8.6680,EU
0BST,56.428112,12.848313,0.017993,0.014660,0.000158,0.000151,14.8638,EU
0BTT,57.772982,13.824131,0.018396,0.014161,0.000408,0.000291,6.1656,EU
0BUE,64.620919,21.20406,0.018345,0.013548,0.000198,0.000205,6.9459,EU
0BUG,57.666572,12.40555,0.017713,0.014927,0.000186,0.000175,8.4791,EU
0BUR,64.517335,20.658675,0.017412,0.014238,0.000114,0.000126,20.1670,EU
0BYG,64.045634,20.862605,0.017822,0.014153,0.000211,0.000216,7.1759,EU
0BYS,64.95287,21.20959,0.018513,0.015100,0.000387,0.000362,3.3867,EU
0CHA,59.88305,12.303952,0.016122,0.014292,0.000141,0.000190,15.8823,EU
0DAJ,60.548129,14.370684,0.016823,0.014558,0.000190,0.000160,11.2608,EU
0DAL,55.668696,13.351081,0.018578,0.014977,0.000116,0.000119,15.5537,EU
0DAN,56.514366,15.153385,0.018527,0.014531,0.000095,0.000100,21.8946,EU
0DAV,63.870064,20.412637,0.017691,0.013936,0.000191,0.000212,7.0034,EU
0DEG,55.831627,14.088236,0.018661,0.014728,0.000132,0.000122,15.5866,EU
0DIL,58.526386,11.578307,0.016104,0.014682,0.000217,0.000179,13.4949,EU
0DOC,63.056112,18.331965,0.017177,0.014345,0.000143,0.000146,11.3703,EU
0DOR,64.263623,16.416472,0.015799,0.014814,0.000105,0.000146,18.9952,EU
0DUN,67.101501,20.616345,0.027796,0.016261,0.000583,0.000842,1.9055,EU
0EDA,59.631765,12.815605,0.016225,0.015244,0.000293,0.000259,11.2389,EU
0EDB,58.012041,16.47677,0.018558,0.014208,0.000138,0.000128,11.2772,EU
0EDS,63.406434,16.541471,0.016391,0.014943,0.000185,0.000155,11.3703,EU
0ED_,58.908661,11.941721,0.016556,0.015154,0.000142,0.000132,12.7858,EU
0EKB,56.004001,12.967422,0.018266,0.014944,0.000169,0.000146,8.5914,EU
0EKE,56.266268,16.478759,0.018723,0.014501,0.000092,0.000102,21.8946,EU
0EMA,64.848496,20.88628,0.017110,0.014177,0.000275,0.000331,3.3867,EU
0ENS,58.767519,16.860178,0.018472,0.013931,0.000145,0.000140,11.1759,EU
0ENV,60.808798,15.766501,0.017526,0.014487,0.000149,0.000160,11.3703,EU
0ERS,63.85765,20.335514,0.017455,0.013818,0.000224,0.000215,5.9138,EU
0ESK,59.368258,16.510565,0.018152,0.014063,0.000111,0.000109,16.0931,EU
0ESL,55.83866,13.31031,0.017868,0.015153,0.000193,0.000182,6.5599,EU
0ESN,58.587243,16.096172,0.018350,0.014162,0.000136,0.000137,11.3484,EU
0FAF,65.125199,20.786579,0.017002,0.014402,0.000186,0.000138,13.7495,EU
0FAL,58.169939,13.556091,0.017438,0.014615,0.000104,0.000099,23.9507,EU
0FAR,57.919007,19.139121,0.018987,0.013845,0.000112,0.000111,20.3258,EU
0FBG,56.903567,12.49039,0.016939,0.015001,0.000250,0.000193,8.3614,EU
0FIL,59.71467,14.162142,0.017508,0.014300,0.000183,0.000170,8.9966,EU
0FIN,61.051849,15.571569,0.016842,0.014584,0.000156,0.000165,11.3703,EU
0FLR,63.98357,20.236159,0.017716,0.014351,0.000296,0.000308,5.4264,EU
0FLU,60.624483,15.622796,0.016959,0.014473,0.000164,0.000124,14.4038,EU
0FRA,58.183606,12.140168,0.016962,0.014518,0.000283,0.000247,4.7365,EU
0FRB,60.141093,14.370978,0.017346,0.014870,0.000163,0.000152,12.7310,EU
0FRE,64.077467,18.402729,0.016316,0.014454,0.000118,0.000115,18.5544,EU
0FRI,61.897279,16.555058,0.017088,0.014633,0.000130,0.000130,12.7119,EU
0FRL,57.650254,11.912195,0.017249,0.015003,0.000163,0.000167,15.6852,EU
0FRO,59.466598,15.362757,0.017893,0.014352,0.000145,0.000141,13.7467,EU
0FUN,62.519392,12.601077,0.014756,0.013990,0.000137,0.000185,19.0007,EU
0FUR,61.168418,15.142243,0.016882,0.014705,0.000103,0.000113,20.7201,EU
0GAD,64.504192,14.138843,0.015062,0.015298,0.000137,0.000188,18.9952,EU
0GAL,62.914157,15.236428,0.016074,0.014841,0.000129,0.000141,17.7906,EU
0GAM,58.755184,16.61492,0.018374,0.014039,0.000142,0.000141,11.0883,EU
0GEB,58.691909,11.261074,0.016564,0.014811,0.000151,0.000167,13.4401,EU
0GIM,60.172801,18.169955,0.018273,0.013073,0.000376,0.000458,2.4504,EU
0GIS,60.101891,18.801118,0.018774,0.013501,0.000158,0.000142,11.3703,EU
0GLO,65.261471,19.623538,0.016911,0.014550,0.000150,0.000159,11.3703,EU
0GMA,59.946055,12.909579,0.016602,0.015070,0.000166,0.000167,11.3703,EU
0GMO,57.711981,11.983695,0.016526,0.015528,0.000309,0.000283,5.8317,EU
0GNA,58.023974,14.46135,0.017974,0.014723,0.000149,0.000145,14.8337,EU
0GOT,57.70768,11.965581,0.019437,0.015471,0.000786,0.000387,3.2717,EU
0GRA,60.071437,14.979906,0.017362,0.014409,0.000118,0.000126,20.7803,EU
0GRB,57.834226,12.285651,0.016777,0.014332,0.000286,0.000286,3.6742,EU
0GRI,59.625396,17.251101,0.018114,0.014079,0.000111,0.000112,15.3813,EU
0GRN,63.041444,13.96788,0.015464,0.015119,0.000156,0.000164,18.4477,EU
0GRO,62.060333,12.317263,0.015467,0.015413,0.000117,0.000132,20.4709,EU
0GRS,58.330816,12.677042,0.017419,0.014812,0.000125,0.000118,14.6366,EU
0GRY,58.186666,16.800854,0.018584,0.013920,0.000423,0.000320,12.6461,
0GST,64.149387,20.784579,0.017817,0.013840,0.000192,0.000194,7.0253,EU
0GUL,58.981154,14.109703,0.017539,0.014695,0.000148,0.000131,14.8967,EU
0GUM,64.234342,21.018553,0.017390,0.013487,0.000198,0.000223,6.9678,EU
0GUN,66.087465,21.80049,0.017169,0.014098,0.000132,0.000129,20.1862,EU
0GVA,67.136629,20.666693,0.016383,0.015496,0.000189,0.000180,16.4736,EU
0GVG,59.325068,18.390118,0.018696,0.013737,0.000149,0.000161,8.4983,EU
0HAD,56.668845,12.8767,0.018447,0.014479,0.000166,0.000156,11.8056,EU
0HAE,62.387955,15.131996,0.016177,0.014727,0.000192,0.000177,8.1123,EU
0HAF,59.085601,14.653162,0.017798,0.014548,0.000112,0.000116,14.8227,EU
0HAG,60.035885,13.702902,0.016786,0.016231,0.001004,0.000371,5.7823,EU
0HAM,61.655112,15.000551,0.016489,0.014962,0.000122,0.000121,20.7201,EU
0HAP,65.828063,24.131667,0.018316,0.013678,0.000102,0.000126,20.1506,EU
0HAS,56.092218,13.718079,0.018251,0.014807,0.000098,0.000083,32.5558,EU
0HAV,56.72934,12.667446,0.017963,0.014628,0.000175,0.000157,9.3936,EU
0HDA,63.582818,15.352245,0.016146,0.014773,0.000150,0.000142,11.3703,EU
0HDG,59.221727,17.93408,0.018635,0.013899,0.000112,0.000118,16.0876,EU
0HED,62.419459,13.513213,0.015734,0.015072,0.000137,0.000134,18.9980,EU
0HEM,65.820464,15.081001,0.014365,0.015171,0.000162,0.000179,18.4805,EU
0HEN,62.02652,15.909953,0.016693,0.014627,0.000178,0.000171,11.3703,EU
0HFS,59.784356,14.520443,0.017021,0.014623,0.000107,0.000098,24.3368,EU
0HIL,57.316996,13.887356,0.018074,0.014617,0.000132,0.000092,23.8494,EU
0HIS,57.732357,11.986326,0.017274,0.014965,0.000197,0.000184,9.2539,EU
0HJO,58.301327,14.286517,0.017778,0.014443,0.000112,0.000114,22.0945,EU
0HJV,57.629445,15.343362,0.018194,0.014779,0.000145,0.000144,12.7338,EU
0HLL,58.741698,15.571918,0.018154,0.014246,0.000114,0.000116,14.7625,EU
0HLM,63.806897,20.86467,0.017946,0.014066,0.000183,0.000160,8.4572,EU
0HLO,59.022797,17.543807,0.018244,0.014365,0.000136,0.000138,11.3703,EU
0HMS,57.239708,18.382324,0.019327,0.014084,0.000109,0.000121,15.1458,EU
0HNA,60.534898,17.880049,0.017974,0.013997,0.000163,0.000133,10.8556,EU
0HOA,57.967682,12.693494,0.017419,0.014788,0.000138,0.000146,14.0370,EU
0HOB,56.921748,18.151059,0.019061,0.013994,0.000091,0.000101,20.3258,EU
0HOJ,56.444053,15.655164,0.018645,0.014306,0.000128,0.000136,12.5558,EU
0HOL,60.951096,12.544527,0.013889,-0.007896,0.000767,0.000511,3.0199,EU
0HOO,55.932596,13.542741,0.018108,0.015085,0.000123,0.000117,15.5893,EU
0HOR,60.290426,16.403293,0.018136,0.014970,0.000136,0.000134,13.2156,EU
0HOS,63.672849,20.388653,0.017668,0.013897,0.000103,0.000111,19.9206,EU
0HOT,63.973895,14.166825,0.015237,0.015481,0.000119,0.000132,18.9459,EU
0HRN,63.621115,19.909817,0.017599,0.014128,0.000167,0.000181,11.0664,EU
0HRO,58.749046,13.937714,0.017313,0.014564,0.000105,0.000109,22.5654,EU
0HSA,62.108194,16.711684,0.016947,0.014633,0.000114,0.000134,18.9815,EU
0HST,58.350225,11.840193,0.017235,0.016174,0.000149,0.000170,13.6893,EU
0HSU,60.394197,17.01037,0.017993,0.014005,0.000139,0.000134,11.3703,EU
0HUD,61.725219,17.139748,0.017331,0.014578,0.000134,0.000168,18.9021,EU
0HUS,63.329885,19.164788,0.015643,0.008800,0.000413,0.000461,3.5784,EU
0HVI,57.702948,11.737396,0.017206,0.015053,0.000269,0.000230,6.0507,EU
0HYB,61.795445,16.208879,0.016802,0.014679,0.000118,0.000116,20.7201,EU
0IDR,61.85775,12.713272,0.015528,0.015249,0.000226,0.000399,5.3553,EU
0JAK,66.387502,16.965914,0.015220,0.015192,0.000138,0.000170,17.1581,EU
0JAM,56.188431,15.827833,0.019101,0.014363,0.000131,0.000126,11.3703,EU
0JAR,63.352762,13.449095,0.015102,0.015208,0.000147,0.000145,18.9980,EU
0JAT,61.974511,17.257018,0.017809,0.014515,0.000206,0.000132,12.7474,EU
0JAV,65.156012,21.486061,0.017466,0.013866,0.000124,0.000140,20.1862,EU
0JFA,59.424178,17.834401,0.018372,0.013943,0.000159,0.000165,9.4785,EU
0JNA,58.743185,16.734911,0.018440,0.013962,0.000180,0.000155,10.5846,EU
0JOK,66.605019,19.832376,0.016109,0.014607,0.000137,0.000162,19.1978,EU
0JON,57.745475,14.059611,0.017843,0.014574,0.000101,0.000098,32.5804,EU
0JOR,65.055717,20.043306,0.017051,0.014554,0.000278,0.000199,10.4340,EU
0JTP,56.229668,12.676234,0.017802,0.014885,0.000114,0.000122,19.4168,EU
0JUN,63.694698,16.887964,0.016255,0.014660,0.000116,0.000134,18.9459,EU
0JUO,67.430508,22.500833,0.016787,0.014296,0.000121,0.000139,17.2293,EU
0KAB,66.148787,19.989186,0.016359,0.014552,0.000124,0.000126,19.2006,EU
0KAL,58.66363,13.192506,0.017383,0.014912,0.000093,0.000102,23.8248,EU
0KAR,59.444022,13.505627,0.017040,0.014752,0.000094,0.000095,30.9568,EU
0KAS,63.701251,12.958859,0.013726,0.016887,0.000142,0.000167,18.6147,EU
0KAT,57.426513,18.837715,0.019363,0.013774,0.000094,0.000121,20.3258,EU
0KBO,58.530567,14.511342,0.017771,0.014432,0.000134,0.000120,14.5928,EU
0KEB,67.868028,18.622721,0.015420,0.014971,0.000319,0.000322,6.9103,EU
0KER,65.85188,23.889554,0.016951,0.014186,0.000411,0.000290,7.1430,EU
0KIC,67.859872,20.234978,0.013534,0.013412,0.000128,0.000129,17.6208,EU
0KIE,67.847127,20.380153,0.015772,0.014621,0.000148,0.000165,17.6208,EU
0KIR,67.877577,21.060243,0.016031,0.014550,0.000116,0.000117,32.5804,EU
0KIS,67.813326,20.194044,0.016156,0.016009,0.000312,0.000644,4.6817,EU
0KIV,67.794202,20.229161,0.015549,0.015293,0.000167,0.000161,13.4100,EU
0KLI,57.386388,18.211913,0.019345,0.014095,0.000116,0.000136,20.3258,EU
0KNA,56.521575,13.318438,0.017963,0.014766,0.000130,0.000103,23.9507,EU
0KNI,59.724024,17.794596,0.018096,0.013960,0.000277,0.000272,3.5537,EU
0KOB,60.409641,18.230207,0.018156,0.013793,0.000385,0.000363,7.8412,EU
0KOL,59.594187,15.854126,0.017921,0.014360,0.000196,0.000159,14.7324,EU
0KOP,59.716465,12.161075,0.016377,0.014628,0.000206,0.000169,8.1944,EU
0KOR,66.847888,23.055543,0.017234,0.014202,0.000112,0.000128,17.6728,EU
0KOT,57.762174,12.037666,0.017154,0.014865,0.000137,0.000126,15.6852,EU
0KOV,56.880954,16.724521,0.018709,0.014079,0.000135,0.000137,13.7468,EU
0KRA,62.875453,17.927674,0.017254,0.014537,0.000120,0.000123,20.4518,EU
0KRB,61.982736,15.314872,0.016585,0.014879,0.000157,0.000144,11.3703,EU
0KRE,58.673751,16.338137,0.018408,0.014373,0.000134,0.000140,11.3539,EU
0KRI,56.031334,14.182579,0.018388,0.014888,0.000147,0.000134,15.5866,EU
0KRO,57.680229,11.984511,0.017408,0.015077,0.000138,0.000122,14.1547,EU
0KST,56.8413,15.394697,0.018336,0.014723,0.000144,0.000150,13.4757,EU
0KTH,59.349922,18.069382,0.018729,0.013723,0.000137,0.000139,11.0554,EU
0KUM,59.132767,15.13973,0.017660,0.014406,0.000129,0.000147,12.7064,EU
0KUN,56.104243,15.589038,0.018793,0.014313,0.000127,0.000125,21.8946,EU
0KVI,66.942495,17.739064,0.015263,0.015173,0.000177,0.000189,16.5120,EU
0LAD,55.870268,12.841875,0.018244,0.014681,0.000342,0.000452,3.0253,EU
0LAJ,66.65523,22.19194,0.017012,0.014254,0.000136,0.000133,17.2211,EU
0LAK,66.278518,21.128715,0.016831,0.014391,0.000133,0.000128,15.8631,EU
0LAN,60.457602,16.029464,0.017717,0.014232,0.000189,0.000114,20.7803,EU
0LAR,59.271631,12.655931,0.016611,0.014702,0.000159,0.000149,12.4052,EU
0LAS,58.902424,17.313255,0.018467,0.014026,0.000126,0.000129,11.3457,EU
0LAT,65.382534,20.339079,0.032096,-0.015971,0.001900,0.003665,2.1164,EU
0LBH,56.078051,13.242951,0.018270,0.014664,0.000144,0.000128,15.5291,EU
0LDA,62.850716,12.790873,0.015075,0.015454,0.000216,0.000213,7.3813,EU
0LDE,58.025692,12.172969,0.016133,0.014938,0.000420,0.000306,4.6899,EU
0LED,58.114024,12.14063,0.017063,0.014764,0.000144,0.000120,16.9062,EU
0LEK,60.722146,14.87701,0.017055,0.014618,0.000106,0.000110,30.9568,EU
0LEN,59.319826,11.915607,0.016406,0.014596,0.000110,0.000149,20.7009,EU
0LFT,57.905686,16.698709,0.018535,0.013979,0.000125,0.000120,13.4785,EU
0LHE,58.437442,15.796438,0.018248,0.014293,0.000136,0.000144,11.3457,EU
0LIC,58.416796,15.626538,0.018114,0.014385,0.000143,0.000162,11.2608,EU
0LID,62.697004,16.796812,0.015489,0.014801,0.000511,0.000398,3.4497,EU
0LIE,62.157539,13.891299,0.016079,0.014983,0.000192,0.000186,11.3703,EU
0LIH,56.829845,13.449191,0.017541,0.014229,0.000125,0.000131,14.8364,EU
0LIL,61.853275,14.066764,0.015792,0.015594,0.000270,0.000160,11.3703,EU
0LIN,60.328041,14.531436,0.017064,0.014847,0.000123,0.000129,16.7146,EU
0LIO,59.365656,18.126948,0.018521,0.013947,0.000171,0.000147,8.3505,EU
0LKA,67.851631,20.195259,0.023639,0.014652,0.000471,0.000274,8.1643,EU
0LKO,58.502074,13.128942,0.017398,0.014728,0.000182,0.000156,8.3860,EU
0LNC,57.683846,12.209665,0.017149,0.014825,0.000183,0.000153,9.5688,EU
0LND,57.666059,12.296747,0.017445,0.014507,0.000258,0.000354,8.7064,EU
0LOB,55.77832,13.514907,0.018353,0.014810,0.000192,0.000179,6.6639,EU
0LOD,55.766946,12.995751,0.018242,0.014817,0.000110,0.000096,23.9507,EU
0LOF,62.132114,13.275477,0.015747,0.015195,0.000114,0.000136,20.7611,EU
0LSE,63.183356,17.065308,0.016639,0.014775,0.000136,0.000145,18.9843,EU
0LUG,58.642138,13.692643,0.017175,0.014342,0.000432,0.000362,2.4038,
0LUL,65.555295,22.215321,0.017404,0.014489,0.000112,0.000141,20.2601,EU
0LUM,60.70969,16.250824,0.017563,0.014251,0.000146,0.000145,10.4504,EU
0LVA,64.37111,21.313168,0.017709,0.013943,0.000196,0.000195,7.1376,EU
0LYC,64.585908,18.703054,0.017099,0.014725,0.000326,0.000300,3.5345,EU
0MAK,56.457346,13.59188,0.018027,0.015129,0.000207,0.000208,5.4456,EU
0MAL,55.601179,13.029767,0.018217,0.015051,0.000406,0.000339,2.9843,EU
0MAN,57.662321,14.076186,0.017965,0.014180,0.000185,0.000177,7.1349,EU
0MAT,62.366047,16.979294,0.017005,0.014739,0.000144,0.000161,10.7269,EU
0MBT,57.889275,12.032078,0.016559,0.014821,0.000260,0.000254,8.2026,EU
0MED,64.738265,20.673754,0.017555,0.014880,0.000194,0.000192,11.3676,EU
0MGV,59.931393,16.953554,0.018136,0.014111,0.000117,0.000119,13.7440,EU
0MJO,58.324795,15.124952,0.018201,0.014388,0.000109,0.000112,24.3395,EU
0MKO,59.598595,13.72595,0.017258,0.014693,0.000154,0.000164,11.3703,EU
0MLA,65.188143,18.758618,0.016360,0.014691,0.000134,0.000122,20.1506,EU
0MLE,56.281866,12.499117,0.017860,0.014843,0.000187,0.000158,7.9398,EU
0MLK,59.13644,16.720864,0.018409,0.014016,0.000117,0.000121,14.7105,EU
0MLL,58.703188,12.455304,0.017145,0.014839,0.000160,0.000203,13.3279,EU
0MLM,67.194136,20.698024,0.015662,0.011142,0.000262,0.000218,16.1013,EU
0MLU,60.68642,13.725471,0.016504,0.014966,0.000122,0.000150,20.7201,EU
0MLY,57.660258,12.114652,0.017060,0.014830,0.000133,0.000126,15.5099,EU
0MOA,57.044583,16.438559,0.018608,0.014380,0.000133,0.000198,13.5168,EU
0MOB,56.52664,16.378671,0.019851,0.014110,0.000150,0.000144,9.8618,EU
0MOC,60.508698,14.966842,0.017191,0.014855,0.000161,0.000185,10.2286,EU
0MOL,58.077841,11.483635,0.017280,0.015106,0.000214,0.000214,6.0835,EU
0MOR,61.012045,14.56425,0.016690,0.014809,0.000124,0.000124,14.3929,EU
0MOS,59.318428,18.074215,0.018673,0.014167,0.000147,0.000215,11.4388,EU
0MOT,58.541493,15.010355,0.017114,0.014802,0.000539,0.000496,1.6208,EU
0MRF,59.261443,17.225036,0.018466,0.014082,0.000207,0.000197,7.1540,EU
0MRJ,66.069076,22.701778,0.017517,0.013987,0.000167,0.000183,11.3703,EU
0MRS,59.625915,17.859881,0.018362,0.013895,0.000134,0.000111,16.1013,EU
0MSE,65.875041,19.457594,0.016404,0.014702,0.000156,0.000153,11.3703,EU
0MUF,59.834482,13.54225,0.016996,0.014568,0.000185,0.000163,8.2218,EU
0MUN,56.256304,12.916554,0.017831,0.015099,0.000188,0.000164,8.4791,EU
0NAS,57.656301,14.697671,0.018387,0.014577,0.000137,0.000123,14.8830,EU
0NAT,66.756575,20.955052,0.016042,0.014890,0.000126,0.000140,17.2019,EU
0NBA,64.715446,17.67868,0.016207,0.014764,0.000124,0.000122,18.6010,EU
0NBG,60.062515,15.920668,0.017501,0.014038,0.000101,0.000101,24.3368,EU
0NBR,56.745946,15.90898,0.018791,0.014194,0.000173,0.000152,7.7810,EU
0NBY,62.300237,17.363861,0.017277,0.014347,0.000141,0.000138,13.3744,EU
0NFJ,65.419964,21.492786,0.017294,0.013905,0.000326,0.000307,3.4798,EU
0NHL,58.509282,15.975603,0.019047,0.014091,0.000155,0.000154,11.3676,EU
0NIH,67.853722,20.097448,0.016703,0.014089,0.000557,0.000441,3.3621,EU
0NIK,65.805361,23.914783,0.018045,0.013745,0.000115,0.000128,18.1520,EU
0NOA,61.431923,13.240215,0.016179,0.015268,0.000143,0.000143,11.3566,EU
0NOF,63.767816,18.995383,0.017061,0.014436,0.000158,0.000133,14.2095,EU
0NOL,57.920823,12.06606,0.020481,0.016209,0.001238,0.000916,1.2210,EU
0NOR,58.590233,16.246385,0.018319,0.014102,0.000103,0.000098,30.4011,EU
0NOS,64.910619,19.481716,0.016948,0.014829,0.000207,0.000206,11.5674,EU
0NRA,64.435912,15.591759,0.015329,0.014942,0.000191,0.000148,18.9952,EU
0NUN,57.595878,13.724802,0.018011,0.014568,0.000227,0.000196,7.2498,EU
0NYB,65.795917,23.170031,0.017637,0.013826,0.000100,0.000115,20.0301,EU
0NYH,56.244266,12.539882,0.018222,0.015248,0.000289,0.000269,4.7584,EU
0NYK,58.770008,16.977574,0.018491,0.014138,0.000143,0.000142,11.3539,EU
0NYL,63.717294,18.496595,0.016873,0.014449,0.000107,0.000120,18.9021,EU
0NYN,58.902975,17.944237,0.018569,0.013899,0.000090,0.000093,24.9281,EU
0OCK,60.890542,16.716675,0.017668,0.014014,0.000138,0.000147,12.8296,EU
0ODE,58.226563,14.651596,0.017967,0.014398,0.000137,0.000159,14.8200,EU
0OKC,57.25194,16.465365,0.019025,0.014268,0.000124,0.000123,13.6099,EU
0OML,58.950973,17.159267,0.018300,0.013948,0.000133,0.000150,12.2546,EU
0OMO,59.263443,15.21972,0.018097,0.014311,0.000244,0.000289,4.7584,EU
0OPP,58.034329,15.80689,0.018006,0.014034,0.000109,0.000104,21.8946,EU
0ORK,56.286139,13.275063,0.018147,0.014741,0.000125,0.000155,14.8994,EU
0ORN,63.290324,18.717836,0.017499,0.013946,0.000142,0.000173,18.9843,EU
0ORR,56.83952,15.744907,0.018646,0.014415,0.000165,0.000189,6.9487,EU
0ORS,56.701172,15.752738,0.018700,0.014321,0.000098,0.000092,21.8946,EU
0OSA,56.801595,12.978552,0.017860,0.014741,0.000179,0.000140,9.8590,EU
0OSC,63.169407,14.672946,0.015612,0.015020,0.000134,0.000160,14.3244,EU
0OSK,57.06564,15.996813,0.018672,0.014361,0.000086,0.000084,32.0110,EU
0OSM,57.825158,15.276637,0.019433,0.015221,0.000141,0.000151,12.8296,EU
0OST,63.442795,14.858071,0.015658,0.015171,0.000102,0.000095,32.5804,EU
0OSV,60.182956,17.17483,0.017908,0.014129,0.000309,0.000250,4.7831,EU
0OTM,60.283999,12.757714,0.016738,0.014337,0.000150,0.000136,20.7584,EU
0OVB,64.514274,21.25561,0.017387,0.013844,0.000368,0.000318,3.1896,EU
0OVE,66.31786,22.773377,0.017396,0.014035,0.000105,0.000104,31.9589,EU
0OVT,66.385722,23.65871,0.017624,0.013596,0.000114,0.000118,20.1506,EU
0OXE,58.670957,17.107046,0.018566,0.014171,0.000096,0.000095,24.3368,EU
