sta,lat,lon,ve,vn,sve,svn,dur_yr,ngl_plate
TUDR,51.991837,4.380548,0.017743,0.015782,0.000345,0.000710,3.1348,EU
TUDS,51.998187,4.377335,0.017819,0.015738,0.000283,0.000278,3.1376,EU
TUDX,51.995553,4.375046,0.017292,0.015737,0.000310,0.000282,3.1348,EU
TUF1,38.260546,36.208448,0.009992,0.019455,0.000590,0.000626,10.3299,EU
TUFA,38.260604,36.220873,0.011173,0.018156,0.000308,0.000305,4.9418,EU
TUGI,21.591571,103.420688,0.032652,-0.006892,0.000598,0.000732,1.9631,EU
TUKC,-9.331556,33.751578,0.021291,0.017333,0.000698,0.000634,5.2348,SO
TUKT,69.438234,-132.994352,-0.010883,-0.017804,0.000220,0.000204,22.9925,NA
TUL1,54.596014,100.655837,0.023792,-0.004805,0.000451,0.000690,2.0643,EU
TULE,41.017798,-120.022954,-0.018002,-0.007407,0.000264,0.000249,17.4292,NA
TULL,-32.632201,147.569706,0.021711,0.055658,0.000202,0.000221,13.2567,AU
TULN,40.06886,-118.716308,-0.016919,-0.009116,0.002466,0.000939,3.6934,NA
TULY,-17.941741,145.931646,0.029732,0.056333,0.000291,0.000265,9.2375,AU
TUMA,1.822276,-78.730412,0.013598,0.012433,0.000423,0.000473,19.1458,SA
TUME,57.144287,65.591512,0.025954,0.004093,0.000327,0.000403,4.2273,EU
TUMW,46.9843,-122.912162,-0.008677,-0.006608,0.000227,0.000237,19.2745,NA
TUN9,61.579698,90.034276,0.023350,-0.003461,0.000523,0.000519,5.0595,EU
TUNA,5.531329,-73.363882,0.001151,0.013262,0.000186,0.000214,20.1807,SA
TUNG,40.403201,-118.257505,-0.017982,-0.008560,0.000125,0.000103,29.9439,NA
TUNH,23.075166,121.300221,-0.018232,0.030299,0.000848,0.000452,17.2539,PS
TUNM,23.965211,121.493583,0.007948,0.001761,0.001130,0.001527,17.2868,PS
TUNS,23.317241,120.404051,0.022854,-0.010375,0.000470,0.000451,11.6359,SU
TUO2,60.415849,22.443308,0.019680,0.013046,0.000128,0.000143,12.8076,EU
TUOR,60.41585,22.443425,0.019488,0.013101,0.000126,0.000132,19.8439,EU
TUQU,1.093957,-77.630967,0.001576,0.011972,0.000718,0.001294,3.4551,SA
TUR1,51.31288,4.949102,0.017859,0.016284,0.000108,0.000221,22.3792,EU
TUR2,-40.264979,176.382556,-0.019922,0.028599,0.000852,0.000544,1.7303,PA
TUR3,64.328882,100.431904,0.024787,-0.003202,0.001461,0.001283,5.0732,EU
TURA,64.275493,100.195471,0.023245,-0.007534,0.000605,0.000666,8.1479,EU
TURI,-40.264981,176.382557,-0.016860,0.027343,0.000634,0.000338,13.2402,PA
TURN,39.858828,-120.41671,-0.020181,-0.005495,0.000648,0.000874,10.3518,NA
TURO,-36.035139,150.122198,0.017261,0.054758,0.000124,0.000121,15.3183,AU
TURT,40.1032,-120.082717,-0.020113,-0.003881,0.000714,0.000784,13.7440,NA
TURU,65.796203,87.926927,0.023744,-0.001390,0.000443,0.000655,5.0979,EU
TUTO,4.80677,114.659631,0.024502,-0.009366,0.001164,0.001035,4.0000,SU
TUV1,-8.528428,179.192242,-0.075509,0.031092,0.004973,0.003687,1.0240,PA
